,MTG1 (92170)
ACH-000004,-0.13965211645277698
ACH-000005,-0.10929770239745776
ACH-000007,-0.3715160290554814
ACH-000009,-0.3629286454059834
ACH-000011,-0.04655156386443759
ACH-000012,-0.2940404295320927
ACH-000013,-0.2320394953163413
ACH-000014,-0.35249367854788444
ACH-000015,-0.3413437624063569
ACH-000017,-0.042294369315721794
ACH-000018,-0.3143478028387529
ACH-000019,-0.3563088600870994
ACH-000021,-0.3187034042815967
ACH-000022,-0.42041360759291546
ACH-000025,-0.4939667576939047
ACH-000028,-0.5146707840965831
ACH-000030,-0.1366999889630247
ACH-000035,-0.4107005256601532
ACH-000036,-0.06214005388642875
ACH-000037,-0.3989488685409399
ACH-000039,-0.01792463491196211
ACH-000040,-0.33573043323636353
ACH-000041,-0.2665076383280534
ACH-000042,-0.2482655628888153
ACH-000045,-0.5124027778015658
ACH-000047,-0.5110015835024659
ACH-000052,-0.21978538777715773
ACH-000053,-0.14478644081928455
ACH-000054,-0.18318890043461047
ACH-000055,-0.2916112603630322
ACH-000060,-0.29615012813070696
ACH-000067,-0.08751732388587448
ACH-000070,-0.5428538622084681
ACH-000075,-0.3799394446585173
ACH-000078,-0.07356793509549324
ACH-000082,-0.2586190625227326
ACH-000085,0.015712915428149173
ACH-000086,-0.5777519219722707
ACH-000087,-0.4052419264262579
ACH-000092,-0.21704468943993588
ACH-000095,-0.030249603829325213
ACH-000097,-0.03514675858435308
ACH-000098,-0.2411624883269393
ACH-000099,-0.3141432286008886
ACH-000108,-0.3226238427318545
ACH-000113,-0.5953450392355714
ACH-000116,-0.16708738434933482
ACH-000118,-0.8316570108489548
ACH-000120,-0.2459072362536181
ACH-000123,-0.3853843058701528
ACH-000127,-0.5740959285093032
ACH-000128,-0.474255297298643
ACH-000132,-0.30737553403365586
ACH-000133,-0.31536388859418435
ACH-000137,-0.2570662209820823
ACH-000138,-0.2608841215009202
ACH-000142,0.017073287966470715
ACH-000143,-0.3145047426074385
ACH-000146,-0.28257478850705786
ACH-000148,-0.36407160427053664
ACH-000150,-0.73140918704442
ACH-000152,-0.2534430392031368
ACH-000153,-0.4002307835818724
ACH-000159,-0.3134809596905841
ACH-000160,-0.4925533419076534
ACH-000163,-0.2954779608678409
ACH-000167,0.2824464855894766
ACH-000168,-0.02388802473234489
ACH-000169,-0.3081810392011344
ACH-000178,-0.28686967708816685
ACH-000183,-0.29247830438479683
ACH-000188,-0.2387045344977989
ACH-000189,-0.31468272532263225
ACH-000190,-0.3768248015162662
ACH-000198,-0.4512605563734533
ACH-000203,-0.005430822565069539
ACH-000204,-0.3458584400287719
ACH-000206,-0.3495443269716695
ACH-000207,-0.5003408668783346
ACH-000208,-0.1869660890404113
ACH-000210,-0.7014207428771799
ACH-000211,-0.23180075193697486
ACH-000215,-0.3576260453249691
ACH-000221,-0.4759788050142397
ACH-000222,-0.2683961299770354
ACH-000223,-0.4390313057460989
ACH-000226,-0.11759586178687467
ACH-000227,-0.22981166850709064
ACH-000228,-0.1994397090838564
ACH-000231,-0.17876238441859002
ACH-000232,-0.4706810823309266
ACH-000233,-0.3407611237676215
ACH-000234,-0.29339325861394666
ACH-000235,-0.1750342824403847
ACH-000237,-0.17994893436781886
ACH-000238,-0.35226219734640035
ACH-000242,-0.3289325737790222
ACH-000243,-0.16950647122428736
ACH-000244,-0.2730024710616982
ACH-000246,-0.4329494204703295
ACH-000248,-0.4258384122136171
ACH-000250,-0.0028771393306075647
ACH-000251,-0.13490650270435695
ACH-000252,-0.07560302589369257
ACH-000253,-0.20057605489315736
ACH-000255,-0.32075323197308714
ACH-000256,-0.17602043887605265
ACH-000257,-0.4762928333244405
ACH-000258,-0.3662946619343113
ACH-000259,-0.6252731565509804
