,MRAP2 (112609)
ACH-000004,-0.0384506104515436
ACH-000005,0.21304061091048668
ACH-000007,0.041872725602244316
ACH-000009,-0.02862299382038492
ACH-000011,-0.07687688896369517
ACH-000012,-0.04476611927492704
ACH-000013,-0.021286835683362662
ACH-000014,-0.03789500661198655
ACH-000015,-0.04182593923611315
ACH-000017,-0.03242661215916512
ACH-000018,-0.04131656735933547
ACH-000019,-0.0992937917997233
ACH-000021,-0.0990168499274844
ACH-000022,0.010213753785734568
ACH-000025,-0.017561396974609983
ACH-000028,-0.0987542351181621
ACH-000030,-0.048449934288599436
ACH-000035,0.07861907880276317
ACH-000036,-0.038833685314707635
ACH-000037,-0.03601333994991362
ACH-000039,-0.02743452005141237
ACH-000040,-0.0342194163569288
ACH-000041,0.02539823644088412
ACH-000042,-0.05518876001078536
ACH-000045,0.051709299351401165
ACH-000047,0.007551080183992383
ACH-000052,0.04735840473968192
ACH-000053,0.016192140852630134
ACH-000054,0.06517055767785203
ACH-000055,-0.049494210300833855
ACH-000060,-0.13969944022517966
ACH-000067,0.042117176263698604
ACH-000070,-0.19208961134622596
ACH-000075,-0.1382059051478471
ACH-000078,0.0321243820953887
ACH-000082,-0.07612326422812746
ACH-000085,-0.003726931842199151
ACH-000086,-0.06580409709671405
ACH-000087,-0.0426565380141196
ACH-000092,-0.03514223251002588
ACH-000095,-0.09711355591119752
ACH-000097,-0.02676189724426405
ACH-000098,-0.11735798679321385
ACH-000099,-0.1435564448826418
ACH-000108,-0.19633751920595374
ACH-000113,-0.1520137040913246
ACH-000116,-0.02752781580232817
ACH-000118,-0.07117113709557735
ACH-000120,-0.010266900900236636
ACH-000123,-0.019313289545631614
ACH-000127,0.04022378100509321
ACH-000128,-0.06446940758351302
ACH-000132,-0.1979435440594628
ACH-000133,-0.0017839666477071875
ACH-000137,-0.13686296654442226
ACH-000138,-0.0201257399417694
ACH-000142,0.05292409671426124
ACH-000143,0.016711035369849917
ACH-000146,0.0014694001499535366
ACH-000148,0.01810155500325212
ACH-000150,-0.04497773513513144
ACH-000152,0.06411461477776685
ACH-000153,-0.07261325223999719
ACH-000159,-0.04065807510492106
ACH-000160,0.028604025281184543
ACH-000163,0.040938914945212936
ACH-000167,0.35117406816245217
ACH-000168,0.07420775444818319
ACH-000169,-0.034366695892547296
ACH-000178,0.09448852656324308
ACH-000183,-0.039939674876803034
ACH-000188,0.002894814881232364
ACH-000189,-0.13121153346379252
ACH-000190,-0.05548823980975967
ACH-000198,-0.033133737751085864
ACH-000203,-0.07074351314256899
ACH-000204,-0.23768114840241936
ACH-000206,0.03923416366556079
ACH-000207,-0.008665332452816222
ACH-000208,-0.12152357884476575
ACH-000210,-0.22245065130100694
ACH-000211,0.034599107650870334
ACH-000215,-0.06637158650597345
ACH-000221,-0.13873678461326214
ACH-000222,0.05366151739339881
ACH-000223,-0.15961761912763373
ACH-000226,-0.17397539341152635
ACH-000227,0.019048607082687862
ACH-000228,-0.004047841945892609
ACH-000231,-0.040534437670708016
ACH-000232,0.0340805896003211
ACH-000233,0.008865711686135567
ACH-000234,-0.055359663379317504
ACH-000235,-0.06891724403774956
ACH-000237,0.01598439835126234
ACH-000238,-0.0011709614325343069
ACH-000242,-0.3602722891487888
ACH-000243,-0.03177647638437808
ACH-000244,-0.14538992656228342
ACH-000246,-0.05217664509223116
ACH-000248,-0.10764768267273893
ACH-000250,-0.018156916033459532
ACH-000251,-0.061350453796071576
ACH-000252,0.17259643572937447
ACH-000253,-0.06371660886889241
ACH-000255,-0.08177329018664742
ACH-000256,0.0661990531218337
ACH-000257,-0.03669121013826463
ACH-000258,-0.060236344667792326
ACH-000259,-0.07641132410079103
ACH-000260,-0.12988040314979418
