,POLR2L (5441)
ACH-000004,-1.7779481161448476
ACH-000005,-1.7042684593269268
ACH-000007,-1.3665765101711995
ACH-000009,-1.770926437729495
ACH-000011,-1.784400070714231
ACH-000012,-1.6841587141104828
ACH-000013,-1.9323071610983893
ACH-000014,-1.7441466391093907
ACH-000015,-1.6474259075248232
ACH-000017,-1.7332283951265093
ACH-000018,-1.3876068657433285
ACH-000019,-1.6144465071678211
ACH-000021,-1.6690583637106742
ACH-000022,-1.6622866483842582
ACH-000025,-1.5670269313420429
ACH-000028,-1.587690836809969
ACH-000030,-1.903699017343797
ACH-000035,-1.7502947373376094
ACH-000036,-1.5390734664695669
ACH-000037,-1.9332855273320315
ACH-000039,-1.4982387946152929
ACH-000040,-1.4526784302312838
ACH-000041,-1.8061356962559467
ACH-000042,-1.8644240417354432
ACH-000045,-1.7941707284111317
ACH-000047,-1.3402612734665222
ACH-000052,-1.5849160959915896
ACH-000053,-1.5526092131738285
ACH-000054,-1.578226783147092
ACH-000055,-1.9246606902701568
ACH-000060,-1.7807234689407458
ACH-000067,-1.5745749120888326
ACH-000070,-1.5302498335654424
ACH-000075,-1.3430318538427826
ACH-000078,-1.7114328891886617
ACH-000082,-1.5706425347169406
ACH-000085,-1.6582068885762735
ACH-000086,-1.461140347951536
ACH-000087,-1.6279039505552837
ACH-000092,-1.478694378770294
ACH-000095,-1.773308985549113
ACH-000097,-1.7328334456790342
ACH-000098,-1.5896829035278983
ACH-000099,-1.6663139425048814
ACH-000108,-1.5358674988322776
ACH-000113,-1.577924000045983
ACH-000116,-1.918187149679456
ACH-000118,-1.577065657714122
ACH-000120,-1.661601240938429
ACH-000123,-1.6032156611259076
ACH-000127,-1.6495922175918432
ACH-000128,-1.839704404887935
ACH-000132,-1.4591348536487487
ACH-000133,-1.5666067820173522
ACH-000137,-1.5240547071991255
ACH-000138,-1.7257304720069409
ACH-000142,-1.592768501369202
ACH-000143,-1.7275029922183684
ACH-000146,-2.003502424162464
ACH-000148,-1.859978806813624
ACH-000150,-1.6356764017595635
ACH-000152,-1.4319722477649217
ACH-000153,-2.0140574142889682
ACH-000159,-1.7153286448925429
ACH-000160,-1.4646526350320062
ACH-000163,-1.5628494098685743
ACH-000167,-2.3260420155305197
ACH-000168,-1.384843173909304
ACH-000169,-1.5855133342953966
ACH-000178,-1.5789150598036037
ACH-000183,-1.6905955767002032
ACH-000188,-1.6148314172526368
ACH-000189,-1.6824602434974043
ACH-000190,-1.200079094366252
ACH-000198,-1.6100884532632165
ACH-000203,-1.863727758867932
ACH-000204,-1.5350132949460726
ACH-000206,-1.6349513757407206
ACH-000207,-1.6856954369437178
ACH-000208,-1.1889445426418392
ACH-000210,-1.4100516070078928
ACH-000211,-1.4308108644368414
ACH-000215,-1.53160422644796
ACH-000221,-1.762774110433288
ACH-000222,-1.6079977856225638
ACH-000223,-1.66723839672234
ACH-000226,-1.7456788814882374
ACH-000227,-1.6628228894839607
ACH-000228,-1.6623321018986257
ACH-000231,-1.4080656772718092
ACH-000232,-1.682641006424205
ACH-000233,-1.8334518293814777
ACH-000234,-1.4894866563330045
ACH-000235,-1.6470087070058164
ACH-000237,-1.5380718713182169
ACH-000238,-1.66464850384397
ACH-000242,-1.8715986312519484
ACH-000243,-1.6886700556001015
ACH-000244,-1.6448974420241145
