,PDE1C (5137)
ACH-000004,-0.1753348459612339
ACH-000005,-0.13809855297670812
ACH-000007,-0.14606572565877074
ACH-000009,-0.27484156915288943
ACH-000011,-0.2670996020260055
ACH-000012,-0.15354601738589216
ACH-000013,-0.1108284053394414
ACH-000014,-0.32407919706739274
ACH-000015,-0.2632007052090797
ACH-000017,-0.16603764733286386
ACH-000018,-0.2317263420664055
ACH-000019,-0.5639335219253235
ACH-000021,-0.13298756715547985
ACH-000022,-0.28259341926807224
ACH-000025,-0.2683837052541105
ACH-000028,-0.1736556473094201
ACH-000030,-0.2541217839681105
ACH-000035,-0.3336228854633275
ACH-000036,-0.15466262826259014
ACH-000037,-0.2876683005718648
ACH-000039,-0.20053348947187352
ACH-000040,-0.2498355820077499
ACH-000041,-0.058148518587063776
ACH-000042,-0.3373628870243434
ACH-000045,-0.1647020925387155
ACH-000047,-0.16755270866878733
ACH-000052,-0.22327932589104615
ACH-000053,-0.3658108534785036
ACH-000054,-0.17259614833650488
ACH-000055,-0.030268583929273618
ACH-000060,-0.30000059081238084
ACH-000067,0.04642795730059455
ACH-000070,-0.2498217328338441
ACH-000075,-0.3960187015536831
ACH-000078,-0.26432554964704763
ACH-000082,-0.24228325033750303
ACH-000085,-0.26888140068799393
ACH-000086,-0.10605262897187888
ACH-000087,-0.10113027737507227
ACH-000092,-0.06755116498653635
ACH-000095,-0.2459644830496577
ACH-000097,-0.15742727881853855
ACH-000098,-0.1982366315009608
ACH-000099,-0.30369930882616925
ACH-000108,-0.230465506949818
ACH-000113,-0.25413213687800673
ACH-000116,-0.2455913530752959
ACH-000118,-0.03192991558926689
ACH-000120,-0.2292722130293677
ACH-000123,-0.13061467753979442
ACH-000127,-0.25784196229205425
ACH-000128,-0.32301135951907944
ACH-000132,-0.025977730763875925
ACH-000133,-0.20974767978928266
ACH-000137,-0.3622176685160916
ACH-000138,-0.16400732623764305
ACH-000142,-0.2267129723159736
ACH-000143,-0.2918699563147515
ACH-000146,-0.2468119480709125
ACH-000148,-0.17145958806076836
ACH-000150,-0.3483776739545309
ACH-000152,-0.2021725016617664
ACH-000153,-0.2802199488899716
ACH-000159,-0.19427207259523335
ACH-000160,-0.11683320026304675
ACH-000163,-0.25029586734623016
ACH-000167,-0.42177494507585134
ACH-000168,-0.4413743811018164
ACH-000169,-0.16771704320321634
ACH-000178,-0.24995707570766254
