,RSG1 (79363)
ACH-000004,-0.32327953885184424
ACH-000005,-0.0283903301538815
ACH-000007,-0.10766774806751993
ACH-000009,-0.3227136713125037
ACH-000011,-0.07404038850265854
ACH-000012,-0.13526526541111267
ACH-000013,-0.3950745557539168
ACH-000014,-0.20293403613783656
ACH-000015,-0.2103618952220176
ACH-000017,-0.17683093169357034
ACH-000018,-0.33515035639139923
ACH-000019,-0.18736617803633135
ACH-000021,-0.18406054268362632
ACH-000022,-0.1984242734685286
ACH-000025,-0.2889413975897923
ACH-000028,-0.012785400659008888
ACH-000030,-0.1558420879223699
ACH-000035,-0.27501744461400746
ACH-000036,-0.05788980616763681
ACH-000037,-0.211886503422026
ACH-000039,-0.4353787424481597
ACH-000040,-0.21945010151740124
ACH-000041,-0.16343387574933912
ACH-000042,-0.21215081868445826
ACH-000045,-0.23069381753365945
ACH-000047,-0.2713977537566831
ACH-000052,-0.06848994749498284
ACH-000053,-0.2709441523791247
ACH-000054,-0.3046759666636893
ACH-000055,-0.2890966144040934
ACH-000060,-0.2910075559113037
ACH-000067,-0.07788636382593468
ACH-000070,-0.2168793374925104
ACH-000075,-0.19311675548420532
ACH-000078,-0.12376742089596685
ACH-000082,0.06287744373240392
ACH-000085,0.04861114070186577
ACH-000086,-0.09740468602939056
ACH-000087,-0.07601853402682279
ACH-000092,-0.2623509174952528
ACH-000095,-0.19074179809448216
ACH-000097,-0.2422156382612043
ACH-000098,-0.16093141298187222
ACH-000099,-0.14475817008835368
ACH-000108,-0.15528450229988833
ACH-000113,-0.11320998178360092
ACH-000116,-0.2476823068619233
ACH-000118,-0.12726202884173007
ACH-000120,0.104981125067748
ACH-000123,-0.22997422371963425
ACH-000127,-0.12846628752637718
ACH-000128,-0.3913573125251159
ACH-000132,-0.11675418897496988
ACH-000133,-0.007212185104595818
ACH-000137,-0.3877831734882695
ACH-000138,-0.3238599334146067
ACH-000142,-0.20452723465143666
ACH-000143,-0.13903871128421094
ACH-000146,-0.1320815466182175
ACH-000148,-0.13089141642229246
ACH-000150,-0.16122232781389698
ACH-000152,-0.29629680076643505
ACH-000153,-0.3296133262708926
ACH-000159,-0.2506035640678037
ACH-000160,-0.2326550932811237
ACH-000163,-0.13894283686510633
ACH-000167,-0.3869453430840201
ACH-000168,-0.2591490096747597
ACH-000169,-0.13607906424202287
ACH-000178,-0.1822524517262457
ACH-000183,-0.16386983463977992
ACH-000188,-0.12000400722004465
ACH-000189,-0.17111948204683372
ACH-000190,-0.20094453760920247
ACH-000198,-0.2649052902179377
ACH-000203,0.030687307532914494
ACH-000204,-0.2652235961735004
ACH-000206,-0.2961984242055912
ACH-000207,-0.22115450295267855
ACH-000208,-0.03207455895039925
ACH-000210,-0.13870454129020196
ACH-000211,-0.1355686612264932
ACH-000215,-0.1751045229000317
ACH-000221,-0.2939993628612822
ACH-000222,-0.2699057638767825
ACH-000223,-0.15045016662902275
ACH-000226,-0.13969615515324027
ACH-000227,-0.1163504132348243
