,SNAPIN (23557)
ACH-000004,-0.2018847954577669
ACH-000005,-0.3159172881006435
ACH-000007,-0.16776351432959724
ACH-000009,-0.364074606515354
ACH-000011,-0.08905879483635025
ACH-000012,-0.036880056556990996
ACH-000013,-0.1783349979886271
ACH-000014,-0.09261951871027213
ACH-000015,-0.23415708029022894
ACH-000017,-0.40560053194017376
ACH-000018,0.07806959318040152
ACH-000019,-0.1343812326677714
ACH-000021,-0.13640795743181253
ACH-000022,-0.1154710033859854
ACH-000025,-0.1122110967832851
ACH-000028,-0.10336355243563733
ACH-000030,-0.1472094980264857
ACH-000035,-0.12920044381458268
ACH-000036,-0.24044042771060145
ACH-000037,-0.17279738475927034
ACH-000039,-0.1083623544357968
ACH-000040,0.039192148284023016
ACH-000041,-0.17940923678221893
ACH-000042,-0.131655247592238
ACH-000045,-0.06001700760829104
ACH-000047,0.0366882561977724
ACH-000052,-0.15734583929991025
ACH-000053,-0.2098515469621372
ACH-000054,-0.19090079799661624
ACH-000055,-0.16962746998728642
ACH-000060,-0.1836161679172666
ACH-000067,-0.08037314027927712
ACH-000070,-0.19510941285266298
ACH-000075,-0.2219346026150508
ACH-000078,-0.20109767555599126
ACH-000082,-0.19214351214117004
ACH-000085,-0.2680131779140741
ACH-000086,-0.2652373922397532
ACH-000087,-0.08540421248496229
ACH-000092,-0.2782592634862508
ACH-000095,-0.049964556977654166
ACH-000097,-0.1127289484758549
ACH-000098,0.09884609074869058
ACH-000099,-0.08087510743938088
ACH-000108,-0.1920968461044138
ACH-000113,-0.32086618311181314
ACH-000116,-0.06408862546824304
ACH-000118,-0.2081303871125454
ACH-000120,-0.2678447964944814
ACH-000123,-0.1472262677801984
ACH-000127,-0.2941196613603784
ACH-000128,-0.10361014296388824
ACH-000132,-0.16780421488083466
ACH-000133,-0.2433814623335072
ACH-000137,-0.4048168699963873
ACH-000138,-0.1995671498879092
ACH-000142,-0.3402767778198313
ACH-000143,-0.2368631400656157
ACH-000146,-0.17905035052016186
ACH-000148,-0.10838498253968934
ACH-000150,-0.0978079264713832
ACH-000152,0.006208467927065965
ACH-000153,-0.31588672479931595
ACH-000159,-0.17094210472234164
ACH-000160,-0.05446136649740453
ACH-000163,-0.31210085150486017
ACH-000167,-0.27525541818858473
ACH-000168,-0.34458205449046964
ACH-000169,-0.284123211839971
ACH-000178,-0.32173033860601075
ACH-000183,-0.3002299859334782
ACH-000188,-0.2854546450726928
ACH-000189,-0.5281218642490718
ACH-000190,-0.0019631692941399926
ACH-000198,-0.17988193993684778
ACH-000203,-0.2766241519145784
ACH-000204,-0.3039404163258868
ACH-000206,0.12270871788349612
ACH-000207,-0.2742686587919871
ACH-000208,-0.3194182226958172
ACH-000210,0.13614723846044893
ACH-000211,-0.1651900211955133
ACH-000215,-0.15092804092181197
ACH-000221,-0.14945823895271335
ACH-000222,-0.2356845860905057
ACH-000223,-0.07314559588939161
ACH-000226,-0.1549224391534035
ACH-000227,0.015809086750087575
ACH-000228,-0.15002998860132238
ACH-000231,-0.18866196979602806
ACH-000232,-0.13895959337415653
ACH-000233,-0.030449077721421355
