,MTOR (2475)
ACH-000004,-0.7182237976208579
ACH-000005,-0.5229514394980219
ACH-000007,-1.038649899657992
ACH-000009,-0.8981218245595891
ACH-000011,-0.979042393379304
ACH-000012,-0.9241284745993044
ACH-000013,-1.1852849162709989
ACH-000014,-0.9218704573906972
ACH-000015,-0.9868703290311108
ACH-000017,-1.2805663374990879
ACH-000018,-1.0972892688170115
ACH-000019,-0.9430359102050008
ACH-000021,-1.2100363868866166
ACH-000022,-0.9896950515576992
ACH-000025,-1.1553344881844851
ACH-000028,-0.9007742952125426
ACH-000030,-1.0438189182002544
ACH-000035,-1.0499302916254332
ACH-000036,-1.1850097185007875
ACH-000037,-1.1367154645088449
ACH-000039,-0.7944587080408418
ACH-000040,-1.216250600481679
ACH-000041,-1.1425131800904342
ACH-000042,-0.7035679385169492
ACH-000045,-0.8901205999202746
ACH-000047,-1.0338980920104013
ACH-000052,-1.2641817431880122
ACH-000053,-1.1490273745676352
ACH-000054,-1.0553151640693286
ACH-000055,-1.0682072607055115
ACH-000060,-1.171149079362627
ACH-000067,-1.2536741489225056
ACH-000070,-1.0395415109005284
ACH-000075,-1.1076534710867274
ACH-000078,-0.6657220010256351
ACH-000082,-1.0655022678551234
ACH-000085,-0.8767701815985183
ACH-000086,-1.1219065344469423
ACH-000087,-1.1285452185844962
ACH-000092,-0.9305166617572536
ACH-000095,-1.1510410401500475
ACH-000097,-1.2975854146858825
ACH-000098,-1.3045956247988095
ACH-000099,-1.1985025273543173
ACH-000108,-1.106919432671526
ACH-000113,-1.0683893493542802
ACH-000116,-1.2345563791129834
ACH-000118,-0.9279622011527076
ACH-000120,-1.2532116710351409
ACH-000123,-0.9171025586057342
ACH-000127,-1.0396096735933529
ACH-000128,-1.0274799699024548
ACH-000132,-1.059346374165944
ACH-000133,-1.091340743609816
ACH-000137,-0.9269900136435216
ACH-000138,-1.0179895083374837
ACH-000142,-1.007855980960573
ACH-000143,-1.0036915656648433
ACH-000146,-0.7404168436459281
ACH-000148,-1.1596564887325134
ACH-000150,-1.2781653072467325
ACH-000152,-1.0764627154430866
ACH-000153,-1.1136838064902292
ACH-000159,-1.1272916461378808
ACH-000160,-0.8706953412596808
ACH-000163,-1.1977409668881698
ACH-000167,-1.533848410657301
ACH-000168,-0.8316607779508756
ACH-000169,-1.2130066775791652
ACH-000178,-1.1588919054745117
ACH-000183,-1.0519146155012828
ACH-000188,-0.8679167765543964
ACH-000189,-1.3743638881852112
ACH-000190,-1.1454608626735758
ACH-000198,-0.9266191398111172
ACH-000203,-0.5975035592976412
ACH-000204,-1.1052021406036068
ACH-000206,-1.0588650889286932
ACH-000207,-0.9379286488311174
ACH-000208,-1.144722108197115
ACH-000210,-0.9696316211601664
ACH-000211,-0.9670329184904324
ACH-000215,-1.216132273360209
ACH-000221,-1.3183397131372834
ACH-000222,-1.235899456545977
ACH-000223,-0.8376845904349078
ACH-000226,-0.8298268959003384
ACH-000227,-0.7542135695911807
ACH-000228,-1.0282570839489718
ACH-000231,-1.0538229236638244
ACH-000232,-1.2207731868837308
ACH-000233,-0.9382146956042992
ACH-000234,-0.9782834869402376
