,C2orf27B (408029)
ACH-000004,-0.33540695633885137
ACH-000005,-0.4161702734681604
ACH-000007,-0.4725887396921998
ACH-000009,-0.2864725099997771
ACH-000011,-0.1552799374299682
ACH-000012,-0.19050346110417185
ACH-000013,-0.3316121390057972
ACH-000014,-0.3405552434094054
ACH-000015,-0.35790445045519204
ACH-000017,-0.16272949344991014
ACH-000018,-0.5263102981778771
ACH-000019,-0.2211928234172398
ACH-000021,-0.2782393974445005
ACH-000022,-0.42261120723307694
ACH-000025,-0.2719030503826363
ACH-000028,-0.19783056007064906
ACH-000030,-0.243543847561472
ACH-000035,-0.3947948833629232
ACH-000036,-0.22478617078422894
ACH-000037,-0.3118979703865239
ACH-000039,-0.3086201234406098
ACH-000040,-0.4177021417145568
ACH-000041,-0.4805920844296498
ACH-000042,-0.4102225676268473
ACH-000045,-0.11013069049543994
ACH-000047,-0.30294752076595993
ACH-000052,-0.1753713985982894
ACH-000053,-0.19869503267470526
ACH-000054,-0.3222477349691277
ACH-000055,-0.15903973845991007
ACH-000060,-0.3715526336190249
ACH-000067,-0.4442870060906178
ACH-000070,-0.228618297788531
ACH-000075,-0.3423475197207323
ACH-000078,-0.3714925008142093
ACH-000082,-0.3953446207273022
ACH-000085,-0.5874117587050816
ACH-000086,-0.2767001871095215
ACH-000087,-0.1066077765341162
ACH-000092,-0.5467380743238801
ACH-000095,-0.32109122975590554
ACH-000097,-0.44062471743006304
ACH-000098,-0.24123925835540794
ACH-000099,-0.2758307691150692
ACH-000108,-0.3922315834915738
ACH-000113,-0.22784382109183066
ACH-000116,-0.4510308861999455
ACH-000118,-0.3668254550728659
ACH-000120,-0.3112167154378864
ACH-000123,-0.32015360922026
ACH-000127,-0.37966065994669546
ACH-000128,-0.3829509470764994
ACH-000132,-0.4067817393854329
ACH-000133,-0.2689880665973056
ACH-000137,-0.14123898036765073
ACH-000138,-0.23756222826867676
ACH-000142,-0.3996489434288428
ACH-000143,-0.15843144742883808
ACH-000146,-0.2978841848991836
ACH-000148,-0.3496781264923905
ACH-000150,-0.4321002385500447
ACH-000152,-0.3026540491203485
ACH-000153,-0.21232036585746825
ACH-000159,-0.3314510622231843
ACH-000160,-0.059614121438619924
ACH-000163,-0.3224794927668855
ACH-000167,0.16694111812335508
ACH-000168,-0.21536336259927769
ACH-000169,-0.3459638887105819
ACH-000178,-0.23122721138218744
ACH-000183,-0.4323649419009288
ACH-000188,-0.41035809106807936
ACH-000189,-0.4353861756712005
ACH-000190,-0.38701633285635184
ACH-000198,-0.32552125947162786
ACH-000203,-0.4560857270262818
ACH-000204,-0.09666577841306996
ACH-000206,-0.44508506111175533
ACH-000207,-0.3979190939831386
ACH-000208,-0.2223048836160032
ACH-000210,-0.12804896233988655
ACH-000211,-0.293061174244576
ACH-000215,-0.3075685307579599
ACH-000221,-0.28156522134323697
ACH-000222,-0.36193848779781657
ACH-000223,-0.35762156291081976
ACH-000226,-0.42987211664296493
ACH-000227,-0.4396565735598875
ACH-000228,-0.43055777321087
ACH-000231,-0.12416336077190525
ACH-000232,-0.3905620600197228
ACH-000233,-0.2642432562048531
ACH-000234,-0.3983862124645768
ACH-000235,-0.27149841510485795
ACH-000237,-0.3903860461222496
ACH-000238,-0.29704938576680795
ACH-000242,-0.3991368112038353
ACH-000243,-0.2247251558283581
ACH-000244,-0.39132711528940295
ACH-000246,-0.2540427024674429
ACH-000248,-0.1844916521828575
ACH-000250,-0.31113811094994176
ACH-000251,-0.4920579424367472
ACH-000252,-0.3704424810007741
ACH-000253,-0.2220919873183175
ACH-000255,-0.2688714668168852
ACH-000256,-0.22206505174930669
ACH-000257,0.050809751925285855
ACH-000258,-0.44410247044781614
ACH-000259,-0.3749783837230442
ACH-000260,-0.11550232762838765
ACH-000261,-0.2558997706090874
ACH-000262,-0.5890850360575103
ACH-000263,-0.2428551702814931
ACH-000264,-0.3424331309712855
ACH-000265,-0.34100187854346714
ACH-000266,-0.3347508816606927
ACH-000272,-0.326760434686075
ACH-000274,-0.4019633908851529
ACH-000277,-0.259268993187005
ACH-000278,-0.3623497479535036
ACH-000279,-0.4232353083103336
ACH-000280,-0.15629980829326398
ACH-000281,-0.27774018684075463
ACH-000288,-0.3964022143740453
ACH-000291,-0.3624452248885799
ACH-000293,-0.2534104499673155
ACH-000294,-0.3012488936922941
ACH-000295,-0.5235137963145712
ACH-000296,-0.1776812033048175
ACH-000302,-0.2794699686615854
ACH-000304,-0.2145247866967278
ACH-000307,-0.4004987505860293
ACH-000308,-0.3866157657267341
ACH-000310,-0.3613192590556011
ACH-000311,-0.2620343036392984
ACH-000312,-0.34744992009231257
ACH-000315,-0.2230518085344028
ACH-000316,-0.18794061812182905
ACH-000317,-0.28664581602366035
ACH-000318,-0.3062874991351073
ACH-000319,-0.1651627121214998
ACH-000320,-0.4152867205737395
ACH-000322,-0.24658609236818785
ACH-000323,-0.392316462340054
ACH-000324,-0.4199315743067256
ACH-000329,-0.3251535764368496
ACH-000330,-0.2823533531628735
ACH-000331,-0.28474207977622445
ACH-000332,-0.4031681660081081
ACH-000334,-0.4634215932229118
ACH-000335,-0.11198243589792377
ACH-000336,-0.2694461487801869
ACH-000337,-0.4155178722238876
ACH-000338,-0.018659602502721882
ACH-000339,-0.29823828993945684
ACH-000341,-0.4509348662700036
ACH-000348,-0.17527232064309872
ACH-000350,-0.2656192425966529
ACH-000352,-0.4219019386633318
ACH-000356,-0.14748899319300413
ACH-000361,-0.13239402896680702
ACH-000362,-0.18599339189084266
ACH-000363,-0.28438358074537257
ACH-000364,-0.15880330457408892
ACH-000365,-0.31777995523237645
ACH-000366,-0.2652296595079942
ACH-000368,-0.15628330675576366
ACH-000374,-0.4166295913824892
ACH-000375,-0.4328008891128695
ACH-000376,-0.2778362632805764
ACH-000381,-0.343484649786859
ACH-000383,-0.2887106115495643
ACH-000387,-0.20266256433172133
ACH-000389,-0.203768279321979
ACH-000390,-0.386371152035848
ACH-000393,-0.2998650859345773
ACH-000395,-0.3739106980703165
ACH-000396,-0.14716633366729234
ACH-000397,-0.3715863863803026
ACH-000401,-0.1916519418512233
ACH-000402,-0.4539375336827286
ACH-000403,-0.25632497215888744
ACH-000404,-0.5922804535929301
ACH-000406,-0.2498280428860627
ACH-000407,-0.339280856953093
ACH-000408,-0.22046816585241968
ACH-000410,-0.2795919649334129
ACH-000411,-0.31137852861947424
ACH-000414,-0.3266612629569069
ACH-000415,-0.4585236711981113
ACH-000416,-0.4227842700078792
ACH-000420,-0.3782714374457269
ACH-000421,-0.34803022449543203
ACH-000424,-0.2903714825412067
ACH-000425,-0.34080048569245985
ACH-000426,-0.3930948724117568
ACH-000427,-0.3982211194906245
ACH-000433,-0.06565465149338717
ACH-000435,-0.2271085010806369
ACH-000436,-0.36670892490018503
ACH-000444,-0.13312714423620264
ACH-000445,-0.16355649021104054
ACH-000448,-0.3662719084358825
ACH-000450,-0.12045954330003078
ACH-000452,-0.271314608169384
ACH-000454,-0.19092558594924525
ACH-000458,-0.18687014635294255
ACH-000459,-0.3447997914988768
ACH-000460,-0.33728226417679696
ACH-000461,-0.25321842003217115
ACH-000463,-0.2124521913504776
ACH-000464,-0.21536869026728625
ACH-000466,-0.4609927987075481
ACH-000467,-0.2756485662495109
ACH-000468,-0.32423982654825684
ACH-000469,-0.3004092692187174
ACH-000470,-0.2219394852694328
ACH-000471,-0.2946832645562661
ACH-000472,-0.26642610299236563
ACH-000473,-0.2128293105815205
ACH-000475,-0.3665475617163981
ACH-000476,-0.29321810652337954
ACH-000477,-0.2725683112102521
ACH-000479,-0.2435699198508575
ACH-000480,-0.09123804867939624
ACH-000481,-0.4473302735209058
ACH-000483,-0.17500698591780192
ACH-000484,-0.2967217275436725
ACH-000485,-0.30391343537958104
ACH-000486,-0.3202920402029754
ACH-000487,-0.4471566871101618
ACH-000488,-0.1948009983460092
ACH-000490,-0.23031492640909926
