,SDHAF2 (54949)
ACH-000004,-0.4118484362979904
ACH-000005,-0.1638686300485217
ACH-000007,-0.4918275976144971
ACH-000009,-0.4466091767123685
ACH-000011,-0.5540686030709019
ACH-000012,-0.4004480884723393
ACH-000013,-0.332054889566067
ACH-000014,-0.6097843979684929
ACH-000015,-0.26448889727161284
ACH-000017,-0.524259996626634
ACH-000018,-0.4591932354984942
ACH-000019,-0.6232465741089829
ACH-000021,-0.4904165003813194
ACH-000022,-0.518626218424195
ACH-000025,-0.4011305585164247
ACH-000028,-0.32668102088151024
ACH-000030,-0.5710617663178583
ACH-000035,-0.4015557300070496
ACH-000036,-0.5424072639843948
ACH-000037,-0.5454467564344962
ACH-000039,-0.5402207754881982
ACH-000040,-0.6273297453914422
ACH-000041,-0.5933295386419271
ACH-000042,-0.55410829952613
ACH-000045,-0.5893327222772667
ACH-000047,-0.6392816887560383
ACH-000052,-0.4656881153272823
ACH-000053,-0.3993502192100149
ACH-000054,-0.4315132019102371
ACH-000055,-0.5700241431674145
ACH-000060,-0.26031413872719805
ACH-000067,-0.4500260122305621
ACH-000070,-0.7905898891594539
ACH-000075,-0.5270759735709523
ACH-000078,-0.27470846975454466
ACH-000082,-0.6801037688966473
ACH-000085,-0.7203661891806437
ACH-000086,-0.5576180972234518
ACH-000087,-0.4525105180948882
ACH-000092,-0.5075050111419381
ACH-000095,-0.4190811750573404
ACH-000097,-0.5022616954003172
ACH-000098,-0.3598023691600931
ACH-000099,-0.4873372960846574
ACH-000108,-0.6048206968124659
ACH-000113,-0.5297265001217589
ACH-000116,-0.6161473583905036
ACH-000118,-0.6451437669893237
ACH-000120,-0.4089794343136614
ACH-000123,-0.42817751491098205
ACH-000127,-0.4421548009784057
ACH-000128,-0.4795641860835225
ACH-000132,-0.4793979637274233
ACH-000133,-0.6891413691368217
ACH-000137,-0.727890242525264
ACH-000138,-0.6283392076928113
ACH-000142,-0.4875214585507965
ACH-000143,-0.3949153084144709
ACH-000146,-0.4731151129570774
ACH-000148,-0.4579247781870399
ACH-000150,-0.4707661515624231
ACH-000152,-0.4262212869999653
ACH-000153,-0.5136133649197143
ACH-000159,-0.5313377490196876
ACH-000160,-0.7095764523235172
ACH-000163,-0.4406863525460138
ACH-000167,-0.6620332804098741
ACH-000168,-0.4652705158976623
ACH-000169,-0.4948118599505365
ACH-000178,-0.4278670466446342
ACH-000183,-0.7223337008853827
ACH-000188,-0.5255680139385185
ACH-000189,-0.5600286549491259
ACH-000190,-0.5307818984556985
ACH-000198,-0.5122565702329319
ACH-000203,-0.5274118140769545
ACH-000204,-0.3688744657576245
ACH-000206,-0.4412330340790047
ACH-000207,-0.7746217141904828
ACH-000208,-0.7976518785301593
ACH-000210,-0.4173432816720415
ACH-000211,-0.4668577623613694
ACH-000215,-0.4358218912660003
ACH-000221,-0.5987180637109518
ACH-000222,-0.5891870642757996
ACH-000223,-0.6349197407489571
ACH-000226,-0.676154232523081
ACH-000227,-0.7010324327048065
ACH-000228,-0.4044050943268955
ACH-000231,-0.3798440663071083
ACH-000232,-0.3101565734273742
ACH-000233,-0.4594297382402704
ACH-000234,-0.4415120790275489
ACH-000235,-0.4866040196535167
ACH-000237,-0.4223570226772167
ACH-000238,-0.7078663938508337
ACH-000242,-0.5373847564554964
ACH-000243,-0.4218701973938517
ACH-000244,-0.5442487747886515
ACH-000246,-0.5412872704760289
ACH-000248,-0.4077703602397319
ACH-000250,-0.4244080687619037
ACH-000251,-0.5972052094036868
ACH-000252,-0.4644614951591444
ACH-000253,-0.5503262907942287
ACH-000255,-0.2893788742806737
ACH-000256,-0.5256486165519576
ACH-000257,-0.3503623687417139
ACH-000258,-0.6160292861224418
ACH-000259,-0.6009665620072998
ACH-000260,-0.3420907279673416
ACH-000261,-0.5757155411794536
ACH-000262,-0.4287996393062622
ACH-000263,-0.32387766106163274
ACH-000264,-0.5514827654227343
ACH-000265,-0.5144053216838231
ACH-000266,-0.4751466098314703
ACH-000272,-0.4936876640007879
ACH-000274,-0.44068922615334494
ACH-000277,-0.4019177190194882
ACH-000278,-0.45007304181057584
ACH-000279,-0.3874583795681584
ACH-000280,-0.3982286019696017
ACH-000281,-0.4874181808673866
ACH-000288,-0.4899571759185064
ACH-000291,-0.4404563935810534
ACH-000293,-0.7323399831179374
ACH-000294,-0.4818735200428346
ACH-000295,-0.5892897396246595
ACH-000296,-0.4491429132438916
ACH-000302,-0.38497364597783496
ACH-000304,-0.6665464639021802
ACH-000307,-0.6163087252884624
ACH-000308,-0.6687936424601728
ACH-000310,-0.4839097018363682
ACH-000311,-0.5222082995977747
ACH-000312,-0.404081126285316
ACH-000315,-0.482880639276412
ACH-000316,-0.5215893216478936
ACH-000317,-0.591927487682855
ACH-000318,-0.5564104725125031
ACH-000319,-0.48868340365591795
ACH-000320,-0.4504761513565223
ACH-000322,-0.5270834896235841
ACH-000323,-0.4632395591067995
ACH-000324,-0.2678396541882941
ACH-000329,-0.38530382052460943
ACH-000330,-0.6239796129152333
ACH-000331,-0.1869432768421284
ACH-000332,-0.446916931157445
ACH-000334,-0.5137178218673156
ACH-000335,-0.5458170788016615
ACH-000336,-0.3950613943997894
ACH-000337,-0.5101712845380693
ACH-000338,-0.41045888830389293
ACH-000339,-0.7009302814569798
ACH-000341,-0.5720925272334129
ACH-000348,-0.4046686699140174
ACH-000350,-0.4107855242009767
ACH-000352,-0.5622820184588257
ACH-000356,-0.33771664325131906
ACH-000361,-0.4025108761529117
ACH-000362,-0.6236810502971603
ACH-000363,-0.4539649893861102
ACH-000364,-0.5763779246016846
ACH-000365,-0.5628457889302341
ACH-000366,-0.5990461835284343
ACH-000368,-0.6253052871620978
ACH-000374,-0.5640280857910659
ACH-000375,-0.5273916259544902
ACH-000376,-0.4731208984356767
ACH-000381,-0.4132001348109453
ACH-000383,-0.4789485350601117
ACH-000387,-0.4231178064966894
ACH-000389,-0.268342931037695
ACH-000390,-0.4076325369270129
ACH-000393,-0.5435314432669733
ACH-000395,-0.554295001488059
ACH-000396,-0.6165092023482329
ACH-000397,-0.5287173460665261
ACH-000401,-0.6426994877807842
ACH-000402,-0.4596415379828124
ACH-000403,-0.5019370497515766
ACH-000404,-0.6953908559137044
ACH-000406,-0.5234512741224718
ACH-000407,-0.5775560522060478
ACH-000408,-0.4698599501042249
ACH-000410,-0.4597703789929161
ACH-000411,-0.6243479104895572
ACH-000414,-0.5362378572513784
ACH-000415,-0.7325928249231264
ACH-000416,-0.4524073213062615
ACH-000420,-0.4303577502301336
ACH-000421,-0.4509056561709886
ACH-000424,-0.4268844720008114
ACH-000425,-0.4682164695469791
ACH-000426,-0.29836411469470897
ACH-000427,-0.6096149778897183
ACH-000433,-0.6451289826572184
ACH-000435,-0.6514937205508029
ACH-000436,-0.6458054473644537
ACH-000444,-0.4415069164846799
ACH-000445,-0.5786350545906589
ACH-000448,-0.5889403535867417
ACH-000450,-0.5253799100351493
ACH-000452,-0.5937185542693919
ACH-000454,-0.6365556466152016
ACH-000458,-0.5384123732905903
ACH-000459,-0.5715538792065321
ACH-000460,-0.5785936042139055
ACH-000461,-0.7751951339236157
ACH-000463,-0.2911483646195972
ACH-000464,-0.4781917630391614
ACH-000466,-0.6581503156271525
ACH-000467,-0.7503374009493531
ACH-000468,-0.5002310741195722
ACH-000469,-0.455524687091159
ACH-000470,-0.5801605328691983
ACH-000471,-0.5248653515725147
ACH-000472,-0.4238365405959245
ACH-000473,-0.4004288014737175
ACH-000475,-0.4460004088722662
ACH-000476,-0.3836947365638577
ACH-000477,-0.2970213770515944
ACH-000479,-0.3182224624183575
ACH-000480,-0.5583168644941576
ACH-000481,-0.5231086027258006
ACH-000483,-0.5827465812313344
ACH-000484,-0.6768637066605869
ACH-000485,-0.5266206434738282
ACH-000486,-0.5612604657543216
ACH-000487,-0.5766922755306477
ACH-000488,-0.4822134559841655
ACH-000490,-0.497672210238764
ACH-000491,-0.5269595759581772
ACH-000495,-0.561128774951592
ACH-000496,-0.6159998680599318
ACH-000499,-0.4741201242999877
ACH-000500,-0.766526263318364
ACH-000502,-0.5776767509444194
ACH-000503,-0.6833527285085621
ACH-000505,-0.40731127957339536
ACH-000507,-0.5817375484108108
ACH-000510,-0.4181190420928792
ACH-000511,-0.4637063003030636
ACH-000512,-0.32581166427788594
ACH-000516,-0.3462113202881906
ACH-000517,-0.487439867907681
ACH-000518,-0.3055741595147032
ACH-000520,-0.4373100873518752
ACH-000521,-0.4773510687836741
ACH-000522,-0.5303189582833582
ACH-000524,-0.4292803708908429
ACH-000527,-0.4912720216434868
ACH-000528,-0.4560255961876885
ACH-000537,-0.5604119546316859
ACH-000541,-0.7517904027510224
ACH-000542,-0.4678166335231868
ACH-000544,-0.47939430477663303
ACH-000545,-0.5843562780223117
ACH-000547,-0.608709047196012
ACH-000548,-0.6119950149643051
ACH-000549,-0.3875295694341509
ACH-000550,-0.4440347835301932
ACH-000552,-0.4468848092641925
ACH-000556,-0.4441994003651336
ACH-000557,-0.5146063390106496
ACH-000569,-0.29433138359291033
ACH-000570,-0.4449859963522998
ACH-000571,-0.4941966894669732
ACH-000573,-0.3801663860215518
ACH-000576,-0.4276862018110752
ACH-000579,-0.7599666779977587
ACH-000580,-0.5632603644196522
ACH-000584,-0.4466649256790304
ACH-000585,-0.6195960181693828
ACH-000588,-0.4023095631976689
ACH-000589,-0.4188234895481829
ACH-000591,-0.5934525835332699
ACH-000593,-0.4357201804461532
ACH-000600,-0.39231447890297694
ACH-000601,-0.6602407274421545
ACH-000605,-0.500796906216852
ACH-000606,-0.5330526794157135
ACH-000608,-0.556125967338797
ACH-000614,-0.7144410220816789
ACH-000616,-0.4591149906558336
ACH-000618,-0.6354096059972266
ACH-000619,-0.3746013244847637
ACH-000620,-0.5134333902402772
ACH-000621,-0.4825042623789369
ACH-000622,-0.5477549962864099
ACH-000623,-0.59876071556989
ACH-000624,-0.5187676567234181
ACH-000627,-0.4164365802699165
ACH-000630,-0.41049082624774497
ACH-000631,-0.7496348249274629
ACH-000632,-0.4582098487331915
ACH-000633,-0.5744177404287166
ACH-000637,-0.530122296322631
ACH-000638,-0.6221151954077779
ACH-000646,-0.421620748444969
ACH-000647,-0.5589206480671678
ACH-000648,-0.6990621774767711
ACH-000649,-0.3954259419391477
ACH-000651,-0.5578977491020092
ACH-000652,-0.6322330114913801
ACH-000653,-0.5631950924193686
ACH-000657,-0.4111691021495492
ACH-000658,-0.4864336141171392
ACH-000661,-0.5651880770544447
ACH-000662,-0.6981619613471384
ACH-000663,-0.3587620553259858
ACH-000665,-0.5660175306285051
ACH-000671,-0.3844750496623577
ACH-000672,-0.10784571864644364
ACH-000673,-0.3863900700093561
ACH-000676,-0.5071134042521092
ACH-000677,-0.452641098431295
ACH-000681,-0.4089144043768068
ACH-000683,-0.5148388898896524
ACH-000684,-0.5564607313186068
ACH-000688,-0.4482717791141701
ACH-000693,-0.5688606447533571
ACH-000694,-0.5878693439616847
ACH-000695,-0.4518516055958052
ACH-000696,-0.3468633633702395
ACH-000697,-0.5738393151378781
ACH-000699,-0.5319895075120332
ACH-000701,-0.5064946732290758
ACH-000706,-0.3402966079127958
ACH-000711,-0.4749507285872036
ACH-000713,-0.4835189918600044
ACH-000714,-0.40699516456519136
ACH-000718,-0.4684193140561021
ACH-000720,-0.4677881031004645
ACH-000721,-0.35354985263066113
ACH-000724,-0.7507317725620187
ACH-000725,-0.5098648653796704
ACH-000732,-0.4364358279977729
ACH-000734,-0.6749726286350876
ACH-000735,-0.6772368819547984
ACH-000736,-0.7324093406844906
ACH-000738,-0.5099724661303775
ACH-000746,-0.4275711757973064
ACH-000747,-0.41291504144502816
ACH-000748,-0.7097872400921659
ACH-000753,-0.5050964446069376
ACH-000756,-0.496494675103745
ACH-000757,-0.5520877620252118
ACH-000758,-0.4222593796099484
ACH-000760,-0.4465857098862303
ACH-000762,-0.4894004700752259
ACH-000763,-0.5649688137943473
ACH-000764,-0.5135209590540178
ACH-000765,-0.5583045592507673
ACH-000766,-0.4842565093475228
ACH-000767,-0.4415925649601428
ACH-000768,-0.5625653710913809
ACH-000769,-0.35642834053821904
ACH-000770,-0.7130722589067633
ACH-000771,-0.4928661068180062
ACH-000773,-0.5638183714901588
ACH-000776,-0.3999551186101358
ACH-000777,-0.5547479712666913
ACH-000778,-0.4765331606629129
ACH-000781,-0.5448917197180051
ACH-000782,-0.5418339754354726
ACH-000783,-0.5603702884686014
ACH-000784,-0.2242737581222374
ACH-000785,-0.5332885946706244
ACH-000787,-0.3154536017335541
ACH-000788,-0.5204576473077052
ACH-000791,-0.504175430035335
ACH-000792,-0.4498105207666698
ACH-000794,-0.7555095958523311
ACH-000796,-0.4950910320270762
ACH-000798,-0.5237713799250389
