,KLLN (100144748)
ACH-000004,0.007429431303034294
ACH-000005,-0.06366253221877863
ACH-000007,-0.1871846596021884
ACH-000009,-0.0059837791809761705
ACH-000011,-0.2113476920732616
ACH-000012,-0.16750894905729233
ACH-000013,0.003790754739188529
ACH-000014,-0.30187001015980497
ACH-000015,-0.16603061850498504
ACH-000017,-0.047713891829542485
ACH-000018,-0.3455780261665413
ACH-000019,-0.16673301896034198
ACH-000021,-0.12990040271177747
ACH-000022,-0.16530847940169946
ACH-000025,-0.1341820816727496
ACH-000028,-0.046543007863856393
ACH-000030,-0.1664279428394594
ACH-000035,-0.11432514373160665
ACH-000036,-0.21616331863866226
ACH-000037,-0.21087065528698576
ACH-000039,-0.051353870396484695
ACH-000040,-0.07741866528578667
ACH-000041,-0.12127117665729095
ACH-000042,-0.10629063083721413
ACH-000045,-0.12317807066621565
ACH-000047,-0.2406812106930878
ACH-000052,-0.21711154910264835
ACH-000053,-0.10532371855232822
ACH-000054,-0.029760758986682862
ACH-000055,-0.3122391122312696
ACH-000060,-0.13050591903203368
ACH-000067,-0.1567296967374227
ACH-000070,-0.19173249419138172
ACH-000075,-0.016617929947850673
ACH-000078,-0.07352315420604352
ACH-000082,-0.06521423770150465
ACH-000085,-0.21058055435689546
ACH-000086,-0.2374779716238476
ACH-000087,0.032723925377212235
ACH-000092,-0.02071860695446204
ACH-000095,-0.06913183705823496
ACH-000097,-0.07324221703039416
ACH-000098,0.028965149019709282
ACH-000099,-0.1187071672136441
ACH-000108,-0.14318457851325536
ACH-000113,-0.1028569880149616
ACH-000116,-0.09710225218725388
ACH-000118,-0.13398774544422795
ACH-000120,-0.040200859306812116
ACH-000123,0.02930768573635317
ACH-000127,-0.14946048387500074
ACH-000128,0.07152866918843206
ACH-000132,-0.22489852585952927
ACH-000133,-0.18833123334633087
ACH-000137,-0.31252373336974565
ACH-000138,-0.08081469178009343
ACH-000142,-0.02582638732907148
ACH-000143,-0.14857304872769533
ACH-000146,-0.12862923687811534
ACH-000148,-0.16856403088530889
ACH-000150,-0.014192274804796122
ACH-000152,-0.1401790953274225
ACH-000153,0.09111465349067206
ACH-000159,-0.1954470030155881
ACH-000160,-0.25303485598468284
ACH-000163,0.02555419558037634
ACH-000167,-0.05324466673732202
ACH-000168,-0.2085706655969931
ACH-000169,-0.06346153377993391
ACH-000178,-0.08512730907200322
ACH-000183,-0.0632615137748094
ACH-000188,-0.07078336827224574
ACH-000189,-0.18776267424673956
ACH-000190,-0.0010973434322806093
ACH-000198,-0.11081337931291456
ACH-000203,-0.5042385842002022
ACH-000204,-0.11838292930240878
ACH-000206,-0.2668947626771065
ACH-000207,-0.018602656187704916
ACH-000208,-0.04047596155773208
ACH-000210,-0.04949295542043007
ACH-000211,-0.19785067854873312
ACH-000215,-0.181576414295648
ACH-000221,-0.0733778422093366
ACH-000222,-0.0985040365324454
ACH-000223,-0.25734470345728816
ACH-000226,-0.14068425419179406
ACH-000227,-0.2964271969399748
ACH-000228,-0.42262904831946185
ACH-000231,-0.26192159387247
ACH-000232,-0.19137744790781416
ACH-000233,-0.06789581155922242
ACH-000234,-0.2061607616998412
ACH-000235,-0.1581193592162534
ACH-000237,-0.06468402519636443
ACH-000238,-0.20310889143656236
ACH-000242,-0.2129810450477217
ACH-000243,-0.1848973741388372
ACH-000244,-0.07793537524551354
ACH-000246,-0.09320204698764907
ACH-000248,-0.034516853533975725
ACH-000250,-0.19195543742954327
ACH-000251,-0.0027344591372443533
ACH-000252,-0.08630500418188401
ACH-000253,-0.10339988638884168
ACH-000255,-0.13298842522112478
ACH-000256,-0.11936866319048554
ACH-000257,-0.038040658412464234
ACH-000258,-0.19972037519957472
ACH-000259,-0.10459527326554956
ACH-000260,-0.16273441709141348
ACH-000261,-0.11271579721958852
ACH-000262,-0.2642562870083748
ACH-000263,-0.2537053853307319
ACH-000264,-0.1444849613023359
ACH-000265,-0.08716967507433307
ACH-000266,-0.13375813546031848
ACH-000272,-0.1059319518245448
ACH-000274,-0.14780749112459846
ACH-000277,-0.15104466862022864
ACH-000278,-0.10400784493808972
ACH-000279,-0.2351339619148728
ACH-000280,-0.028918820656656814
ACH-000281,-0.16530483250407066
ACH-000288,-0.09139089581629754
ACH-000291,-0.3258992089383969
ACH-000293,-0.2011329268119096
ACH-000294,-0.2643208598512187
ACH-000295,-0.16186144183325707
ACH-000296,0.03581746485550486
ACH-000302,-0.07492409153545483
ACH-000304,-0.2402126159839115
ACH-000307,-0.12078119313183487
ACH-000308,-0.13687568367853434
ACH-000310,-0.13268922381103046
ACH-000311,-0.18497268962262786
ACH-000312,-0.14216521266503235
ACH-000315,-0.16594146142819502
ACH-000316,-0.1616421653319316
ACH-000317,-0.054685451804313764
ACH-000318,-0.047868265285401
ACH-000319,-0.16540171896956016
ACH-000320,-0.5234757169193327
ACH-000322,-0.1524147130171392
ACH-000323,-0.18623748614553995
ACH-000324,-0.04650058586739772
ACH-000329,-0.24910084240306804
ACH-000330,-0.05632004795145845
ACH-000331,-0.371413597139969
ACH-000332,-0.21275278261256506
ACH-000334,-0.0501566989047894
ACH-000335,-0.1607968730969678
ACH-000336,0.19607110986964915
ACH-000337,-0.21710838514075814
ACH-000338,-0.5689568484964304
ACH-000339,-0.15682582317491242
ACH-000341,-0.07572960235226463
ACH-000348,-0.0529876441544509
ACH-000350,-0.13768025762361685
ACH-000352,-0.0718723367306283
ACH-000356,0.029309084882473264
ACH-000361,-0.2220424249604641
ACH-000362,-0.1501508102104809
ACH-000363,-0.06902533563608987
ACH-000364,0.04541596834734919
ACH-000365,-0.14874541103073044
ACH-000366,-0.11783502642991522
ACH-000368,0.12395617722439999
ACH-000374,-0.20034843316504367
ACH-000375,-0.14655152300793728
ACH-000376,-0.23659727692932614
ACH-000381,-0.12973485228239187
ACH-000383,-0.03900572665538763
ACH-000387,-0.14210648998754138
ACH-000389,-0.1813510466480711
ACH-000390,0.05637114433468773
ACH-000393,-0.1700850251019704
ACH-000395,-0.08572522416008843
ACH-000396,-0.10477657125982877
ACH-000397,-0.21392847390842767
ACH-000401,-0.01197637949234847
ACH-000402,-0.10701961927282183
ACH-000403,-0.16705752916013894
ACH-000404,-0.09035403614852697
ACH-000406,-0.11445979592435705
ACH-000407,-0.044694429590321015
ACH-000408,-0.09631405235109908
ACH-000410,-0.19399568063347628
ACH-000411,-0.22610895910970766
ACH-000414,-0.11593876166894225
ACH-000415,-0.16829618295116955
ACH-000416,-0.14256213428419706
ACH-000420,-0.14134583494797404
ACH-000421,-0.11682502798650998
ACH-000424,-0.11827038102805446
ACH-000425,-0.14314346554657734
ACH-000426,-0.0966435725764396
ACH-000427,-0.18958577413309333
ACH-000433,-0.028114280693173517
ACH-000435,-0.17518773388082018
ACH-000436,-0.2269459399967521
ACH-000444,-0.12093153641799835
ACH-000445,-0.1308274446878651
ACH-000448,-0.1535073367206992
ACH-000450,-0.1125924822904556
ACH-000452,-0.17388507938156994
ACH-000454,-0.20476900923550975
ACH-000458,-0.2969261638097594
ACH-000459,-0.05471241411736988
ACH-000460,-0.11826050680344925
ACH-000461,-0.015386743215623819
ACH-000463,-0.1685514367396142
ACH-000464,-0.18651371050185253
ACH-000466,-0.18089272637194334
ACH-000467,-0.23262979679684465
