,VMO1 (284013)
ACH-000004,-0.253276344357016
ACH-000005,0.0030293843935730717
ACH-000007,0.0758887549926382
ACH-000009,-0.1853217148387938
ACH-000011,-0.07964635265047251
ACH-000012,-0.15432208891295496
ACH-000013,-0.3246295147489974
ACH-000014,-0.0776026175377512
ACH-000015,-0.0723029223108626
ACH-000017,-0.2460637516777192
ACH-000018,-0.009646227051840277
ACH-000019,-0.2554843802199738
ACH-000021,-0.013562946249964285
ACH-000022,-0.09894075919015254
ACH-000025,-0.15277011997067505
ACH-000028,-0.042840415902211264
ACH-000030,-0.19334234186725366
ACH-000035,-0.0696760018737642
ACH-000036,-0.1464170230174666
ACH-000037,-0.09830961914217244
ACH-000039,-0.16980674070919355
ACH-000040,-0.16835089677352846
ACH-000041,-0.06718828476675362
ACH-000042,-0.27803917563583225
ACH-000045,-0.2258668185741924
ACH-000047,-0.13027997299950148
ACH-000052,-0.19988964132354664
ACH-000053,-0.14608062814747996
ACH-000054,-0.13776889058115524
ACH-000055,-0.038488880821921666
ACH-000060,-0.059019408224540874
ACH-000067,-0.042918455559424334
ACH-000070,-0.11073771141545292
ACH-000075,-0.2547055368898986
ACH-000078,-0.13128492344727574
ACH-000082,-0.16405048010836273
ACH-000085,-0.4009103925893126
ACH-000086,0.04929682794374115
ACH-000087,-0.20996534354425092
ACH-000092,-0.021689051172254246
ACH-000095,-0.16196798503919507
ACH-000097,-0.23226485624534066
ACH-000098,-0.2498831255624865
ACH-000099,-0.40399044503322296
ACH-000108,-0.08203173098848836
ACH-000113,-0.034055083661313344
ACH-000116,-0.10326805599900137
ACH-000118,-0.2154930794774665
ACH-000120,-0.026794343674488925
ACH-000123,-0.18588127392357168
ACH-000127,-0.14404659601480702
ACH-000128,-0.0152412875810812
ACH-000132,-0.1745481697777043
ACH-000133,-0.27143023676369965
ACH-000137,0.06902198810652913
ACH-000138,-0.0037239869855680147
ACH-000142,-0.02087330547732292
ACH-000143,-0.1857506029863621
ACH-000146,-0.07553071882341833
ACH-000148,-0.04177027643810461
ACH-000150,-0.4722979769407971
ACH-000152,-0.2377066380931952
ACH-000153,0.3019104594988401
ACH-000159,-0.16121612430631746
ACH-000160,-0.13480237320925803
ACH-000163,-0.16531529675506615
ACH-000167,-0.4439111754516338
ACH-000168,-0.2029232841672005
ACH-000169,-0.027640863905954383
ACH-000178,-0.1109014036744987
ACH-000183,-0.1049218117426129
ACH-000188,-0.2450941785036043
ACH-000189,-0.5072749060442152
ACH-000190,-0.3867080198302731
ACH-000198,-0.14974787995160074
ACH-000203,-0.49121673305254704
ACH-000204,-0.2307606058503208
ACH-000206,-0.14798110451296362
ACH-000207,-0.3243292228001757
ACH-000208,-0.3561219732275445
ACH-000210,-0.13804148787360654
ACH-000211,-0.07429035852178585
ACH-000215,-0.11267649751664645
ACH-000221,-0.2400129617435663
ACH-000222,-0.13581715068105396
ACH-000223,-0.10139107290717277
ACH-000226,-0.14122897240835658
ACH-000227,-0.06050916672738555
ACH-000228,-0.02852312460834897
ACH-000231,-0.11414248976264048
ACH-000232,-0.035906799627771394
ACH-000233,-0.08485315056502579
ACH-000234,-0.2605437257024728
ACH-000235,-0.10602157937416354
ACH-000237,-0.09503123390224792
ACH-000238,-0.13644474575917415
ACH-000242,-0.28634241222329104
ACH-000243,-0.1231960885829578
ACH-000244,-0.2059303698046314
ACH-000246,-0.09303789611211401
ACH-000248,-0.10479475162561253
ACH-000250,-0.17576150167021762
ACH-000251,-0.07156339684206048
ACH-000252,-0.026886188158917704
ACH-000253,-0.06270875325536568
ACH-000255,-0.05064914675562255
ACH-000256,-0.26288859508301377
ACH-000257,-0.048058518545540455
ACH-000258,0.052301441337638484
ACH-000259,-0.12140665302302775
ACH-000260,-0.1979251595521124
ACH-000261,-0.014684897530171919
ACH-000262,0.0881740298801414
ACH-000263,0.022640033498435318
ACH-000264,-0.1369295304568868
ACH-000265,-0.09430083727297753
ACH-000266,-0.11475424094611185
ACH-000272,-0.1410934718985409
ACH-000274,-0.34446796112279704
ACH-000277,-0.2778671717202784
ACH-000278,-0.08337673411216234
ACH-000279,-0.20020530642201328
ACH-000280,-0.1458542637504847
ACH-000281,-0.03640373324247699
ACH-000288,-0.35560345395329024
ACH-000291,0.07165937213475511
ACH-000293,-0.0844966438769989
ACH-000294,-0.18158366714443436
ACH-000295,-0.20761064064340165
ACH-000296,-0.07263192172902909
ACH-000302,-0.14146030186748354
ACH-000304,0.10350692559664117
ACH-000307,-0.09231032824038088
ACH-000308,-0.0758055375593263
ACH-000310,-0.1844334024658053
ACH-000311,0.08495129662753897
ACH-000312,-0.12746367065414646
ACH-000315,-0.01456234823074035
ACH-000316,-0.18171200624979705
ACH-000317,-0.19805416250715402
ACH-000318,-0.14558028526960576
ACH-000319,-0.07071272430291912
ACH-000320,-0.009857882554811721
ACH-000322,0.03714986474251883
ACH-000323,-0.10602990745249738
ACH-000324,-0.3136600506430637
ACH-000329,-0.18611220824534505
ACH-000330,0.0004261346889643333
ACH-000331,-0.2763255905507645
