,ADRM1 (11047)
ACH-000004,-0.19962191797032366
ACH-000005,-0.4418090173364673
ACH-000007,-0.362003930921743
ACH-000009,-0.44577458485624494
ACH-000011,-0.9648700280409904
ACH-000012,-0.5016301745917326
ACH-000013,-0.3559411239819796
ACH-000014,-0.896937850002543
ACH-000015,-0.3060161040779153
ACH-000017,-0.5815608219122629
ACH-000018,-0.6500635104999871
ACH-000019,-0.5179160494180514
ACH-000021,-0.1615502035353823
ACH-000022,-0.3647362805744465
ACH-000025,-0.3890565383468115
ACH-000028,-0.8595386749913737
ACH-000030,-0.6679101698213147
ACH-000035,-0.21521474885704125
ACH-000036,-0.4629405814171619
ACH-000037,-0.31555233154415
ACH-000039,-0.29033983050858336
ACH-000040,-0.42644126976299496
ACH-000041,-0.2344924403546639
ACH-000042,-0.3902805236874103
ACH-000045,-0.5674500186586928
ACH-000047,-0.5438487692446657
ACH-000052,-0.5058609084062213
ACH-000053,-0.5981154833864866
ACH-000054,-0.8557326194365725
ACH-000055,-0.6740109270377712
ACH-000060,-0.2062152209905988
ACH-000067,-0.19096217673402707
ACH-000070,-0.26571368438475285
ACH-000075,-0.6234726860526736
ACH-000078,-0.5276283827409111
ACH-000082,-0.35603717355056985
ACH-000085,-0.3547446241441639
ACH-000086,-0.5540901100251739
ACH-000087,-0.461626775710156
ACH-000092,-0.3371805862845586
ACH-000095,-0.5070361035006696
ACH-000097,-0.5726170239440262
ACH-000098,-0.5377072980779941
ACH-000099,-0.50305538272403
ACH-000108,-0.583883162804314
ACH-000113,-0.4861376920397396
ACH-000116,-0.3632741129916843
ACH-000118,-0.21500584372729806
ACH-000120,-0.6745247038013665
ACH-000123,-0.4799266811784215
ACH-000127,-0.4155515075257949
ACH-000128,-0.18009493691298936
ACH-000132,-0.5875016292757298
ACH-000133,-0.4483573310366197
ACH-000137,-0.2271086892683377
ACH-000138,-0.268563000373336
ACH-000142,-0.3828934879588593
ACH-000143,-0.6179336682358711
ACH-000146,-0.2992963263073161
ACH-000148,-0.3656836655853824
ACH-000150,-0.5866986200371699
ACH-000152,-0.4512139446863617
ACH-000153,-0.5954712996631918
ACH-000159,-0.3336165437835464
ACH-000160,-0.07059412491776186
ACH-000163,-0.5942177896451308
ACH-000167,0.458182245715081
ACH-000168,-0.3313832934106006
ACH-000169,-0.404809485532804
ACH-000178,-0.4687028431931765
ACH-000183,-0.3890148545003985
ACH-000188,-0.28294745366842683
ACH-000189,-0.4954710842156152
ACH-000190,-0.06580660269140264
ACH-000198,-0.5413270770376273
ACH-000203,-1.2075693483649328
ACH-000204,-0.43933325142321505
ACH-000206,-0.7596191596185542
ACH-000207,-0.4900593507470077
ACH-000208,-0.8880517503842704
ACH-000210,-0.20161420117437426
ACH-000211,-0.7538881355908064
ACH-000215,-0.3612045940490991
ACH-000221,-0.2702092972387652
ACH-000222,-0.3801927147516935
ACH-000223,-0.4620384162689426
ACH-000226,-0.8021593833145365
ACH-000227,-0.222023375562412
ACH-000228,-0.4737050005058339
ACH-000231,-0.4704638547345002
ACH-000232,-0.4433247971600049
ACH-000233,-0.6033634633213606
ACH-000234,-0.5533165163678107
ACH-000235,-0.4546275184814622
ACH-000237,-0.5462526234977673
ACH-000238,-0.6374689825617138
ACH-000242,-0.3680590581106027
ACH-000243,-0.4556802846042538
ACH-000244,-0.4405391833469989
ACH-000246,-0.8760274917043182
ACH-000248,-0.6816620832992716
ACH-000250,-0.4382123454882433
ACH-000251,-0.6374872614227369
ACH-000252,-0.4298644558968876
ACH-000253,-0.3579469302157478
ACH-000255,-0.5266658345743335
ACH-000256,-0.21541984988792587
ACH-000257,-0.5384912961670528
ACH-000258,-0.2876070375498434
ACH-000259,-0.37506306970040904
ACH-000260,-0.5080783222579474
ACH-000261,-0.6309237990340393
ACH-000262,-0.3652199905066589
ACH-000263,-0.3410975494138063
ACH-000264,-0.40364725999211903
ACH-000265,-0.31507028130984954
ACH-000266,-0.6241063115343546
ACH-000272,-0.4987786605032824
ACH-000274,-0.8390616305500342
ACH-000277,-0.6567853064925282
ACH-000278,-0.3462952382381357
ACH-000279,-0.08197645781430332
ACH-000280,-0.5317536596787695
ACH-000281,-0.4380810009042977
ACH-000288,-0.3220031913152415
ACH-000291,-0.4339261854429168
ACH-000293,-0.2601333053944971
ACH-000294,-0.33503009346572704
ACH-000295,-0.3453332410467514
ACH-000296,-0.6700575579018959
ACH-000302,-0.3621691107620901
ACH-000304,-0.4570812186190383
ACH-000307,-0.5603021666489685
ACH-000308,-0.4105192453175925
ACH-000310,-0.3389269077639341
ACH-000311,-0.5829226116203832
ACH-000312,-0.3077207527726219
ACH-000315,-0.4793119717338213
ACH-000316,-0.4632308245211027
ACH-000317,-0.7077027945827472
ACH-000318,-0.4459284515856489
ACH-000319,-0.4116574499221513
ACH-000320,-0.27624124304053904
ACH-000322,-0.6635835774913995
ACH-000323,-0.6481047960779103
ACH-000324,-0.4750167869899169
ACH-000329,-0.4361396689157528
ACH-000330,-0.4682221852225686
ACH-000331,-0.6276225424517181
ACH-000332,-0.2909257164965709
ACH-000334,0.058013903331575536
ACH-000335,-0.7750796579666605
ACH-000336,-0.5516091589341301
ACH-000337,-0.09315201502968946
ACH-000338,-0.5985738186778686
ACH-000339,-0.5223040969866841
ACH-000341,-0.3396493578241768
ACH-000348,-0.3087279945036132
ACH-000350,-0.35529949274951583
ACH-000352,-0.5566771966048544
ACH-000356,-0.3548324770718573
ACH-000361,-0.7846815395557021
ACH-000362,-0.4031816457622151
ACH-000363,-0.6406626053999025
ACH-000364,-0.5361512201395813
ACH-000365,-0.14594987134121154
ACH-000366,-0.3824973194155893
ACH-000368,-0.2928050747795702
ACH-000374,-0.8574508277426824
ACH-000375,-0.4442496780390371
ACH-000376,-0.5532740135502829
ACH-000381,-0.4676665310209037
ACH-000383,-0.36306361849739816
ACH-000387,-0.4984896974758278
ACH-000389,-0.6110306819309465
ACH-000390,-0.5927562981891452
ACH-000393,-0.3870260189390953
ACH-000395,-0.7389304619053796
ACH-000396,-0.430825238913802
ACH-000397,-0.4004847673348928
ACH-000401,-0.3953543730189544
ACH-000402,-0.3588991286785325
ACH-000403,-0.5295993121485839
ACH-000404,-0.6938584308578852
ACH-000406,-0.2870914217765949
ACH-000407,-0.21492077737861706
ACH-000408,-0.3629519826489607
ACH-000410,-0.20621885485523545
ACH-000411,-0.5412092235603314
ACH-000414,-0.6915787190983429
ACH-000415,-0.3873734829111887
ACH-000416,-0.4585701549445524
ACH-000420,-0.6525301336474815
ACH-000421,-0.22610849133015004
ACH-000424,-0.6465598143846232
ACH-000425,-0.6721370075644942
ACH-000426,-0.4130239937960828
ACH-000427,-0.5355774561873227
ACH-000433,-0.6760117413212474
ACH-000435,-0.2197083819734656
ACH-000436,-0.7266814215940192
ACH-000444,-0.4529111691862626
ACH-000445,-0.5246962586091869
ACH-000448,-0.5376228956373095
ACH-000450,-0.5818770047551856
ACH-000452,-0.3588624134030586
ACH-000454,-0.5917311603974453
ACH-000458,-0.4462158552703475
ACH-000459,-0.59534125692353
ACH-000460,-0.34539942179630706
ACH-000461,-0.3733647845572726
ACH-000463,-0.4642844499965098
ACH-000464,-0.4979638827483632
ACH-000466,-0.5047667885389124
ACH-000467,-0.4663809821610779
ACH-000468,-0.8400647925172773
ACH-000469,-0.6035284856456754
ACH-000470,-0.1895970860010135
ACH-000471,-0.39781306665272775
ACH-000472,-0.4301536566051037
ACH-000473,-0.4695537492805694
ACH-000475,-0.4103907796714685
ACH-000476,-0.34075579176970744
ACH-000477,-0.4126900431373374
ACH-000479,-0.8048784164908617
ACH-000480,-0.3700106725351498
ACH-000481,-0.3168758241042926
ACH-000483,-0.4545578931772784
ACH-000484,-0.33683293270119063
ACH-000485,-0.4494280205754115
ACH-000486,-0.8326628018145793
ACH-000487,-0.3509128995346099
ACH-000488,-0.4047678098310588
ACH-000490,-0.6880594831796537
ACH-000491,-0.304482971575388
ACH-000495,-0.9514317515175564
ACH-000496,-0.3679270765193639
ACH-000499,-0.4365003657738555
ACH-000500,-0.4826462740624946
ACH-000502,-0.055441109642123065
ACH-000503,-0.5174704246397478
ACH-000505,-0.3785604296586145
ACH-000507,-0.4585892057116017
ACH-000510,-0.44752362109412896
ACH-000511,-0.3570182769869588
ACH-000512,-0.3456459923703999
ACH-000516,-0.6359096995112425
ACH-000517,-0.5931592601048336
ACH-000518,-0.9117134656208766
ACH-000520,-0.74448350629986
ACH-000521,-0.5495382950436885
ACH-000522,-0.7324748872085827
