,TPMT (7172)
ACH-000004,-0.3008531126472821
ACH-000005,-0.07883500414745563
ACH-000007,-0.08750114382846587
ACH-000009,-0.10081397782274408
ACH-000011,-0.3206650372064873
ACH-000012,-0.14909183095716227
ACH-000013,-0.1879857598249475
ACH-000014,-0.3751983785759965
ACH-000015,-0.11611343518328353
ACH-000017,-0.3522255588767696
ACH-000018,-0.12550712553346452
ACH-000019,-0.0889511733823748
ACH-000021,-0.07437975984647012
ACH-000022,-0.06086066016424978
ACH-000025,-0.1937579174338654
ACH-000028,-0.07075913264268484
ACH-000030,-0.08424222498401251
ACH-000035,0.01875284297155763
ACH-000036,-0.11256573159083676
ACH-000037,-0.05981423043429709
ACH-000039,-0.11911466766473874
ACH-000040,-0.04440240825173148
ACH-000041,-0.2957202921677793
ACH-000042,0.06639053985520743
ACH-000045,0.054365009422968034
ACH-000047,-0.10522228306437384
ACH-000052,-0.28512076468788866
ACH-000053,-0.03201502576666107
ACH-000054,-0.1634998882618845
ACH-000055,-0.15446837278421616
ACH-000060,-0.2644931858700313
ACH-000067,-0.17334388313526866
ACH-000070,-0.09309706969488676
ACH-000075,-0.17740989371711774
ACH-000078,-0.25756858832482066
ACH-000082,-0.1023119235852131
ACH-000085,-0.29393132675861106
ACH-000086,-0.008831834996373059
ACH-000087,-0.39673092888060335
ACH-000092,-0.22514269148229907
ACH-000095,-0.1442431703234914
ACH-000097,-0.15065628648693988
ACH-000098,-0.13265089329399762
ACH-000099,-0.06512297571798464
ACH-000108,-0.10296328618162516
ACH-000113,-0.042944662502512505
ACH-000116,-0.2319497219688291
ACH-000118,-0.07362701841919382
ACH-000120,-0.14418608477628456
ACH-000123,-0.19648843176927955
ACH-000127,-0.19832733824609955
ACH-000128,-0.16090014227901858
ACH-000132,-0.1851128639199935
ACH-000133,-0.12366092749060514
ACH-000137,-0.05430482434356449
ACH-000138,-0.13750406520255856
ACH-000142,-0.135217611839018
ACH-000143,-0.16434835710714024
ACH-000146,-0.050219219695514336
ACH-000148,-0.1246884610655887
ACH-000150,-0.21108280972125168
ACH-000152,-0.09381607156896993
ACH-000153,-0.14510110317117644
ACH-000159,-0.2320226653414593
ACH-000160,-0.02576657052478684
ACH-000163,-0.07186523544584737
ACH-000167,-0.022572647878177136
ACH-000168,-0.3506044701732985
ACH-000169,-0.2977160537347203
ACH-000178,-0.12068283024777238
ACH-000183,-0.2406544122441255
ACH-000188,-0.03990805464695299
ACH-000189,-0.15029974162556542
ACH-000190,-0.15598228237076314
ACH-000198,-0.13380999194785198
ACH-000203,0.01392527519545967
ACH-000204,0.034768948300399435
ACH-000206,-0.19942318495296493
ACH-000207,-0.15838707730275411
ACH-000208,-0.03536581513878523
ACH-000210,-0.17901630198900415
ACH-000211,-0.2047879160241773
ACH-000215,-0.16537017096685633
ACH-000221,-0.04558602141224277
ACH-000222,-0.04555507737755359
ACH-000223,-0.2573295233796741
ACH-000226,-0.11009911911025884
ACH-000227,-0.16832332427576233
ACH-000228,-0.04619206301973137
ACH-000231,-0.3007093781206319
ACH-000232,-0.09582542960066627
ACH-000233,-0.2146695248736281
ACH-000234,-0.19342908190212105
ACH-000235,-0.13641570567033084
ACH-000237,-0.145633849212655
ACH-000238,-0.2095111436289432
ACH-000242,-0.16107738404361602
ACH-000243,-0.10341235817813058
ACH-000244,-0.07969629238935154
ACH-000246,-0.1510382852950526
ACH-000248,-0.3000720432236009
ACH-000250,-0.15376167878808114
ACH-000251,0.02052742899327513
ACH-000252,-0.1115368582004902
ACH-000253,-0.17488032692754102
ACH-000255,-0.12876032207163254
ACH-000256,-0.09202669593111117
ACH-000257,-0.16080570580752024
ACH-000258,-0.0733825376446444
ACH-000259,-0.0475955998118504
ACH-000260,-0.08105204782959051
ACH-000261,-0.17933487030402978
ACH-000262,-0.12693286116466418
ACH-000263,0.08118831916324805
ACH-000264,-0.1673627637305304
ACH-000265,-0.20884754595567487
ACH-000266,-0.12272656519530195
ACH-000272,-0.14124567221038728
ACH-000274,-0.15315892333487194
ACH-000277,-0.12542217321019575
ACH-000278,-0.11363975451227155
ACH-000279,-0.16085737144319584
ACH-000280,-0.09765307502138484
ACH-000281,-0.21872605422052194
ACH-000288,-0.015714082033018703
ACH-000291,-0.16958030279813166
ACH-000293,-0.06699833086172456
ACH-000294,-0.09337681520431974
ACH-000295,-0.10545218832434536
ACH-000296,-0.28620402571771764
ACH-000302,-0.22769610316689284
ACH-000304,-0.4851140488626394
ACH-000307,-0.1793091779317406
ACH-000308,-0.22738174194254096
ACH-000310,-0.12340434612309445
ACH-000311,-0.031513935630801904
ACH-000312,-0.19195114255047974
ACH-000315,0.0730456223916703
ACH-000316,-0.10995710345827787
ACH-000317,-0.018591483563524774
ACH-000318,-0.057759537019988774
ACH-000319,-0.10036600132977026
ACH-000320,-0.1522120566276491
ACH-000322,-0.09422493280826673
ACH-000323,-0.09888304796949683
ACH-000324,-0.14194282441579684
ACH-000329,-0.1274057838659028
ACH-000330,-0.34171937783781786
ACH-000331,-0.10156039623780404
ACH-000332,-0.14831150383630268
ACH-000334,-0.4639212213463098
ACH-000335,-0.012448259736278168
ACH-000336,-0.17885951744972794
ACH-000337,-0.04124299302895889
ACH-000338,-0.044010525509207206
ACH-000339,-0.13032515118715382
ACH-000341,0.03175003730783866
ACH-000348,-0.14241761206793954
ACH-000350,-0.08136877239107325
ACH-000352,-0.056123192397186425
ACH-000356,-0.12982989281312782
ACH-000361,-0.19798256239943307
ACH-000362,-0.04445517323692956
ACH-000363,-0.07578166668054485
ACH-000364,-0.07247396196410115
ACH-000365,-0.11620996263896592
ACH-000366,-0.09564339042438123
ACH-000368,-0.10742210241320838
