,PPCS (79717)
ACH-000004,-0.07179072718193065
ACH-000005,-0.2525090565589144
ACH-000007,-0.14651535488979373
ACH-000009,-0.33570058060850605
ACH-000011,-0.022588220843539685
ACH-000012,-0.05486738344053501
ACH-000013,-0.11293665884871665
ACH-000014,-0.21394010100173216
ACH-000015,0.001927068168168168
ACH-000017,-0.288348245306157
ACH-000018,-0.2167032858256212
ACH-000019,-0.17580445812813875
ACH-000021,-0.12930263260416075
ACH-000022,-0.14478725967267705
ACH-000025,-0.1121428972667076
ACH-000028,-0.27464152658628393
ACH-000030,-0.3973879220671396
ACH-000035,-0.1897407907058596
ACH-000036,-0.029426172722732732
ACH-000037,-0.2272971798604864
ACH-000039,-0.2029026959467329
ACH-000040,-0.1354345048036513
ACH-000041,-0.17912836862198656
ACH-000042,-0.2614590422420915
ACH-000045,-0.20898793839915208
ACH-000047,-0.4653016400987503
ACH-000052,-0.21290994357150952
ACH-000053,-0.18256345963088194
ACH-000054,-0.10143633604666752
ACH-000055,-0.0038467470657250736
ACH-000060,-0.1584037840911231
ACH-000067,-0.22872191100215736
ACH-000070,-0.6164299739196547
ACH-000075,-0.1885288601492681
ACH-000078,-0.04778422093019779
ACH-000082,-0.14025551690301752
ACH-000085,-0.1006290917849094
ACH-000086,-0.14535993341135914
ACH-000087,-0.19818320836006825
ACH-000092,-0.27944530398321993
ACH-000095,-0.12550601202363734
ACH-000097,-0.3194902803966793
ACH-000098,-0.2792902161636853
ACH-000099,-0.06721929216535097
ACH-000108,-0.2027714593792102
ACH-000113,-0.35487587068860715
ACH-000116,-0.12199900714445447
ACH-000118,-0.28468062615624073
ACH-000120,-0.20300549287020814
ACH-000123,0.0041209433988194
ACH-000127,-0.19614262682755546
ACH-000128,-0.04518450946749513
ACH-000132,-0.3731182368841136
ACH-000133,-0.07430248752648627
ACH-000137,-0.24115029461139825
ACH-000138,-0.127779129309934
ACH-000142,-0.1988648985016551
ACH-000143,-0.12431704558855225
ACH-000146,-0.16162783911558076
ACH-000148,-0.15891104870123626
ACH-000150,-0.260133674826732
ACH-000152,-0.1897949825135912
ACH-000153,-0.3173239715986076
ACH-000159,-0.3234693951472317
ACH-000160,-0.26223621054255697
ACH-000163,-0.19655164352670945
ACH-000167,-0.6602116994975051
ACH-000168,-0.06455228950811295
ACH-000169,-0.11495632463929495
ACH-000178,-0.23214666219740224
ACH-000183,-0.3519239635865041
ACH-000188,-0.09861272940391176
ACH-000189,-0.21421163146430175
ACH-000190,-0.056576836810174676
ACH-000198,-0.4821105535011659
ACH-000203,0.036757986999346966
ACH-000204,-0.2215934972119514
ACH-000206,-0.2705217015230084
ACH-000207,-0.13240103805671186
ACH-000208,0.020271301603498083
ACH-000210,-0.04434686149190563
ACH-000211,-0.08383854309545888
ACH-000215,-0.1843920694625727
ACH-000221,0.1132226843265342
ACH-000222,-0.28692647675803
ACH-000223,-0.2055486607544124
ACH-000226,-0.35803730465379635
ACH-000227,-0.27866379016779125
ACH-000228,-0.3819356228207564
ACH-000231,-0.10866300090498007
ACH-000232,-0.04320770103968189
ACH-000233,-0.4163150480763732
ACH-000234,-0.2808312243449608
ACH-000235,-0.3195169170982928
ACH-000237,-0.1980348916250256
ACH-000238,-0.16309516932502094
ACH-000242,-0.2596767775357122
ACH-000243,-0.1174447742350694
ACH-000244,-0.026310103030182004
ACH-000246,-0.18199666494802974
ACH-000248,-0.21179684348403324
ACH-000250,-0.11305576005684287
ACH-000251,-0.4006687369786428
ACH-000252,-0.2902551146851187
ACH-000253,-0.216925265351166
ACH-000255,-0.10260716833265653
ACH-000256,-0.09147699311966423
ACH-000257,-0.1341869379480828
ACH-000258,-0.12578259847486975
ACH-000259,-0.1154798392336327
ACH-000260,-0.06333454354156623
ACH-000261,-0.07695365648897387
ACH-000262,-0.21208795461960844
ACH-000263,-0.25684958838177235
ACH-000264,-0.19238475131311567
ACH-000265,-0.16472949364937112
ACH-000266,-0.15404456073593972
ACH-000272,-0.7945004484603585
ACH-000274,-0.2740227490154931
ACH-000277,-0.10592228988848673
ACH-000278,-0.17247414053209492
ACH-000279,-0.19831790978972946
ACH-000280,-0.18278059036617567
ACH-000281,-0.07470591925794695
ACH-000288,-0.10540875144391734
ACH-000291,-0.054489574902458864
ACH-000293,-0.28829522325396834
ACH-000294,-0.1635328954290389
ACH-000295,-0.16252607428539326
ACH-000296,-0.14195239150660188
ACH-000302,-0.17276022298407834
ACH-000304,-0.04523303864311218
ACH-000307,-0.27294349627648484
ACH-000308,-0.4889047913995322
ACH-000310,-0.2465315892267185
ACH-000311,-0.1019775532772323
ACH-000312,-0.2334836094790965
ACH-000315,-0.3294327028445745
ACH-000316,-0.021129181358861326
ACH-000317,-0.4308673147546193
ACH-000318,-0.30843420517551623
ACH-000319,-0.06895991031151352
ACH-000320,-0.2823940652385629
ACH-000322,-0.12679806355623294
ACH-000323,-0.11544225750685826
ACH-000324,-0.08514578170793162
ACH-000329,-0.2088767141034132
ACH-000330,-0.2923597946708562
ACH-000331,-0.14502868827279594
ACH-000332,-0.13840424194785916
ACH-000334,-0.2790106278552003
ACH-000335,-0.1990981567208994
ACH-000336,-0.4848268441726477
ACH-000337,-0.3764702673097673
ACH-000338,-0.39793757388290396
ACH-000339,-0.23453178880884115
ACH-000341,-0.3768007938183428
ACH-000348,-0.2488419157326604
ACH-000350,-0.09721409877842163
ACH-000352,-0.28761603187735585
ACH-000356,-0.21759680426801944
ACH-000361,-0.20969210247891368
ACH-000362,-0.18230432472371605
ACH-000363,-0.2768909802584712
ACH-000364,-0.2282033725938996
ACH-000365,-0.30721429314734183
ACH-000366,-0.13215195973108892
ACH-000368,-0.16185114199389805
ACH-000374,-0.1857962537239697
ACH-000375,-0.1450555138471602
ACH-000376,-0.1328557683751517
ACH-000381,-0.19761116052291372
ACH-000383,-0.17140337681465911
ACH-000387,-0.07015138918476191
ACH-000389,-0.11592472159820505
ACH-000390,-0.19397958422942504
ACH-000393,-0.2835896188257488
ACH-000395,-0.18664640568911506
ACH-000396,-0.05640613364786026
ACH-000397,-0.18816972126418444
ACH-000401,-0.3922234268780336
ACH-000402,-0.2232748815009754
ACH-000403,-0.13728750635107898
ACH-000404,-0.17952207009844126
ACH-000406,-0.28354654302725146
ACH-000407,-0.2494222610124269
ACH-000408,-0.196232096467388
ACH-000410,-0.14372997270901444
ACH-000411,-0.24078543581271736
ACH-000414,-0.1077314528806124
ACH-000415,-0.2373196482464886
ACH-000416,-0.2789937841771331
ACH-000420,-0.20736071118153632
ACH-000421,-0.18174130376313385
ACH-000424,-0.1015639256421589
ACH-000425,-0.1998394410062625
