,CETP (1071)
ACH-000004,-0.06946362941174644
ACH-000005,0.04961291786212501
ACH-000007,-0.1765663799095465
ACH-000009,0.15451801171312007
ACH-000011,-0.028926028310700062
ACH-000012,-0.1052034077220832
ACH-000013,-0.07094637531980978
ACH-000014,-0.04982321911208105
ACH-000015,0.011284650995585429
ACH-000017,-0.12405300063203707
ACH-000018,-0.08242256407985664
ACH-000019,-0.04404566977929214
ACH-000021,-0.12034116694292955
ACH-000022,-0.05475071332977897
ACH-000025,0.02146321887659303
ACH-000028,0.10733012652535147
ACH-000030,-0.05696116737693085
ACH-000035,-0.3146953902783825
ACH-000036,-0.004104950318499607
ACH-000037,-0.14550025463474095
ACH-000039,0.048696558019880105
ACH-000040,0.08416407956890481
ACH-000041,-0.09164631913175976
ACH-000042,-0.05607364809999083
ACH-000045,-0.040632890700717766
ACH-000047,-0.010789825231958266
ACH-000052,-0.07558600859942137
ACH-000053,-0.12996337610031658
ACH-000054,0.011991460546106792
ACH-000055,-0.1117777585536816
ACH-000060,0.04608053316286779
ACH-000067,0.10784044820972252
ACH-000070,-0.1175961091432185
ACH-000075,-0.010899969804259236
ACH-000078,0.010017144023724441
ACH-000082,-0.2219125584152596
ACH-000085,0.016105439805059917
ACH-000086,0.012917558189350278
ACH-000087,-0.12630808599021354
ACH-000092,-0.09985687097072496
ACH-000095,0.0036527572348032077
ACH-000097,-0.06061655582051896
ACH-000098,-0.14145483077907314
ACH-000099,-0.009706373858311428
ACH-000108,-0.05892632052016794
ACH-000113,-0.126482300243121
ACH-000116,0.007532788078431399
ACH-000118,-0.07607663809434888
ACH-000120,-0.1205665496911802
ACH-000123,-0.1870586978323698
ACH-000127,-0.1025913708072421
ACH-000128,-0.0572743271452596
ACH-000132,-0.2833908268950772
ACH-000133,-0.07004312029524297
ACH-000137,-0.014050783441194032
ACH-000138,-0.00931007479711136
ACH-000142,-0.2709031873443734
ACH-000143,-0.04984736706796534
ACH-000146,-0.11927818984720025
ACH-000148,-0.06750964202302659
ACH-000150,-0.0031043247759240853
ACH-000152,-0.1120590810411418
ACH-000153,-0.028407094663514976
ACH-000159,0.003428267774612605
ACH-000160,-0.1139676479174545
ACH-000163,0.06520771967935046
ACH-000167,-0.0660738703511047
ACH-000168,-0.08689162780575058
ACH-000169,-0.034581203521362736
ACH-000178,-0.0456897631931575
ACH-000183,0.03167192002023269
ACH-000188,-0.06699636531715612
ACH-000189,0.048626368920910684
ACH-000190,-0.13668616560358215
ACH-000198,-0.10246308345356947
ACH-000203,0.2843478782803893
ACH-000204,-0.23097824778815124
ACH-000206,-0.013164192386454276
ACH-000207,-0.016256029974763952
ACH-000208,-0.03641257870411901
ACH-000210,-0.2470739992616806
ACH-000211,-0.18595985972423745
ACH-000215,-0.12018874589715507
ACH-000221,-0.026126365355619574
ACH-000222,-0.045069430795442116
ACH-000223,-0.14394123890338814
ACH-000226,-0.03748993563364042
ACH-000227,-0.0889936340908122
ACH-000228,-0.1888371110792013
ACH-000231,-0.04169918497728378
ACH-000232,-0.020007772138608024
ACH-000233,-0.1040096654235084
ACH-000234,-0.01691372265076825
ACH-000235,-0.10990824157704022
