,NOC3L (64318)
ACH-000004,-1.1506896798290869
ACH-000005,-1.1500283895406371
ACH-000007,-1.1449893101987334
ACH-000009,-0.9552534115424852
ACH-000011,-1.101721238659649
ACH-000012,-1.0811214220152765
ACH-000013,-0.9558149723988156
ACH-000014,-1.1875901351300588
ACH-000015,-0.988443859198376
ACH-000017,-1.1845341449329887
ACH-000018,-0.9700749567688369
ACH-000019,-0.7505444384520276
ACH-000021,-0.9447298716708888
ACH-000022,-1.0420065962607965
ACH-000025,-1.2180289771652082
ACH-000028,-1.0004451960359348
ACH-000030,-1.055887986551398
ACH-000035,-1.3242014423346349
ACH-000036,-1.3003321078002474
ACH-000037,-1.1773937483183656
ACH-000039,-0.9709341434181415
ACH-000040,-1.1190835788330629
ACH-000041,-0.9265825486384748
ACH-000042,-0.9371920318284309
ACH-000045,-0.98093314983935
ACH-000047,-1.0521913620390722
ACH-000052,-1.18235110964319
ACH-000053,-1.2216958440412966
ACH-000054,-1.0458197785587735
ACH-000055,-1.070886553945542
ACH-000060,-1.0798112120075605
ACH-000067,-1.2736174037847436
ACH-000070,-0.9975290329550895
ACH-000075,-1.11652083340671
ACH-000078,-1.0068674698150568
ACH-000082,-0.9970369463123536
ACH-000085,-1.3444317799300658
ACH-000086,-0.9012741657486878
ACH-000087,-0.8763695277611379
ACH-000092,-0.8313343743395902
ACH-000095,-1.03155518653438
ACH-000097,-0.9853424017473028
ACH-000098,-1.0937167342430505
ACH-000099,-0.8985025360894755
ACH-000108,-0.9490284225006432
ACH-000113,-1.042903397575615
ACH-000116,-1.1425938405167542
ACH-000118,-1.0759900386494266
ACH-000120,-0.9441740812961928
ACH-000123,-1.1492531753108723
ACH-000127,-1.1574170457020525
ACH-000128,-1.2100213247966372
ACH-000132,-1.0079023139353247
ACH-000133,-0.9230705464074288
ACH-000137,-1.2132701995476185
ACH-000138,-1.0620002730934612
ACH-000142,-0.9467702483519436
ACH-000143,-0.8729041808485976
ACH-000146,-1.178439981000946
ACH-000148,-1.1200895104721895
ACH-000150,-0.9988797043432552
ACH-000152,-1.1475736495206883
ACH-000153,-1.0976003447706546
ACH-000159,-1.0399279509063002
ACH-000160,-1.1564630645036833
ACH-000163,-1.1413019807705802
