,C8G (733)
ACH-000004,-0.16042438295906578
ACH-000005,-0.08715357975530631
ACH-000007,0.07005652070704367
ACH-000009,-0.18586077575100804
ACH-000011,-0.15034609965428675
ACH-000012,-0.21531419266209445
ACH-000013,-0.2436591338651393
ACH-000014,-0.13953064374119006
ACH-000015,-0.27956489036961746
ACH-000017,-0.08314787045261834
ACH-000018,-0.27136067511959416
ACH-000019,-0.07759154929165099
ACH-000021,-0.0978918597110438
ACH-000022,-0.21317518718464756
ACH-000025,-0.11914912718890976
ACH-000028,-0.1008960026933446
ACH-000030,-0.13722049036026582
ACH-000035,-0.19598249875905516
ACH-000036,-0.037226189277759086
ACH-000037,-0.09473066892921417
ACH-000039,-0.1840777626221277
ACH-000040,-0.16113479973216532
ACH-000041,-0.2465407519989888
ACH-000042,-0.2072636949999344
ACH-000045,-0.17403779307965905
ACH-000047,0.024335678019622702
ACH-000052,-0.20820168391633603
ACH-000053,-0.14543263894909414
ACH-000054,-0.13319000312672175
ACH-000055,-0.23169952060802046
ACH-000060,-0.2328241418441449
ACH-000067,-0.2410404629636828
ACH-000070,-0.12396048822512988
ACH-000075,-0.016374406502947424
ACH-000078,-0.3745003567944516
ACH-000082,0.0054125194856030215
ACH-000085,-0.1499693775387443
ACH-000086,-0.2636809291089973
ACH-000087,-0.12416831057036246
ACH-000092,-0.020722992349546027
ACH-000095,-0.17004829727708834
ACH-000097,-0.07974930318990532
ACH-000098,-0.03573210921898752
ACH-000099,-0.3087354774609658
ACH-000108,-0.17062175217939918
ACH-000113,-0.1420510763313312
ACH-000116,-0.2301575750751648
ACH-000118,-0.21933219025263767
ACH-000120,0.10384242405122034
ACH-000123,-0.20243454135209207
ACH-000127,-0.09270643807095018
ACH-000128,-0.2098098393013953
ACH-000132,-0.25160773549761656
ACH-000133,-0.14616747642002906
ACH-000137,-0.14004216638510875
ACH-000138,-0.1926540952354717
ACH-000142,-0.0855206387717321
ACH-000143,-0.0953218605771048
ACH-000146,-0.04118522736318203
ACH-000148,-0.17630971849897473
ACH-000150,-0.11334755574797495
ACH-000152,-0.1649964612920912
ACH-000153,-0.032798268160333495
ACH-000159,-0.2552277578379987
ACH-000160,-0.1736946794645229
ACH-000163,-0.162322881691404
ACH-000167,-0.6257885636650524
ACH-000168,-0.0069131570268273785
ACH-000169,-0.19625223959066734
ACH-000178,-0.23560559428672145
ACH-000183,-0.2393577758843613
ACH-000188,-0.21235399641501226
ACH-000189,-0.36587527125132857
ACH-000190,-0.034925173699377615
ACH-000198,-0.07703959880924298
ACH-000203,-0.19139371591964915
ACH-000204,-0.21571047482954545
ACH-000206,-0.08452371354890692
ACH-000207,-0.1507993036598648
ACH-000208,-0.2858878791656483
ACH-000210,0.14653523362672854
ACH-000211,-0.1481388201128503
ACH-000215,-0.24528666815358874
ACH-000221,-0.12036706792431535
ACH-000222,-0.2605809287927124
ACH-000223,-0.16350271744824416
ACH-000226,-0.04070124238175074
ACH-000227,-0.04606929343076683
ACH-000228,-0.27269583421719035
ACH-000231,-0.05877367103646014
ACH-000232,-0.08891120167678958
ACH-000233,-0.2030439637914352
ACH-000234,-0.2144744450599579
ACH-000235,-0.190636514300012
ACH-000237,-0.2057712767932558
ACH-000238,-0.3554234997399097
ACH-000242,-0.02322211932784764
ACH-000243,-0.14696262290816994
ACH-000244,-0.0089939345958204
ACH-000246,-0.15465859886955646
ACH-000248,-0.2128212600788495
ACH-000250,-0.2902278741147761
ACH-000251,-0.2380099613364407
ACH-000252,-0.370638250411796
ACH-000253,-0.2388601518701708
ACH-000255,-0.17626674412309484
ACH-000256,0.08810756866680368
ACH-000257,-0.03745719279794011
ACH-000258,-0.1747164410476269
ACH-000259,-0.20097292097536595
ACH-000260,-0.34320235105121977
ACH-000261,-0.21505454261065207
ACH-000262,-0.2607535079762183
ACH-000263,-0.4168662965093288
ACH-000264,-0.2373324829992744
ACH-000265,-0.12618597568498138
ACH-000266,-0.2388967880666548
ACH-000272,-0.2461150937815569
ACH-000274,-0.14246901161950842
ACH-000277,-0.3106295839972157
ACH-000278,-0.165004875823329
ACH-000279,-0.11570131020133913
ACH-000280,-0.2532660090096173
ACH-000281,-0.18220565639556155
ACH-000288,-0.06480786866477127
ACH-000291,-0.30382283301958657
ACH-000293,-0.03758821376332956
ACH-000294,-0.1438625409330801
ACH-000295,0.03656367108686632
ACH-000296,-0.03682222055932696
ACH-000302,-0.1675784522904363
ACH-000304,0.06831554953251788
ACH-000307,-0.2420132725942037
ACH-000308,-0.11485323288029604
ACH-000310,-0.12274387813221913
ACH-000311,-0.12706323578532905
ACH-000312,-0.2987810014930174
ACH-000315,-0.18626324644623926
ACH-000316,-0.2564190513866603
ACH-000317,-0.3134745630277423
ACH-000318,-0.13030004369718026
ACH-000319,-0.19656226055875692
ACH-000320,-0.2847268760645196
ACH-000322,-0.18015492347989265
ACH-000323,-0.3126914647179947
ACH-000324,-0.2694472242955506
ACH-000329,-0.2058208777479972
ACH-000330,-0.18304135253238787
ACH-000331,-0.0968917755168522
ACH-000332,-0.27067347816568
ACH-000334,-0.11111768897030133
ACH-000335,-0.00796660467321966
ACH-000336,-0.2438971811878407
ACH-000337,-0.13347272763449086
ACH-000338,-0.39083442928794143
ACH-000339,-0.15195701119329336
ACH-000341,-0.5260382887988836
ACH-000348,-0.2569523871566775
ACH-000350,-0.13320708433878845
ACH-000352,-0.1159943162361086
ACH-000356,0.06344614155662602
ACH-000361,0.0023277268988312018
ACH-000362,-0.1292702157094014
ACH-000363,-0.14574916783176015
ACH-000364,-0.10627268266059403
ACH-000365,-0.13638747115356573
ACH-000366,-0.2207836142058354
ACH-000368,-0.07755634166705114
ACH-000374,-0.12434195582482135
ACH-000375,-0.07064257468840912
ACH-000376,-0.17293215339808765
ACH-000381,-0.20682173332507672
ACH-000383,-0.21273432099458
ACH-000387,-0.11529603696469068
ACH-000389,-0.10786289945404992
ACH-000390,-0.059140718752429974
ACH-000393,-0.2061670220901788
ACH-000395,-0.2078432299798156
ACH-000396,-0.3413341899028529
ACH-000397,-0.23395509633728276
ACH-000401,0.18952978459268427
ACH-000402,0.32593625040841195
ACH-000403,-0.14137118164125478
ACH-000404,0.04671871045274713
ACH-000406,-0.12596028679233326
ACH-000407,-0.1298706919899473
ACH-000408,-0.13893222495601992
ACH-000410,-0.29805274091761835
ACH-000411,-0.2426435966583878
ACH-000414,-0.18706192081526096
ACH-000415,-0.17740842634663267
ACH-000416,-0.1398047829940121
ACH-000420,-0.17505637508714095
ACH-000421,-0.17226652191670794
ACH-000424,-0.15211778768812242
ACH-000425,-0.15482806338729185
ACH-000426,-0.09606941464394272
ACH-000427,-0.3747627234486263
ACH-000433,-0.31198394342308017
ACH-000435,-0.4247355154786715
ACH-000436,-0.28690024882000303
ACH-000444,-0.20704605615134927
ACH-000445,-0.2464737103959871
ACH-000448,-0.13567468329813706
ACH-000450,-0.20231336784502926
ACH-000452,-0.1401736267406512
ACH-000454,-0.1651312500602682
ACH-000458,-0.12220480792827758
ACH-000459,-0.09213200221935627
ACH-000460,-0.2589574755849215
ACH-000461,-0.2833461928344566
ACH-000463,-0.07229094959850225
ACH-000464,-0.09037516528950107
ACH-000466,-0.3556063010193064
ACH-000467,-0.13955515645584046
ACH-000468,-0.11376884550989948
ACH-000469,-0.30895924619154563
ACH-000470,-0.18239347280596427
ACH-000471,-0.03951781451124873
ACH-000472,-0.22196419332839226
ACH-000473,-0.2922704356154493
ACH-000475,-0.19595733294014506
ACH-000476,-0.31197243074365977
ACH-000477,-0.039760526713587055
ACH-000479,-0.2742411676091275
ACH-000480,-0.16178622225584965
ACH-000481,-0.1630753223046719
ACH-000483,-0.0916410866900467
ACH-000484,-0.1365886483465074
ACH-000485,-0.16286022257530464
ACH-000486,-0.215637999506444
ACH-000487,-0.22448478565348973
ACH-000488,-0.17951230873861082
ACH-000490,-0.2670203279380929
ACH-000491,-0.11393288992352135
ACH-000495,-0.22501946724124847
ACH-000496,-0.2522847237619441
ACH-000499,-0.16751349573020674
ACH-000500,0.014444842432600647
ACH-000502,-0.13991661807673805
ACH-000503,-0.096567143064708
ACH-000505,-0.14025813174843166
ACH-000507,-0.0937667620029187
ACH-000510,-0.11592463562163133
ACH-000511,-0.22195910967361016
ACH-000512,-0.040019735246627504
ACH-000516,-0.09262385361959312
ACH-000517,-0.14676063187290758
ACH-000518,-0.21643897943817533
ACH-000520,-0.29684585102919314
ACH-000521,-0.25105006478692576
ACH-000522,-0.040406827201644575
ACH-000524,-0.06963364537445399
ACH-000527,-0.07148107143544617
ACH-000528,-0.1606032421826662
ACH-000537,-0.18761977198722013
ACH-000541,-0.2500919005549821
ACH-000542,-0.13139576372742756
ACH-000544,0.01993168310448709
ACH-000545,-0.2779649638117197
ACH-000547,-0.2179719158784506
ACH-000548,-0.09872540453930316
ACH-000549,-0.10071509390966812
ACH-000550,-0.21514901719809573
ACH-000552,-0.13614079183246244
ACH-000556,-0.098606940527663
ACH-000557,-0.17392554433618448
ACH-000569,-0.29663251273892205
ACH-000570,-0.20481781581212585
ACH-000571,-0.2650421420009221
ACH-000573,-0.06223561105617376
ACH-000576,-0.18145305300144515
ACH-000579,-0.14795833755245308
ACH-000580,-0.11487025049066818
ACH-000584,-0.24090117711827366
ACH-000585,-0.10027797738547613
ACH-000588,-0.1647644466370665
ACH-000589,-0.15314211060118738
ACH-000591,-0.3589132048148958
ACH-000593,-0.17125733493875195
ACH-000600,-0.01893327960433861
ACH-000601,-0.1715859581539702
ACH-000605,-0.19484869030274854
ACH-000606,-0.06921422424954776
ACH-000608,-0.16287118956014662
ACH-000614,0.050783687083233386
ACH-000616,-0.09161322780826757
ACH-000618,-0.13866382511823128
ACH-000619,-0.5953625489057289
ACH-000620,-0.11250236299089818
ACH-000621,-0.1581699475073408
ACH-000622,-0.29135721948707577
ACH-000623,-0.03565336934520117
ACH-000624,-0.14745889724789574
ACH-000627,-0.24718819491182265
ACH-000630,-0.10281359147775544
ACH-000631,-0.15004406322313332
ACH-000632,-0.01518778052591165
ACH-000633,-0.2643961095022349
ACH-000637,-0.2891369752959714
ACH-000638,-0.16281637525039142
ACH-000646,-0.1117582362330796
ACH-000647,-0.21353722111546436
ACH-000648,-0.122498446320585
ACH-000649,-0.1654076919238396
ACH-000651,-0.039724492213250896
ACH-000652,-0.3980820459410656
ACH-000653,-0.08732589308935428
ACH-000657,-0.1645355735489943
ACH-000658,-0.3035556631282729
ACH-000661,-0.15125138273289002
ACH-000662,-0.12933233873803646
ACH-000663,-0.08126927244102851
ACH-000665,-0.19069240315714425
ACH-000671,-0.11454217970671665
ACH-000672,-0.23181776386971084
ACH-000673,-0.18764010584250104
