,FILIP1 (27145)
ACH-000004,-0.08644655206637107
ACH-000005,-0.14784436358274192
ACH-000007,0.03176869550384681
ACH-000009,0.02716738635184236
ACH-000011,0.10934070324079226
ACH-000012,-0.0970083378210659
ACH-000013,-0.08701298046611056
ACH-000014,-0.05968580205703329
ACH-000015,-0.01840608969850447
ACH-000017,-0.03767104838212773
ACH-000018,-0.14043183525403627
ACH-000019,-0.0618415411460277
ACH-000021,-0.2666437139037377
ACH-000022,-0.07734342901295198
ACH-000025,-0.1773298509380684
ACH-000028,-0.15259842744437982
ACH-000030,-0.14734239330480275
ACH-000035,-0.11357980070043025
ACH-000036,-0.1303193006738479
ACH-000037,-0.06092637863045178
ACH-000039,-0.23835226858836156
ACH-000040,-0.0611611523829871
ACH-000041,-0.08192339444074803
ACH-000042,-0.1871776868546902
ACH-000045,0.02189624999219688
ACH-000047,-0.07806588009464534
ACH-000052,0.019225695756087367
ACH-000053,-0.04378261894392335
ACH-000054,-0.15185742601099772
ACH-000055,-0.3883593878004661
ACH-000060,-0.1948084652698636
ACH-000067,-0.1975398480557677
ACH-000070,-0.12645725093699658
ACH-000075,0.1788096601734759
ACH-000078,0.03812924247254343
ACH-000082,-0.092571875333835
ACH-000085,-0.23069391662247324
ACH-000086,-0.05094067772645668
ACH-000087,-0.19255925225664453
ACH-000092,-0.17021507482537915
ACH-000095,-0.09923411383885324
ACH-000097,-0.0964168574164667
ACH-000098,-0.15649336476066353
ACH-000099,-0.006041591934374189
ACH-000108,-0.07650827240102692
ACH-000113,-0.1831901409097931
ACH-000116,-0.058346908878295474
ACH-000118,-0.11026080027387003
ACH-000120,-0.07380751589321899
ACH-000123,-0.06910636257599354
ACH-000127,-0.15130971352197034
ACH-000128,-0.16585828136067154
ACH-000132,-0.15319837522679755
ACH-000133,-0.08882700916751228
ACH-000137,-0.23073575930614795
ACH-000138,-0.12479743152293543
ACH-000142,0.03856609321377729
ACH-000143,-0.05983587018909412
ACH-000146,0.010829875607003556
ACH-000148,-0.042566477157470084
ACH-000150,-0.3044291725391799
ACH-000152,-0.04922214088618526
ACH-000153,-0.26217264629136555
ACH-000159,-0.13849909742808272
ACH-000160,-0.10013656976396212
ACH-000163,-0.06480969627088022
ACH-000167,-0.3710187329889097
ACH-000168,-0.1171000923246036
ACH-000169,-0.033445824790434696
ACH-000178,-0.12961603923513354
ACH-000183,-0.058243504749197886
ACH-000188,-0.07955039641519569
ACH-000189,-0.02778529301829857
ACH-000190,-0.08544378032448678
ACH-000198,-0.0726471618394
ACH-000203,0.5766302394694643
ACH-000204,0.059123013733161714
ACH-000206,-0.1474881392994123
ACH-000207,-0.008508611059144026
ACH-000208,-0.2230854222159841
ACH-000210,-0.07998628382960637
ACH-000211,-0.13954456881850485
ACH-000215,-0.1506774404483911
ACH-000221,-0.31427840454420336
ACH-000222,-0.1342503895503647
ACH-000223,-0.15651007089659194
ACH-000226,-0.1274604701594919
ACH-000227,-0.09468355738965722
ACH-000228,-0.11820047428958465
ACH-000231,-0.16887986077196596
ACH-000232,-0.1892794376735656
ACH-000233,-0.031400200075017135
ACH-000234,-0.10862949017097616
ACH-000235,-0.0828931507795429
ACH-000237,-0.09080661331281456
ACH-000238,-0.08314314507068843
ACH-000242,-0.204386502393516
ACH-000243,-0.04367185242919661
ACH-000244,-0.0006055791159667862
ACH-000246,0.024355463802420547
ACH-000248,-0.09289561547328327
ACH-000250,-0.12518708424906114
ACH-000251,-0.17702948407086322
ACH-000252,-0.11312838856232585
ACH-000253,-0.13837511582464807
ACH-000255,-0.1441774715482433
ACH-000256,0.040118181408931065
ACH-000257,-0.12109824732062953
ACH-000258,-0.10366378813484264
ACH-000259,-0.10960000092985794
ACH-000260,-0.17252865716139748
ACH-000261,-0.020965932123526702
ACH-000262,-0.15090213179028714
ACH-000263,-0.21293262958594808
ACH-000264,-0.08942458656294909
ACH-000265,-0.022399211666145467
ACH-000266,-0.06868478838173638
ACH-000272,-0.07141968715029931
ACH-000274,-0.1386139982677204
ACH-000277,-0.16513897275327855
ACH-000278,-0.2047289697298401
ACH-000279,-0.15063174244274785
ACH-000280,-0.07538195495584442
ACH-000281,0.08093060414645557
ACH-000288,-0.06814031593782767
ACH-000291,-0.09951334425479492
ACH-000293,-0.18398169320893706
ACH-000294,-0.12862481678166698
ACH-000295,0.07599139710733482
ACH-000296,-0.018306863019020847
ACH-000302,-0.2400829858513236
ACH-000304,-0.14168497538675826
ACH-000307,-0.0981782352938926
ACH-000308,-0.16960546627939768
ACH-000310,-0.13783236895578418
ACH-000311,-0.03696761190510782
ACH-000312,-0.1249074554008237
ACH-000315,0.0009570934865431607
ACH-000316,-0.01701462691732835
ACH-000317,-0.20671913808700831
ACH-000318,-0.2098786380731675
ACH-000319,0.0014212730319264788
ACH-000320,-0.1093230049461662
ACH-000322,0.08114080086967594
ACH-000323,-0.0433884912489663
ACH-000324,-0.09193910172544707
ACH-000329,-0.003969918199449384
ACH-000330,-0.22768365733420146
ACH-000331,-0.17487175475228375
ACH-000332,0.0018593412566018808
ACH-000334,0.05107543000063157
ACH-000335,-0.2633695996792137
ACH-000336,-0.18276310278894184
ACH-000337,0.01066548161931507
ACH-000338,0.00972000062799987
ACH-000339,-0.16283675843662454
ACH-000341,-0.12241929957181825
ACH-000348,-0.18382672335028147
ACH-000350,-0.03682094695099712
ACH-000352,-0.18679507807432255
ACH-000356,-0.026902747184931818
ACH-000361,0.20889899574029056
ACH-000362,-0.10899843479795307
ACH-000363,-0.24448302909792266
ACH-000364,-0.18549210415131784
ACH-000365,-0.1321536721876301
ACH-000366,-0.049566617661751765
ACH-000368,-0.07622718113273999
ACH-000374,-0.1261505361382483
ACH-000375,-0.013674795001301344
ACH-000376,-0.1167536994307919
ACH-000381,-0.288937171540671
ACH-000383,-0.0926012035468427
ACH-000387,-0.14476492910437871
ACH-000389,-0.10263449957223364
ACH-000390,-0.18667084355827487
ACH-000393,-0.22933702255870225
ACH-000395,0.05548581380286557
ACH-000396,0.08835067508932598
ACH-000397,-0.017152343186863175
ACH-000401,-0.10938694526829117
ACH-000402,0.13226332064066662
ACH-000403,-0.01049611886300008
ACH-000404,0.041451441710292115
ACH-000406,-0.033893852525660045
ACH-000407,-0.2713629543146878
ACH-000408,0.03251455618712757
ACH-000410,-0.025600409267169843
ACH-000411,-0.08959252997378052
ACH-000414,-0.047912822521719516
ACH-000415,-0.08149136677946615
ACH-000416,-0.0929307119786776
ACH-000420,-0.07168528100810984
ACH-000421,-0.03161792064079473
ACH-000424,-0.059691721286323926
ACH-000425,-0.01853155962762483
ACH-000426,-0.14211965153711548
ACH-000427,-0.18341134237253295
ACH-000433,0.010780123457415268
ACH-000435,-0.02670057344750753
ACH-000436,-0.09381923281816454
ACH-000444,-0.12331949520489925
ACH-000445,-0.1472875590866826
ACH-000448,0.020572198712121542
ACH-000450,-0.09214839427229488
ACH-000452,-0.10374179493852943
ACH-000454,-0.17536009930705854
ACH-000458,-0.00121698882574469
ACH-000459,-0.12705645317191722
ACH-000460,-0.02105385659297757
ACH-000461,0.0022999486469425057
ACH-000463,-0.15195678212532232
ACH-000464,0.013411615329143266
ACH-000466,-0.016965605422617994
ACH-000467,-0.022656111385041183
ACH-000468,-0.22289692770592606
ACH-000469,-0.18380200572315508
ACH-000470,-0.07734852780744708
ACH-000471,-0.06646612357624758
ACH-000472,-0.04601765104547792
ACH-000473,-0.1459328506930197
ACH-000475,-0.1522709318819709
ACH-000476,-0.08839747291307817
ACH-000477,-0.25380910174239296
ACH-000479,-0.1831743562087007
ACH-000480,-0.03414200958143485
ACH-000481,-0.11949267153810518
ACH-000483,-0.18741835066243998
ACH-000484,-0.17838373297016907
ACH-000485,-0.09825018418723623
ACH-000486,0.018898930075921114
ACH-000487,-0.20164501861764134
ACH-000488,-0.13493098363546874
ACH-000490,-0.13719715686603454
ACH-000491,-0.1996251414304072
ACH-000495,0.06481863171297618
ACH-000496,-0.2220688033391832
ACH-000499,-0.16400508740885086
ACH-000500,-0.04274032040731823
ACH-000502,-0.13019577675729033
ACH-000503,0.06666906213194115
ACH-000505,-0.09897259990781032
ACH-000507,-0.1112311638823014
ACH-000510,-0.07162059209538
ACH-000511,-0.15068441299813914
ACH-000512,0.0348236673388573
ACH-000516,-0.12562927760935275
ACH-000517,-0.14490799984575314
ACH-000518,-0.16054089898381735
ACH-000520,0.02779912541566698
ACH-000521,0.05121425853404659
ACH-000522,-0.1904858043337541
ACH-000524,-0.06032788392814052
ACH-000527,0.01918373858697851
ACH-000528,-0.0581579715766016
ACH-000537,-0.040002293705034775
