,PCSK7 (9159)
ACH-000004,-0.05181247577215402
ACH-000005,-0.09121897858178178
ACH-000007,-0.07314494295478108
ACH-000009,-0.17983965654826325
ACH-000011,-0.016253263876225596
ACH-000012,-0.11468875766782205
ACH-000013,-0.05082777778001985
ACH-000014,-0.08496224037990112
ACH-000015,-0.045515219262217216
ACH-000017,0.1247713156336075
ACH-000018,-0.5247797432091417
ACH-000019,-0.2069688179895288
ACH-000021,-0.0025081727612015128
ACH-000022,-0.17530175176666055
ACH-000025,-0.3817994113296398
ACH-000028,0.19452521048519908
ACH-000030,-0.09903286338876373
ACH-000035,-0.11832406772846844
ACH-000036,-0.17146901571731887
ACH-000037,-0.06617329372366429
ACH-000039,-0.11403081197270785
ACH-000040,-0.07782492278176767
ACH-000041,-0.08488565750795153
ACH-000042,-0.15681570854120327
ACH-000045,-0.12118112541985945
ACH-000047,-0.08532602985780435
ACH-000052,-0.06803517529845038
ACH-000053,-0.05057794707563108
ACH-000054,-0.15889180024069074
ACH-000055,-4.853684438020978e-05
ACH-000060,0.04827381857105623
ACH-000067,0.13979086799099086
ACH-000070,-0.13578371031256173
ACH-000075,-0.1424184097160346
ACH-000078,-0.15025163907199748
ACH-000082,-0.1835386660969883
ACH-000085,0.08954980363525662
ACH-000086,-0.17299675881055007
ACH-000087,-0.06495499261545938
ACH-000092,-0.100816975047401
ACH-000095,-0.013649927408309828
ACH-000097,-0.08338846153929294
ACH-000098,-0.08113460064445288
ACH-000099,-0.11354377820337977
ACH-000108,-0.03643864903816902
ACH-000113,-0.11220183507516747
ACH-000116,-0.10890578817021984
ACH-000118,-0.12272009225761812
ACH-000120,-0.22501019358397503
ACH-000123,-0.10833632336345324
ACH-000127,-0.24414370300245264
ACH-000128,0.033942752928463125
ACH-000132,-0.18038011370970145
ACH-000133,-0.13668385159767188
ACH-000137,-0.08407402346416186
ACH-000138,-0.19841833090866326
ACH-000142,-0.02904583463436985
ACH-000143,0.04251557490976688
ACH-000146,-0.1300658727629674
ACH-000148,-0.09809724655046048
ACH-000150,-0.11504537911204338
ACH-000152,-0.0766985205057628
ACH-000153,0.046073328312371535
ACH-000159,-0.03663442300791851
ACH-000160,-0.10798242679179866
ACH-000163,-0.11035528763545804
ACH-000167,-0.24319090440222504
ACH-000168,-0.07763920408429811
ACH-000169,-0.2381793831705233
ACH-000178,-0.06596867267938762
ACH-000183,-0.05855767912995805
ACH-000188,-0.13255236713424273
ACH-000189,-0.06409404961220527
ACH-000190,-0.029353756133214382
ACH-000198,-0.04958924523524539
ACH-000203,-0.516159617418994
ACH-000204,0.09746591864400547
ACH-000206,0.07392875947545488
