,SPOPL (339745)
ACH-000004,-0.1488547864942267
ACH-000005,-0.0720071382268255
ACH-000007,-0.15236882965570386
ACH-000009,-0.18368300851289615
ACH-000011,-0.08070193601112212
ACH-000012,-0.09945903319181648
ACH-000013,-0.09938087527528737
ACH-000014,-0.10096518998755394
ACH-000015,-0.10610717266487278
ACH-000017,-0.1541548706746126
ACH-000018,-0.042528644457928526
ACH-000019,-0.15258673111334925
ACH-000021,-0.04903037636669128
ACH-000022,-0.0352152190008665
ACH-000025,-0.04121859401952768
ACH-000028,-0.16128050123851334
ACH-000030,-0.07470796627475966
ACH-000035,-0.015193776582712816
ACH-000036,-0.03112724867796495
ACH-000037,-0.2008746269275145
ACH-000039,0.07243975829886674
ACH-000040,-0.06806221836971017
ACH-000041,-0.12739552853647534
ACH-000042,-0.05928287211934029
ACH-000045,-0.1139662644848728
ACH-000047,-0.18913676562833734
ACH-000052,-0.2502712137568367
ACH-000053,-0.049410156528403686
ACH-000054,-0.0656748013140463
ACH-000055,0.045910391596560685
ACH-000060,0.025070944779566097
ACH-000067,-0.12837405260899065
ACH-000070,-0.06789877164956097
ACH-000075,-0.08771364852793546
ACH-000078,-0.0875060146340999
ACH-000082,-0.16222703033280855
ACH-000085,-0.1919260762694564
ACH-000086,-0.07727945944163853
ACH-000087,0.12252645804263546
ACH-000092,-0.1520795126294134
ACH-000095,-0.1250479691727644
ACH-000097,-0.1338754977498068
ACH-000098,-0.1669621632256886
ACH-000099,-0.05428355042566984
ACH-000108,0.008289008265611165
ACH-000113,-0.10727008988195724
ACH-000116,-0.15949791352680104
ACH-000118,-0.11075646833192386
ACH-000120,-0.06156790584594842
ACH-000123,-0.09555073185563633
ACH-000127,-0.049569616333291364
ACH-000128,0.0246592697596333
ACH-000132,-0.048380401379657934
ACH-000133,-0.15923383988922835
ACH-000137,-0.2276060912068142
ACH-000138,0.016802041765848052
ACH-000142,-0.1508627834303282
ACH-000143,-0.083132291596308
ACH-000146,-0.1313596558438846
ACH-000148,-0.05696311087796864
ACH-000150,-0.12656758248557273
ACH-000152,-0.2343505181888384
ACH-000153,-0.10691075469513506
ACH-000159,-0.16727907281082305
ACH-000160,-0.15448559492285507
ACH-000163,-0.14409190422211365
ACH-000167,-0.3822719234391653
ACH-000168,-0.04024626544497456
ACH-000169,-0.09010496135682183
ACH-000178,-0.14053568706722286
