,PCMT1 (5110)
ACH-000004,-0.034842300779701664
ACH-000005,0.019610129907335933
ACH-000007,-0.4581411381031954
ACH-000009,-0.15312016689906086
ACH-000011,-0.13632590610210574
ACH-000012,-0.2262894460023448
ACH-000013,-0.1701058765757341
ACH-000014,-0.10368873878958733
ACH-000015,-0.053703641714451765
ACH-000017,-0.34301817756198405
ACH-000018,-0.2392552067969225
ACH-000019,-0.3600513704297071
ACH-000021,-0.3121927773898698
ACH-000022,-0.16574028901889487
ACH-000025,-0.2571940753713265
ACH-000028,-0.2235259768783117
ACH-000030,-0.15803488473667027
ACH-000035,-0.10591881666151162
ACH-000036,-0.11264280323370075
ACH-000037,-0.3042848156178208
ACH-000039,-0.2658751275389413
ACH-000040,-0.274202016430876
ACH-000041,-0.1969277971915804
ACH-000042,-0.242299066561812
ACH-000045,-0.22601985552947165
ACH-000047,-0.20610961433822533
ACH-000052,-0.3798454570082225
ACH-000053,-0.2574279781001799
ACH-000054,-0.11861187380784215
ACH-000055,-0.015896594476392488
ACH-000060,-0.3060904294540395
ACH-000067,-0.2583766196874534
ACH-000070,-0.2857414538250624
ACH-000075,-0.26003802813508875
ACH-000078,-0.08358020345952415
ACH-000082,-0.33277811711001154
ACH-000085,-0.4556160974378031
ACH-000086,-0.145567782752639
ACH-000087,-0.11212895335331166
ACH-000092,-0.1446031073967823
ACH-000095,-0.15521536611934156
ACH-000097,-0.12402803114855042
ACH-000098,-0.20239915626658755
ACH-000099,-0.1860072691453539
ACH-000108,-0.1996201454626011
ACH-000113,-0.31699341547100524
ACH-000116,-0.11088053299047228
ACH-000118,-0.2569820388006516
ACH-000120,-0.03879612792175879
ACH-000123,-0.17914489102902426
ACH-000127,-0.14349894582201572
ACH-000128,-0.3124936937981849
ACH-000132,-0.20478307259683784
ACH-000133,-0.21001923871974085
ACH-000137,-0.2834248758557205
ACH-000138,-0.19059420209095845
ACH-000142,-0.2213094747804192
ACH-000143,-0.09486114081086054
ACH-000146,-0.2691076157676445
ACH-000148,-0.10334914317744603
ACH-000150,-0.2351027086057812
ACH-000152,-0.28170211106264353
ACH-000153,-0.17424869028169074
ACH-000159,-0.15901257826613713
ACH-000160,-0.1523684714164836
ACH-000163,-0.23732575614338824
ACH-000167,-0.4327372856287971
ACH-000168,-0.1619047703483891
ACH-000169,-0.22060691327595927
ACH-000178,-0.18966628908974745
ACH-000183,-0.09986282037434094
ACH-000188,-0.12704926044115572
ACH-000189,-0.08064695526417402
ACH-000190,-0.17010819387149026
ACH-000198,-0.17011128221256808
ACH-000203,-0.24477035191195495
ACH-000204,-0.1971738690671276
ACH-000206,-0.4883272528100066
ACH-000207,-0.2720637081042913
ACH-000208,-0.09120110860607568
ACH-000210,-0.055244347720033705
ACH-000211,-0.22199719550451816
ACH-000215,-0.20148895788063206
ACH-000221,-0.08166222200727312
ACH-000222,-0.36455554415671604
ACH-000223,-0.3026473116797612
ACH-000226,-0.11468481655667785
ACH-000227,-0.2009293433303251
ACH-000228,-0.2349803368030788
