,NGF (4803)
ACH-000004,-0.203984173179014
ACH-000005,-0.35747341372208336
ACH-000007,-0.28253489902193296
ACH-000009,-0.19966342455055971
ACH-000011,-0.02654151984452521
ACH-000012,-0.2568304281853163
ACH-000013,-0.057321049782645635
ACH-000014,-0.2796318998990989
ACH-000015,-0.23214506271289034
ACH-000017,-0.1938156633648487
ACH-000018,-0.05704755930278189
ACH-000019,-0.25715832727666504
ACH-000021,-0.1981794736428233
ACH-000022,-0.1195785105734832
ACH-000025,-0.3426157397929869
ACH-000028,-0.4753369405810477
ACH-000030,-0.18532223017139796
ACH-000035,-0.3710265967724555
ACH-000036,-0.08455498857364697
ACH-000037,-0.12871771723761655
ACH-000039,-0.09976207670519666
ACH-000040,-0.21606563437872645
ACH-000041,-0.35383279668784684
ACH-000042,-0.2409094502020941
ACH-000045,-0.18669089422713145
ACH-000047,-0.12734878416549664
ACH-000052,-0.2951971772926111
ACH-000053,-0.13399150344223845
ACH-000054,-0.17386822081308995
ACH-000055,-0.22401273566509514
ACH-000060,-0.2381042596286682
ACH-000067,-0.3848613949554413
ACH-000070,-0.4332568166974304
ACH-000075,-0.24379686970734235
ACH-000078,-0.19289604384905815
ACH-000082,-0.08267676572656289
ACH-000085,-0.3097585663862724
ACH-000086,-0.11989295827900955
ACH-000087,-0.14359989932808712
ACH-000092,-0.1865785250647608
ACH-000095,-0.14267926801636754
ACH-000097,-0.03143909912837289
ACH-000098,-0.1167758779196911
ACH-000099,-0.2045548737847813
ACH-000108,-0.19423336977273464
ACH-000113,-0.1963530876741381
ACH-000116,-0.11134076045448596
ACH-000118,-0.3432000009687649
ACH-000120,-0.15566021723363135
ACH-000123,-0.022376863523394998
ACH-000127,-0.203945027166182
ACH-000128,-0.2716181110629712
ACH-000132,-0.1392067829047121
ACH-000133,-0.06461451951454128
ACH-000137,-0.23181047402850674
ACH-000138,-0.060296505146760514
ACH-000142,-0.1903433493050745
ACH-000143,-0.012803323847900812
ACH-000146,-0.05336645954484167
ACH-000148,-0.19974229182881909
ACH-000150,-0.08625495977193158
ACH-000152,-0.12359698213965055
ACH-000153,-0.06068196749128059
ACH-000159,-0.20919606399763432
ACH-000160,-0.24379065409498046
ACH-000163,-0.05837163899066429
ACH-000167,-0.4067827502418615
ACH-000168,-0.12623784764017962
ACH-000169,-0.15021035733595342
ACH-000178,-0.14735874913463773
ACH-000183,-0.09709889838487656
ACH-000188,-0.26668510915042565
ACH-000189,-0.21076683566709914
ACH-000190,-0.18968910289830646
ACH-000198,-0.20236212553561608
ACH-000203,-0.14598707008448505
ACH-000204,-0.3112437482443096
ACH-000206,-0.058452631850348026
ACH-000207,-0.38087183118537704
ACH-000208,0.13698705438151335
ACH-000210,-0.0977205408838772
ACH-000211,-0.13429687805639132
ACH-000215,-0.2323724846418147
ACH-000221,-0.3082425789251517
ACH-000222,-0.1908329525245912
ACH-000223,-0.1750912312321498
ACH-000226,-0.18012503131504534
ACH-000227,-0.1282984053336855
ACH-000228,-0.1811537373452377
ACH-000231,-0.2400232200184277
ACH-000232,-0.2097093376166883
ACH-000233,-0.047512946157986326
ACH-000234,-0.05135098201407887
ACH-000235,-0.1700419808263206
ACH-000237,-0.31545210187375544
ACH-000238,-0.3583110924115803
ACH-000242,-0.27122808974916063
ACH-000243,-0.07698664720916827
ACH-000244,-0.1141849797748106
ACH-000246,-0.09607591415370964
ACH-000248,-0.264543564579988
ACH-000250,-0.2724966143627933
ACH-000251,-0.3335923646685132
ACH-000252,-0.18823761966486005
ACH-000253,-0.03464331786094819
ACH-000255,-0.17435472328859267
ACH-000256,-0.03151337483989725
ACH-000257,-0.19985927503478626
ACH-000258,0.22539098288728546
ACH-000259,-0.1832447669849783
ACH-000260,-0.22386264125861424
ACH-000261,-0.28263693734073786
ACH-000262,-0.26105308194862825
ACH-000263,0.042598474059424185
ACH-000264,-0.045429479444106816
ACH-000265,-0.3337197171152936
ACH-000266,-0.14148835752951575
ACH-000272,-0.28941892121504514
ACH-000274,-0.11318130112541375
ACH-000277,-0.3763292447100775
ACH-000278,-0.2534987450672092
ACH-000279,-0.11065170259444924
ACH-000280,-0.2220397802467272
ACH-000281,-0.05525573374548762
ACH-000288,-0.19613915198548684
ACH-000291,-0.25116006179030514
ACH-000293,-0.13142615658091478
ACH-000294,-0.27925428893532445
ACH-000295,-0.31513151506932
ACH-000296,-0.1396215173175475
ACH-000302,-0.2096750230525594
ACH-000304,-0.4766636681066212
ACH-000307,-0.1295630743677359
ACH-000308,-0.18492472245048935
ACH-000310,-0.035439600724312195
ACH-000311,-0.21676229239320416
ACH-000312,-0.11727070118820705
ACH-000315,-0.017283691429534228
ACH-000316,-0.1474057906352933
ACH-000317,-0.2377737463899937
ACH-000318,0.07364314028267221
ACH-000319,-0.02832384419655042
ACH-000320,-0.2960626893773992
ACH-000322,0.11496659427923304
ACH-000323,-0.3327960942712261
ACH-000324,-0.1981615857246603
ACH-000329,-0.13787775816045025
ACH-000330,-0.09492613575295768
ACH-000331,-0.33806551312825944
ACH-000332,-0.13124837586413965
ACH-000334,0.0880169631092523
ACH-000335,-0.1946813532171897
ACH-000336,-0.3927112364009904
ACH-000337,-0.13145614682759266
ACH-000338,-0.3971229426457807
ACH-000339,-0.15688720812513518
ACH-000341,-0.3294922296861708
ACH-000348,-0.16773151929187272
ACH-000350,-0.09627375138591156
ACH-000352,-0.32294085008941875
ACH-000356,-0.2896051439629184
ACH-000361,-0.007439225577065337
ACH-000362,-0.2590452522954502
ACH-000363,-0.04901971526803914
ACH-000364,-0.14441210026945134
ACH-000365,-0.044683709275902234
ACH-000366,-0.15698924857322696
ACH-000368,-0.3668141069783388
ACH-000374,-0.19914462181571885
