,TTC30A (92104)
ACH-000004,-0.05422508390988408
ACH-000005,-0.19791770271718195
ACH-000007,0.009048765615666405
ACH-000009,-0.21878915432188334
ACH-000011,-0.15765717366929405
ACH-000012,-0.024062264037806137
ACH-000013,-0.09380152590364554
ACH-000014,-0.10200756476536556
ACH-000015,-0.0449453471587307
ACH-000017,-0.11956325997852407
ACH-000018,-0.23922805139658826
ACH-000019,-0.3635320906627741
ACH-000021,-0.12958427930971395
ACH-000022,-0.2139742797333052
ACH-000025,-0.1858519809103176
ACH-000028,-0.14795668495007924
ACH-000030,-0.22422088993965514
ACH-000035,-0.07508772240300621
ACH-000036,-0.14631773198290188
ACH-000037,-0.2441512157377783
ACH-000039,-0.1673980413608516
ACH-000040,-0.051168061612999416
ACH-000041,-0.1833212109945508
ACH-000042,-0.21633582602097665
ACH-000045,-0.22838577406111604
ACH-000047,-0.04636843711032069
ACH-000052,-0.2669151424376984
ACH-000053,-0.18882194773644875
ACH-000054,-0.267448375237709
ACH-000055,-0.1838988696278721
ACH-000060,-0.11870818371669115
ACH-000067,-0.1369522769579457
ACH-000070,-0.19588320085370828
ACH-000075,-0.15323418817512108
ACH-000078,-0.2158410729525304
ACH-000082,-0.2376421862441217
ACH-000085,-0.2821970306141881
ACH-000086,-0.2825488360652595
ACH-000087,0.007198373906697148
ACH-000092,-0.1108134833909773
ACH-000095,-0.3088847733213841
ACH-000097,-0.11601376401497415
ACH-000098,-0.05465278392024124
ACH-000099,-0.2412157788573085
ACH-000108,-0.3224576425055072
ACH-000113,-0.16681706737228202
ACH-000116,-0.05162458621928033
ACH-000118,-0.15757322515911865
ACH-000120,-0.01837460058612819
ACH-000123,-0.19792549011265528
ACH-000127,-0.09896352245295396
ACH-000128,-0.15252594976410094
ACH-000132,-0.17096754875860234
ACH-000133,-0.05000574299933321
ACH-000137,-0.041106067902597576
ACH-000138,-0.15655428076487776
ACH-000142,-0.004329986531408727
ACH-000143,-0.10661616639891024
ACH-000146,-0.27342495202948897
ACH-000148,-0.0449367594094448
ACH-000150,-0.14368954891345787
ACH-000152,-0.25880661554931195
ACH-000153,-0.1931743880990496
ACH-000159,-0.19626538504390395
ACH-000160,-0.1985144365434584
ACH-000163,-0.1705706754610999
ACH-000167,-0.3835450920977074
ACH-000168,-0.3688345440360774
ACH-000169,-0.2677062162580188
ACH-000178,-0.06573974581109948
ACH-000183,-0.03386587604117262
ACH-000188,-0.061636250878571476
ACH-000189,-0.06830228611810943
ACH-000190,-0.13545688911481404
ACH-000198,-0.25710220052838195
ACH-000203,-0.7370019158011131
ACH-000204,-0.08041540000538658
ACH-000206,-0.3678699635960748
ACH-000207,-0.09227489159821506
ACH-000208,0.13086113924973886
ACH-000210,-0.2605532440290192
ACH-000211,-0.1390823636550383
ACH-000215,-0.15599682860491895
ACH-000221,-0.12717656221094045
ACH-000222,-0.239124006949776
ACH-000223,-0.16069887260075208
ACH-000226,-0.1875292685122666
ACH-000227,-0.0698096074839579
ACH-000228,-0.08983980921585669
ACH-000231,-0.08796990979201931
ACH-000232,-0.16305688442677346
ACH-000233,-0.15731892910904546
ACH-000234,-0.25323717791555944
ACH-000235,-0.21331973264417214
ACH-000237,-0.18063274610102534
ACH-000238,-0.08756578582039336
ACH-000242,-0.07416344357972275
ACH-000243,-0.2007038465348137
ACH-000244,0.007384793064700628
ACH-000246,-0.23921686433194814
ACH-000248,0.037025522199813164
ACH-000250,-0.10191139604028362
ACH-000251,-0.38253293975715424
ACH-000252,-0.14071244637169691
ACH-000253,-0.14066206622057936
ACH-000255,-0.1064172751225537
ACH-000256,-0.0495900151897738
ACH-000257,0.011638050150012484
ACH-000258,-0.3598157749291845
ACH-000259,-0.024671512931218983
ACH-000260,-0.10450068785790836
ACH-000261,-0.1722712559792621
ACH-000262,-0.22223489773703375
ACH-000263,-0.5017403465587835
ACH-000264,-0.14385730689951834
ACH-000265,-0.22416641382329114
ACH-000266,-0.17849868918772566
ACH-000272,-0.21588588744465464
ACH-000274,-0.2591310817110075
ACH-000277,-0.02574132031967781
ACH-000278,-0.22428478941121865
ACH-000279,-0.2728569084510894
ACH-000280,-0.09691816856889698
ACH-000281,-0.14939297237934265
ACH-000288,-0.13263169411799766
ACH-000291,-0.2766188603645953
ACH-000293,-0.18391906055150892
ACH-000294,-0.06218566770500161
ACH-000295,-0.13662034502906684
ACH-000296,-0.042964225241885104
ACH-000302,-0.18778220894957695
ACH-000304,-0.08807824982727668
ACH-000307,-0.1970860900707743
ACH-000308,-0.19423767858719745
ACH-000310,-0.1271614581658012
ACH-000311,-0.003310330562963032
ACH-000312,-0.19154055168928275
ACH-000315,-0.05834754728416301
ACH-000316,-0.12764533144527582
ACH-000317,-0.25343400048320713
ACH-000318,-0.3703288119669635
ACH-000319,-0.10023651463645984
ACH-000320,-0.1323449473633158
ACH-000322,-0.12543269591103473
ACH-000323,-0.15355097169034165
ACH-000324,-0.16527143535535074
ACH-000329,-0.15020491066058536
ACH-000330,-0.31499255499813045
ACH-000331,-0.1318429686442598
ACH-000332,-0.1605977775246479
ACH-000334,-0.19385097428529832
ACH-000335,-0.04631065689079016
ACH-000336,-0.06780719657801579
ACH-000337,-0.3763128059124625
ACH-000338,-0.4032189493638254
ACH-000339,-0.22279263642941904
ACH-000341,-0.07511216750440354
ACH-000348,0.013537403771479913
ACH-000350,-0.06931463607429987
ACH-000352,-0.14361003043068166
ACH-000356,0.05309068780066764
ACH-000361,-0.3231312302030117
ACH-000362,-0.277625097635143
ACH-000363,-0.10814385732987
ACH-000364,-0.14777641997378627
ACH-000365,-0.22802206274825
ACH-000366,-0.09606715744802093
ACH-000368,-0.01571860142001574
ACH-000374,-0.13609049740961035
ACH-000375,-0.16847910872027
ACH-000376,-0.1853188130008649
ACH-000381,-0.2416660980485682
ACH-000383,-0.14422119142435824
ACH-000387,-0.2394312207704519
ACH-000389,-0.02526281892252249
ACH-000390,-0.2522573879437829
ACH-000393,-0.2805203519511197
ACH-000395,-0.10181689223279528
ACH-000396,0.16230748282958554
ACH-000397,-0.18434347446557312
ACH-000401,-0.22593733646021136
ACH-000402,-0.1405177637655765
ACH-000403,-0.28866982346407755
ACH-000404,-0.694474582767702
ACH-000406,-0.31219060541602234
ACH-000407,-0.22180602307238834
ACH-000408,-0.14055568995412845
ACH-000410,-0.14252593296827132
ACH-000411,-0.32005935566530697
ACH-000414,-0.09102102310960032
ACH-000415,-0.07252568487292367
ACH-000416,-0.22318688598468853
ACH-000420,-0.11045464698267878
ACH-000421,-0.1017819004823784
ACH-000424,-0.16503734979407655
ACH-000425,-0.21159386411384748
ACH-000426,-0.23033977427803345
ACH-000427,-0.04627012040211838
ACH-000433,0.0915443314848721
ACH-000435,-0.5802268909001415
ACH-000436,-0.22266528629389545
ACH-000444,-0.1300053648616603
ACH-000445,0.056960967947000125
ACH-000448,-0.17025851273588838
ACH-000450,-0.008617466005486721
ACH-000452,-0.08393498828170516
ACH-000454,-0.0534867276111034
ACH-000458,-0.07421818375417558
ACH-000459,0.0218435484260912
ACH-000460,0.006494871435929516
ACH-000461,-0.11219072892461288
ACH-000463,-0.1478916806271273
ACH-000464,-0.11191378130223367
ACH-000466,-0.13949673325353346
ACH-000467,-0.2738713916143157
ACH-000468,-0.2194675033520206
