,PIPOX (51268)
ACH-000004,-0.07156639305166558
ACH-000005,-0.07665806675230981
ACH-000007,-0.09783527319551977
ACH-000009,-0.18066750957181707
ACH-000011,-0.008727234502811524
ACH-000012,-0.07140786912867468
ACH-000013,-0.10337554125328303
ACH-000014,-0.002297455382269157
ACH-000015,-0.03926607454142619
ACH-000017,-0.3441318252362556
ACH-000018,-0.04941359018829359
ACH-000019,-0.2284433470279377
ACH-000021,-0.08985730235794966
ACH-000022,-0.18860420128911945
ACH-000025,-0.03527747763537871
ACH-000028,-0.22689739884442586
ACH-000030,-0.19217966202969514
ACH-000035,-0.27620000305783704
ACH-000036,-0.1088204988621462
ACH-000037,-0.08090704370460351
ACH-000039,0.0575707038109311
ACH-000040,-0.2014873312955068
ACH-000041,-0.1790304277140238
ACH-000042,-0.0029205953228788827
ACH-000045,-0.11319470151463587
ACH-000047,-0.029700708108254474
ACH-000052,-0.2896599724125252
ACH-000053,-0.1034606695920694
ACH-000054,-0.15402778771006945
ACH-000055,-0.03829501858661564
ACH-000060,-0.06867396786837865
ACH-000067,-0.16013863721186528
ACH-000070,-0.16574377266207546
ACH-000075,-0.04993085386932965
ACH-000078,-0.06718799929799378
ACH-000082,-0.08907690538893359
ACH-000085,-0.215539148287886
ACH-000086,-0.032383232110461554
ACH-000087,0.053557825206440486
ACH-000092,0.05564288027915621
ACH-000095,-0.10381559380080584
ACH-000097,-0.028355086440524608
ACH-000098,-0.008437394262098524
ACH-000099,-0.02861397869024824
ACH-000108,-0.17661840623965785
ACH-000113,-0.035180030951898186
ACH-000116,-0.15673703023962596
ACH-000118,-0.03259521757042323
ACH-000120,-0.1664206780548123
ACH-000123,-0.08013910371393718
ACH-000127,-0.03107964802905836
ACH-000128,-0.045281609742196666
ACH-000132,-0.06015475554261057
ACH-000133,-0.1679642662889891
ACH-000137,-0.15710718796110126
ACH-000138,0.016717857158819408
ACH-000142,-0.2498905984773016
ACH-000143,-0.15565594469277727
ACH-000146,1.0153578985647884e-05
ACH-000148,-0.15685486136621715
ACH-000150,-0.029267289336583305
ACH-000152,-0.167878294049997
ACH-000153,-0.023038362633866074
ACH-000159,-0.10688877934715932
ACH-000160,-0.14126832247638754
ACH-000163,-0.04531628939328702
ACH-000167,0.1228755731802538
ACH-000168,-0.07843750160381814
ACH-000169,-0.10282037721817512
ACH-000178,-0.04677395086348849
ACH-000183,-0.06348475195440681
ACH-000188,-0.3154129987521451
ACH-000189,-0.20418796313276408
ACH-000190,-0.3351642001181365
ACH-000198,-0.02033865981427881
ACH-000203,-0.14981569705240774
ACH-000204,-0.2328007950275089
ACH-000206,0.025465029182379702
ACH-000207,-0.026107963668613232
ACH-000208,0.0725217408670812
ACH-000210,-0.07165875681577832
ACH-000211,-0.07992855228096266
ACH-000215,-0.13666523556860824
ACH-000221,-0.17736555729660858
ACH-000222,-0.02439102181870903
ACH-000223,0.024771493136691414
ACH-000226,0.007433510042532303
ACH-000227,-0.02153640422844419
ACH-000228,-0.08947426913720627
ACH-000231,-0.07109929703837335
ACH-000232,0.07025896997530097
ACH-000233,-0.09066029119495116
ACH-000234,-0.07008793503479326
ACH-000235,-0.058955002792471865
ACH-000237,-0.11649827177795676
ACH-000238,-0.008563858149959195
ACH-000242,-0.030237056039901924
ACH-000243,-0.20234247298923724
ACH-000244,0.04456484698368115
ACH-000246,-0.2226105953071995
ACH-000248,-0.2250616769324606
ACH-000250,-0.07560249740846844
ACH-000251,-0.2739295318428118
ACH-000252,-0.21066251013527787
ACH-000253,-0.12839622283623472
ACH-000255,-0.23517824882156155
ACH-000256,-0.22347270527869895
ACH-000257,0.08283018711956414
ACH-000258,-0.055278528596106935
ACH-000259,-0.012807924243901656
ACH-000260,0.002674881130645309
ACH-000261,-0.022439757838612063
ACH-000262,-0.29791725124217444
ACH-000263,0.01601100381903196
ACH-000264,-0.1389211819154927
ACH-000265,-0.14869365227262746
ACH-000266,-0.0060551438996599115
ACH-000272,-0.09574143492183908
ACH-000274,-0.19657745391161247
ACH-000277,-0.27384338512053097
ACH-000278,-0.07668514667703802
ACH-000279,-0.06614315975664603
ACH-000280,-0.11856208830063986
ACH-000281,-0.03383624023467749
ACH-000288,-0.2251507836962346
ACH-000291,-0.055796376056852164
ACH-000293,-0.20009531125441368
ACH-000294,-0.09026739993103698
ACH-000295,-0.1955665152917613
ACH-000296,-0.1131115992104672
ACH-000302,-0.13587567596393535
ACH-000304,-0.0415598274994843
ACH-000307,-0.0942588126912286
ACH-000308,-0.054938070256199886
ACH-000310,-0.12909244932453218
ACH-000311,-0.04776982086898928
ACH-000312,-0.00124547726340637
ACH-000315,0.05413344484054782
ACH-000316,-0.11227531601389518
ACH-000317,-0.2379896979899695
ACH-000318,-0.023721311771785568
ACH-000319,-0.21651143099832754
ACH-000320,-0.04801675991736064
ACH-000322,-0.2065646587433844
ACH-000323,-0.17736357171774128
ACH-000324,-0.05948310867789493
ACH-000329,-0.0574794639709682
ACH-000330,0.026345002592415432
ACH-000331,-0.003268570704787606
ACH-000332,-0.051909978632329115
ACH-000334,0.1235242771905496
ACH-000335,-0.0562990758573345
ACH-000336,-0.12993069326144485
ACH-000337,0.038198844751358776
ACH-000338,0.2578450840153597
ACH-000339,-0.12936015960448244
ACH-000341,-0.041586252357958826
ACH-000348,-0.09002178615659705
ACH-000350,-0.3038363226072228
ACH-000352,-0.10918367902682563
ACH-000356,-0.17278001686901007
ACH-000361,-0.05850445949280456
ACH-000362,-0.06782348489956186
ACH-000363,-0.059153601414730125
ACH-000364,0.03731520150171986
ACH-000365,-0.00560599419652269
ACH-000366,0.005347378238915299
ACH-000368,-0.09310470186833948
ACH-000374,-0.029763897738484174
ACH-000375,-0.03290602301056686
ACH-000376,0.06813070569204747
ACH-000381,-0.18536876422465848
ACH-000383,-0.20135934458881471
ACH-000387,0.0394222130402167
ACH-000389,-0.13689982918505608
ACH-000390,-0.18833384220095295
ACH-000393,-0.023436609830515074
ACH-000395,0.003156395471384301
ACH-000396,0.01445064341574679
ACH-000397,-0.028437815621335568
ACH-000401,-0.1340397329090452
ACH-000402,-0.3593051383749226
ACH-000403,-0.1349083253556886
ACH-000404,-0.09068713106476736
ACH-000406,-0.055827635097977085
ACH-000407,-0.0035071940848905325
ACH-000408,-0.251436706952525
ACH-000410,-0.017787940177834808
ACH-000411,-0.005714827631363968
ACH-000414,-0.04035097988547249
ACH-000415,-0.3152809152031002
ACH-000416,-0.09794731507451963
ACH-000420,-0.06592838563221977
ACH-000421,-0.181272040104026
ACH-000424,0.052009542226577714
ACH-000425,-0.0989585025084116
ACH-000426,0.07999740088873908
ACH-000427,-0.2733541253205508
ACH-000433,-0.09159880361735416
ACH-000435,-0.2934877181888943
ACH-000436,-0.015784374993780118
ACH-000444,-0.11666482931692099
ACH-000445,-0.2236365666574764
