,GPM6A (2823)
ACH-000004,0.2280875058340601
ACH-000005,0.215676193395978
ACH-000007,0.14320700455212151
ACH-000009,0.03754978906850438
ACH-000011,0.09096336225081426
ACH-000012,0.07935801789431922
ACH-000013,0.16655896965965064
ACH-000014,0.16442913398617276
ACH-000015,0.14413725743596925
ACH-000017,0.2009898106140732
ACH-000018,0.2079760474350106
ACH-000019,0.1828090844052275
ACH-000021,0.1106649686283621
ACH-000022,0.14774529735764208
ACH-000025,0.023587859139397725
ACH-000028,0.11484895926761216
ACH-000030,0.17293472740630403
ACH-000035,0.2514952075298706
ACH-000036,0.2372639978994361
ACH-000037,0.1355804542413102
ACH-000039,-0.06852068300235135
ACH-000040,0.09687193928246196
ACH-000041,0.20725125544527606
ACH-000042,0.10483919928456444
ACH-000045,0.12073696546553088
ACH-000047,0.1549480873177287
ACH-000052,0.3914588723214249
ACH-000053,0.02648565001278925
ACH-000054,0.150759350372028
ACH-000055,0.14848582961392864
ACH-000060,0.19315265939587525
ACH-000067,0.08333261792841877
ACH-000070,0.2853050424924161
ACH-000075,0.21046447898811785
ACH-000078,0.1239158594010896
ACH-000082,0.2754204610637686
ACH-000085,0.19368792177575586
ACH-000086,0.10188033111860302
ACH-000087,0.3433276679120449
ACH-000092,0.13023569510819194
ACH-000095,0.20653911615247988
ACH-000097,0.16878166411691625
ACH-000098,0.04877263624048711
ACH-000099,0.08518231148651614
ACH-000108,0.08698106182317612
ACH-000113,0.14084035121092406
ACH-000116,0.21336870224066126
ACH-000118,0.18431817389352206
ACH-000120,0.058633433520782284
ACH-000123,0.10275128956329566
ACH-000127,0.18496939005634885
ACH-000128,0.02552739671331892
ACH-000132,0.1526004839050676
ACH-000133,0.158429754583725
ACH-000137,0.316912624404945
ACH-000138,0.16928817182388609
ACH-000142,0.08914809219826325
ACH-000143,0.0795206397635
ACH-000146,0.06531205652008176
ACH-000148,0.06040664850687232
ACH-000150,0.06609369984677989
ACH-000152,0.2071450586318878
ACH-000153,0.07463742992232675
ACH-000159,0.17501518375053704
ACH-000160,0.06559705045949106
ACH-000163,0.162384218603857
ACH-000167,-0.2368092456944581
ACH-000168,0.07765689240522476
ACH-000169,0.11811864285467133
ACH-000178,0.12158595183440983
ACH-000183,0.21532220722986456
ACH-000188,0.18302058841452748
ACH-000189,0.04027658899893311
ACH-000190,-0.053588219875851134
ACH-000198,0.12469301803779045
ACH-000203,0.4671211915765087
ACH-000204,0.15478562220108666
ACH-000206,0.044901499519726905
ACH-000207,0.18166678305055312
ACH-000208,0.3377628480013712
ACH-000210,-0.08547063371017811
ACH-000211,0.100122503681194
ACH-000215,0.100366406418749
ACH-000221,0.10257874469223234
ACH-000222,-0.04469129775423777
ACH-000223,0.15397767157502948
ACH-000226,0.007058647187905523
ACH-000227,0.05492782981089738
ACH-000228,0.15707567896917587
ACH-000231,0.13896533313304985
ACH-000232,0.10395960913254246
ACH-000233,0.1681268766659647
ACH-000234,0.29310200874054265
