,GID4 (79018)
ACH-000004,-0.10917218177499467
ACH-000005,-0.12624534844993773
ACH-000007,-0.3034328963490529
ACH-000009,-0.4239101891729029
ACH-000011,-0.07466997227469868
ACH-000012,-0.23689305982259964
ACH-000013,-0.3811022622454591
ACH-000014,-0.04220648810961687
ACH-000015,-0.17613000739436496
ACH-000017,-0.23722911162644825
ACH-000018,-0.0959402383770492
ACH-000019,-0.1890353690423195
ACH-000021,-0.21309564130685005
ACH-000022,-0.4122631431801657
ACH-000025,-0.2010215465326876
ACH-000028,-0.18763324846712548
ACH-000030,-0.19061003289678127
ACH-000035,-0.1919752295007291
ACH-000036,-0.27542352777148355
ACH-000037,-0.16312037383409214
ACH-000039,-0.08145731931448967
ACH-000040,-0.08588137023997859
ACH-000041,-0.2004714905407816
ACH-000042,-0.26344197480610104
ACH-000045,-0.06157271222198181
ACH-000047,-0.1760276135575383
ACH-000052,-0.20228019022431787
ACH-000053,-0.14712647210634588
ACH-000054,-0.2621361838530525
ACH-000055,-0.055758403874231616
ACH-000060,-0.3773742894407215
ACH-000067,-0.2425428440580307
ACH-000070,-0.1582129438624669
ACH-000075,-0.21889733192650807
ACH-000078,-0.048473973486269833
ACH-000082,-0.4644088064522634
ACH-000085,-0.05685036454681424
ACH-000086,-0.10767035818065117
ACH-000087,-0.20820723046747885
ACH-000092,-0.20572190647163996
ACH-000095,-0.14944080166129034
ACH-000097,-0.14664841240105148
ACH-000098,-0.2559933607751497
ACH-000099,-0.22621872873343102
ACH-000108,-0.1873253654422803
ACH-000113,-0.14764542648795884
ACH-000116,-0.2028889164262729
ACH-000118,-0.08024254070237412
ACH-000120,-0.1841870915316645
ACH-000123,-0.3156307197116439
ACH-000127,-0.26711492053924885
ACH-000128,-0.025800873326929992
ACH-000132,-0.30673404588881203
ACH-000133,-0.23260254413057846
ACH-000137,-0.3009517924875246
ACH-000138,-0.18151058175313112
ACH-000142,-0.2275469201228192
ACH-000143,-0.2691958532394256
ACH-000146,-0.07596190088063395
ACH-000148,-0.273034494901452
ACH-000150,-0.30068196463849256
ACH-000152,-0.4674221193155773
ACH-000153,-0.3479325213458949
ACH-000159,-0.10681708052745142
ACH-000160,-0.11326800306423852
ACH-000163,-0.2278417180624057
ACH-000167,-0.16994805030938115
ACH-000168,-0.3531335962579816
ACH-000169,-0.1352012770353897
ACH-000178,-0.2778110492125809
ACH-000183,-0.1976596666159857
ACH-000188,-0.3155106891204225
ACH-000189,-0.3673062255314517
ACH-000190,-0.1248855369094702
ACH-000198,-0.2726503483877937
ACH-000203,0.12363415747627265
ACH-000204,-0.2943984600999185
ACH-000206,-0.08373788624926319
ACH-000207,-0.25931795228641075
ACH-000208,-0.1302713780150615
ACH-000210,-0.059140795352780835
ACH-000211,-0.3425860202790557
ACH-000215,-0.06472786605263607
ACH-000221,-0.19268764495737226
ACH-000222,-0.19262242561479548
ACH-000223,-0.2105460609557436
ACH-000226,-0.19866568514386596
ACH-000227,-0.21180317109343125
ACH-000228,-0.2222787806708118
ACH-000231,-0.17996138961427185
ACH-000232,-0.1827516726747627
ACH-000233,-0.06633352708016928
ACH-000234,-0.1264405650720202
ACH-000235,-0.1731475344042798
ACH-000237,-0.12538586959260098
ACH-000238,-0.5217541111122567
ACH-000242,-0.1022189740870756
ACH-000243,-0.22653366917390616
ACH-000244,-0.3220362449067246
ACH-000246,-0.16141995122633876
ACH-000248,-0.14964464224582774
ACH-000250,-0.1559700153769435
ACH-000251,-0.0013593988084627427
ACH-000252,-0.2728671163805493
ACH-000253,-0.16666006484337528
ACH-000255,-0.26134672569115275
ACH-000256,-0.3063958347540872
ACH-000257,-0.2200583993332969
ACH-000258,-0.11629526281113667
ACH-000259,-0.1853084279978746
ACH-000260,-0.12841959467783556
ACH-000261,-0.1929538013316771
ACH-000262,0.033570883470388856
ACH-000263,-0.31541678827574393
ACH-000264,-0.2442949734689445
ACH-000265,-0.24105917955435835
ACH-000266,-0.22640203183919205
ACH-000272,-0.13760325521337216
ACH-000274,-0.1821722834498785
ACH-000277,-0.3782969683201876
ACH-000278,-0.16897570975056067
ACH-000279,-0.20130653894887893
ACH-000280,-0.0724812786295612
ACH-000281,-0.11798327016919966
ACH-000288,-0.4274543174371522
ACH-000291,-0.13526269108797534
ACH-000293,-0.2087034413779293
ACH-000294,-0.18041265498890227
ACH-000295,-0.07984265036892525
ACH-000296,-0.3412313375290719
ACH-000302,-0.18695890770688064
ACH-000304,-0.18559922354018302
ACH-000307,-0.030337959964988018
ACH-000308,-0.09575412959049956
ACH-000310,-0.009442813228352187
ACH-000311,-0.0013881720475511206
ACH-000312,-0.1594474482211957
ACH-000315,-0.06862568323484837
ACH-000316,-0.1520693517632094
ACH-000317,0.15777605719276927
ACH-000318,-0.38515491537672575
ACH-000319,-0.2430038078833049
ACH-000320,-0.23188948478345026
ACH-000322,-0.4102069834443057
ACH-000323,-0.2718238303819741
ACH-000324,-0.14471626436792712
ACH-000329,-0.16539629939005934
ACH-000330,-0.23412544699565946
ACH-000331,-0.3012405330506936
ACH-000332,-0.2282930854021221
ACH-000334,-0.30373041098351555
ACH-000335,-0.1562986273397347
ACH-000336,-0.19123671840517809
ACH-000337,-0.19618929605787788
ACH-000338,-0.1756126593346021
ACH-000339,-0.23120518727003225
ACH-000341,0.09726729367723233
ACH-000348,-0.058107640315144225
ACH-000350,-0.17024290873395262
ACH-000352,-0.12419087931297705
ACH-000356,-0.2187255535294121
ACH-000361,-0.14181222380116115
ACH-000362,-0.19978840905342404
ACH-000363,-0.15990506772164695
ACH-000364,-0.12928795178978214
ACH-000365,-0.21151992782133025
ACH-000366,-0.14536900379375275
ACH-000368,-0.25805487954871864
ACH-000374,-0.28139052800074915
ACH-000375,-0.3622998643670629
ACH-000376,-0.0866745619454979
ACH-000381,-0.16786511282712965
ACH-000383,-0.1775891367001957
ACH-000387,-0.2263364419413426
ACH-000389,-0.24405287768261025
ACH-000390,-0.20340039061269116
ACH-000393,-0.13764042706216426
ACH-000395,-0.09068046858749504
ACH-000396,-0.19000419143974825
ACH-000397,-0.1727071905399487
ACH-000401,-0.3347274337575775
ACH-000402,-0.022257109216262567
ACH-000403,-0.1799575179237307
ACH-000404,-0.12404199884192404
ACH-000406,-0.10459336840384154
ACH-000407,-0.3617204436258269
ACH-000408,-0.14615985761082725
ACH-000410,-0.31442438608297546
ACH-000411,-0.14946302856662613
ACH-000414,-0.15079058614171262
ACH-000415,-0.4345323723992995
ACH-000416,-0.2459217746872403
ACH-000420,-0.2994834726520053
ACH-000421,-0.17132655578230715
ACH-000424,-0.21775112552686074
ACH-000425,-0.1940754302482496
ACH-000426,-0.05239321764221337
ACH-000427,-0.15282476414599105
ACH-000433,-0.2785520071532116
ACH-000435,-0.16917321396845614
ACH-000436,-0.10752293081862177
ACH-000444,-0.14136488593400795
ACH-000445,-0.3628554733939597
ACH-000448,-0.2658106959651838
ACH-000450,-0.16998239861015768
ACH-000452,-0.2323708532965404
ACH-000454,-0.30361690012682224
ACH-000458,-0.15183346893902752
ACH-000459,-0.23226860501668614
ACH-000460,-0.15443392695263206
ACH-000461,-0.0006771383552143604
ACH-000463,-0.05749618015508747
ACH-000464,-0.448826860570858
ACH-000466,-0.28513414906006634
ACH-000467,-0.2433754333124093
ACH-000468,-0.19905036628436146
ACH-000469,-0.32188799344221874
ACH-000470,-0.05240865779972239
ACH-000471,-0.2386835724803409
ACH-000472,-0.14276520097300258
ACH-000473,-0.27928644665289204
ACH-000475,-0.2367106387564229
ACH-000476,-0.2667033969154439
ACH-000477,0.010843212446510255
ACH-000479,-0.3800224300211595
ACH-000480,-0.19676152033691924
ACH-000481,-0.21244461799127445
ACH-000483,-0.418969338120281
ACH-000484,-0.1251360622188713
ACH-000485,-0.14491606477996624
ACH-000486,-0.13125333616619425
ACH-000487,-0.14217192404959142
ACH-000488,-0.1824847313296959
ACH-000490,-0.26754361555563483
ACH-000491,-0.14227143267898168
ACH-000495,-0.12607118770163392
ACH-000496,-0.22897506268355344
ACH-000499,-0.12725880485445773
ACH-000500,-0.08056517319188458
ACH-000502,-0.2289918547742464
ACH-000503,-0.2648245028427486
ACH-000505,-0.19161461276430294
ACH-000507,-0.2057102036650621
ACH-000510,-0.3941994802900188
ACH-000511,-0.22660467508242524
ACH-000512,-0.31288771158105
ACH-000516,-0.27395020294396943
ACH-000517,-0.2719143918842089
ACH-000518,-0.21119115442818773
ACH-000520,-0.1562330442069906
