,FEM1B (10116)
ACH-000004,-0.07521344560804545
ACH-000005,0.003189932235672427
ACH-000007,0.09511210344418894
ACH-000009,-0.06417272325579418
ACH-000011,0.006985366874835083
ACH-000012,-0.0463836879671988
ACH-000013,0.0004187028502033973
ACH-000014,-0.4849853649782305
ACH-000015,-0.030974306361670388
ACH-000017,-0.11844899196747642
ACH-000018,0.008632466071376644
ACH-000019,-0.13471669120306887
ACH-000021,-0.0342675478618907
ACH-000022,-0.12107208920942406
ACH-000025,-0.09264882515693157
ACH-000028,-0.18634514206732888
ACH-000030,-0.059365968403181577
ACH-000035,-0.06445377188531698
ACH-000036,-0.09392248939866893
ACH-000037,-0.0034587630738364874
ACH-000039,-0.2187846271389815
ACH-000040,-0.009819913142342844
ACH-000041,-0.09072190847252608
ACH-000042,-0.0023599077913126604
ACH-000045,-0.15476765035719894
ACH-000047,0.06745627794483502
ACH-000052,-0.047345912318479504
ACH-000053,-0.1128300093712105
ACH-000054,-0.11942914681114587
ACH-000055,0.0889303942106734
ACH-000060,-0.06161095791738265
ACH-000067,-0.11667254406177803
ACH-000070,0.013551487823122705
ACH-000075,-0.27385846649129064
ACH-000078,-0.1363840966123666
ACH-000082,0.04916045288027489
ACH-000085,0.03824087715489025
ACH-000086,0.003903976272387044
ACH-000087,0.12342103277215333
ACH-000092,-0.0753089788129272
ACH-000095,0.03197029207119638
ACH-000097,-0.14751598983954206
ACH-000098,-0.01646870898183256
ACH-000099,-0.08599193773251394
ACH-000108,-0.013471121070664359
ACH-000113,-0.05444080580951883
ACH-000116,-0.20013467146387634
ACH-000118,0.0576668229160317
ACH-000120,-0.10228970069457044
ACH-000123,0.013439851251430254
ACH-000127,0.08250948105820502
ACH-000128,-0.13235207995055415
ACH-000132,-0.04541343416576093
ACH-000133,-0.04702199744851368
ACH-000137,-0.03188767810199042
ACH-000138,0.06843680538864283
ACH-000142,0.008713670727527807
ACH-000143,-0.1740483498882448
ACH-000146,-0.0842904126173312
ACH-000148,-0.032224348559853566
ACH-000150,0.03261303023781538
ACH-000152,-0.0669216531246326
ACH-000153,-0.1327032646066459
ACH-000159,-0.10880264564471807
ACH-000160,0.11929368330969788
ACH-000163,-0.021456704607532583
ACH-000167,0.014514729812920044
ACH-000168,0.08386935237360338
ACH-000169,-0.0513241451012865
ACH-000178,0.020048042226891737
ACH-000183,-0.1489969485205592
ACH-000188,-0.03798293208189897
ACH-000189,0.016401075923752888
ACH-000190,0.021808400365605586
ACH-000198,0.028923429242797626
ACH-000203,0.04116425497213989
