,XRCC6 (2547)
ACH-000004,-1.3395478630601194
ACH-000005,-1.4722172134671352
ACH-000007,-1.1451355320156542
ACH-000009,-1.1342121998212864
ACH-000011,-1.3025623844293472
ACH-000012,-1.3275803690356185
ACH-000013,-1.4851955081208297
ACH-000014,-1.194483817747375
ACH-000015,-1.3032550032569374
ACH-000017,-1.2178477916624004
ACH-000018,-1.326173975436331
ACH-000019,-0.9735898374036472
ACH-000021,-1.198462248365593
ACH-000022,-1.357089653387427
ACH-000025,-1.3930299626288134
ACH-000028,-1.1554905614782676
ACH-000030,-1.2599861129533128
ACH-000035,-1.3442832426865712
ACH-000036,-1.3984715864064965
ACH-000037,-1.180265541961951
ACH-000039,-1.3092416356290235
ACH-000040,-1.0740137670369514
ACH-000041,-1.3551971496108275
ACH-000042,-1.3664312692761111
ACH-000045,-1.3216258033066683
ACH-000047,-1.451644967448718
ACH-000052,-1.2748168952330377
ACH-000053,-1.2855199461403761
ACH-000054,-1.1002006567100502
ACH-000055,-1.1604509719150646
ACH-000060,-1.1723931612844791
ACH-000067,-1.45433860897024
ACH-000070,-0.8735708114014763
ACH-000075,-1.2674099115817434
ACH-000078,-1.1254317283771085
ACH-000082,-1.0209880911083613
ACH-000085,-1.383372380567481
ACH-000086,-1.0855378707342995
ACH-000087,-1.215362550664707
ACH-000092,-1.1152893582258725
ACH-000095,-1.2366643597358664
ACH-000097,-1.2767965333208553
ACH-000098,-1.3451807346961488
ACH-000099,-1.0318811252036149
ACH-000108,-1.240777559460417
ACH-000113,-1.142964839803695
ACH-000116,-1.218827373448255
ACH-000118,-1.3219395845356263
ACH-000120,-1.1990918060807871
ACH-000123,-1.1238466673410723
ACH-000127,-1.0835637166535643
ACH-000128,-1.0805361430152407
ACH-000132,-1.3749556800303002
ACH-000133,-1.2791326788682977
ACH-000137,-1.3406895419480365
ACH-000138,-1.1056888052603329
ACH-000142,-1.079811542636448
ACH-000143,-1.2390188129442
ACH-000146,-1.3189496557403313
ACH-000148,-1.360188926719542
ACH-000150,-1.2433664440861625
ACH-000152,-1.1753062997575574
ACH-000153,-1.4809833985141438
ACH-000159,-1.1810724971531303
ACH-000160,-1.2909952173295498
ACH-000163,-1.1606830534480863
ACH-000167,-1.7298665862607283
ACH-000168,-1.2777664251814211
ACH-000169,-1.170124893571498
ACH-000178,-1.2281043899202375
ACH-000183,-1.3943429556632412
ACH-000188,-1.2764478420705994
ACH-000189,-1.1739919461381063
ACH-000190,-1.1440896090601078
ACH-000198,-1.1665716922410814
ACH-000203,-1.2084606798252548
ACH-000204,-1.12835217189228
ACH-000206,-1.1889539726253495
ACH-000207,-0.7946260739026458
ACH-000208,-1.1926674589936561
ACH-000210,-0.9599490672867133
ACH-000211,-1.298153331535743
ACH-000215,-1.24822839846922
ACH-000221,-1.3593288346564938
ACH-000222,-1.4355394105216404
ACH-000223,-1.2213455438514382
ACH-000226,-1.1155187482996958
ACH-000227,-1.1770980815363072
ACH-000228,-1.3917327637113523
ACH-000231,-1.14136888673045
ACH-000232,-1.2887568050198377
ACH-000233,-1.264393316397917
ACH-000234,-1.2117347331624706
ACH-000235,-1.1897045005249782
ACH-000237,-1.2013245862628044
ACH-000238,-1.199631218484159
ACH-000242,-0.6454414691368228
ACH-000243,-1.263044808081858
ACH-000244,-1.1721054698222042
ACH-000246,-1.3257957540392065
ACH-000248,-1.3712203228423023
ACH-000250,-1.0824224022634767
ACH-000251,-1.477768137353673
ACH-000252,-1.5263883094071078
ACH-000253,-1.1301643342806331
ACH-000255,-1.0973688467331564
ACH-000256,-1.5225033206074092
ACH-000257,-1.1226052682473942
ACH-000258,-1.267127984003354
ACH-000259,-1.1272407957299158
ACH-000260,-1.4508088211399617
ACH-000261,-1.1338551686585114
ACH-000262,-1.1476258684026988
ACH-000263,-1.1962898780908906
ACH-000264,-1.2619817042124801
ACH-000265,-1.1399333500353406
ACH-000266,-1.213287925907335
ACH-000272,-1.1304646315361462
ACH-000274,-1.1945247199341482
ACH-000277,-1.210617379913295
ACH-000278,-1.3377146428586284
ACH-000279,-1.2606205266199586
ACH-000280,-1.4433248372299592
ACH-000281,-1.261296288433856
ACH-000288,-1.21198064138636
ACH-000291,-1.3486282808530654
ACH-000293,-1.6245072138744503
ACH-000294,-1.1323116821043446
ACH-000295,-1.3356797229450896
ACH-000296,-1.038787448849467
ACH-000302,-1.5535655807145936
ACH-000304,-1.4221729511207797
