,CDK5RAP3 (80279)
ACH-000004,-0.23972435976505904
ACH-000005,0.013641101660101972
ACH-000007,-0.047646054004733165
ACH-000009,-0.09185524768081058
ACH-000011,-0.13640686654235104
ACH-000012,-0.21513505128809832
ACH-000013,-0.16555055207443192
ACH-000014,-0.12016407590311075
ACH-000015,-0.05815244671721013
ACH-000017,0.03412120157288245
ACH-000018,-0.19760163755189772
ACH-000019,-0.13242248726761324
ACH-000021,0.04359983904915045
ACH-000022,-0.18174014571472516
ACH-000025,-0.15946838168088653
ACH-000028,-0.1710778819718237
ACH-000030,-0.08540176405915458
ACH-000035,-0.23304556652288635
ACH-000036,-0.13657363355514496
ACH-000037,-0.13055867110649538
ACH-000039,-0.1809698546744692
ACH-000040,-0.34221942998078103
ACH-000041,-0.06110288477659976
ACH-000042,-0.10706995747273322
ACH-000045,-0.12395297913837855
ACH-000047,-0.15874789374419307
ACH-000052,-0.19704203874886966
ACH-000053,-0.049783948830036034
ACH-000054,-0.1290970641848611
ACH-000055,-0.34889952430659915
ACH-000060,-0.2589654311023936
ACH-000067,-0.2230779911804341
ACH-000070,-0.114764320670431
ACH-000075,-0.4286213349781847
ACH-000078,-0.2285122045595412
ACH-000082,-0.26142565572530624
ACH-000085,-0.2551719757701281
ACH-000086,-0.09137957205301536
ACH-000087,-0.01648946951866749
ACH-000092,-0.18207629737555486
ACH-000095,-0.060990140342842274
ACH-000097,-0.12739077661953616
ACH-000098,-0.013168174292531106
ACH-000099,-0.12350863089879842
ACH-000108,-0.27812263963434714
ACH-000113,-0.002847186898393376
ACH-000116,-0.16461050044664954
ACH-000118,-0.0575095891820166
ACH-000120,-0.16986842348922354
ACH-000123,-0.2760894127327846
ACH-000127,-0.10954237744883803
ACH-000128,-0.29659599473661163
ACH-000132,-0.010014189411318548
ACH-000133,-0.10777023911264054
ACH-000137,-0.2434212876860125
ACH-000138,-0.2702679800287994
ACH-000142,-0.1563776734772513
ACH-000143,-0.15079323434218456
ACH-000146,-0.20838242437942192
ACH-000148,0.01682163651325396
ACH-000150,-0.16154190922496106
ACH-000152,-0.2675562082630055
ACH-000153,-0.1956855394162698
ACH-000159,-0.17843426142195806
ACH-000160,-0.09429540567318524
ACH-000163,-0.35978713608127544
ACH-000167,-0.3314976360659003
ACH-000168,-0.3517199346875591
ACH-000169,-0.2341333429052198
ACH-000178,-0.016567653253430292
ACH-000183,-0.12443309187245298
ACH-000188,-0.2854406395814285
ACH-000189,-0.15995317739053613
ACH-000190,-0.3481809066282749
