,FTH1 (2495)
ACH-000004,-0.3401152651867003
ACH-000005,0.025064608517592662
ACH-000007,-0.29238288483916675
ACH-000009,-0.2977971337122296
ACH-000011,-0.21247859493205806
ACH-000012,-0.21672269704245686
ACH-000013,-0.10692101639149916
ACH-000014,-0.2374964582889683
ACH-000015,-0.2085119302769792
ACH-000017,-0.15525208465031046
ACH-000018,-0.2058971685271327
ACH-000019,-0.1934387829255975
ACH-000021,-0.31159025168237525
ACH-000022,-0.3557707713890469
ACH-000025,-0.31353151422210124
ACH-000028,-0.20236045571752656
ACH-000030,-0.2778707347579261
ACH-000035,-0.4626562732435791
ACH-000036,-0.4398365535965553
ACH-000037,-0.2136389494864356
ACH-000039,-0.595633463709268
ACH-000040,-0.3577026235255057
ACH-000041,-0.2595516693558867
ACH-000042,-0.17206581499879248
ACH-000045,-0.16648865374399233
ACH-000047,-0.2254701228342557
ACH-000052,-0.2229771620326527
ACH-000053,-0.3553417872400244
ACH-000054,-0.2540394667430784
ACH-000055,-0.3095013541166851
ACH-000060,-0.2062890492369643
ACH-000067,-0.32082552437202555
ACH-000070,-0.5439574693190687
ACH-000075,-0.10410079528806744
ACH-000078,-0.2126926884002486
ACH-000082,-0.3031637122345115
ACH-000085,-0.3455463168548797
ACH-000086,-0.3920075915756734
ACH-000087,-0.41063364181064055
ACH-000092,-0.2758603593256764
ACH-000095,-0.2460366070906631
ACH-000097,-0.17241435380253134
ACH-000098,-0.27779732619435643
ACH-000099,-0.28624769643435777
ACH-000108,-0.3745924954737994
ACH-000113,-0.20726930070740213
ACH-000116,-0.3021155955910205
ACH-000118,-0.3221561292445211
ACH-000120,-0.24542649156215826
ACH-000123,-0.3175186260465089
ACH-000127,-0.26774584241297683
ACH-000128,-0.282376041587492
ACH-000132,-0.4850766640672706
ACH-000133,-0.2255376892609751
ACH-000137,-0.22065187737446712
ACH-000138,-0.30056868119873564
ACH-000142,-0.3062072863088523
ACH-000143,-0.4472154524665405
ACH-000146,-0.2323770697799507
ACH-000148,-0.14171555465345675
ACH-000150,-0.4517962250926438
ACH-000152,-0.34592967978237343
ACH-000153,-0.6187663078573411
ACH-000159,-0.2643959800452797
ACH-000160,-0.263741848232515
ACH-000163,-0.3010329850577292
ACH-000167,-0.3860510166575513
ACH-000168,-0.22572760286732516
ACH-000169,-0.4484165013402313
ACH-000178,-0.27832054886307195
ACH-000183,-0.3612602860111263
ACH-000188,-0.31720364141648183
ACH-000189,-0.3688975602245746
ACH-000190,-0.36707231162965226
ACH-000198,-0.42055597388176347
ACH-000203,-0.15733308245202365
ACH-000204,-0.34802452970295245
ACH-000206,-0.24588786176103705
ACH-000207,-0.4137952783012779
ACH-000208,-0.3707170210064578
ACH-000210,-0.3953990774376648
ACH-000211,-0.3885987722213125
ACH-000215,-0.21784446981189529
ACH-000221,-0.2359931922563845
ACH-000222,-0.047273911552987484
ACH-000223,-0.3835976857221717
ACH-000226,-0.1937605007099906
ACH-000227,-0.2582618968058312
ACH-000228,-0.34823261328748323
ACH-000231,-0.282488145881091
ACH-000232,-0.3199853752168577
ACH-000233,-0.3746961184032861
ACH-000234,-0.3412270607807525
ACH-000235,-0.2276863052342347
ACH-000237,0.008250063618121709
ACH-000238,-0.1411782670458819
ACH-000242,-0.2274468732017263
ACH-000243,-0.09317796852090464
ACH-000244,-0.3489999261122857
ACH-000246,-0.26784520781297777
ACH-000248,0.017006826919456174
ACH-000250,-0.3318203985974744
ACH-000251,-0.2525415495798595
ACH-000252,-0.22077915152435548
ACH-000253,-0.3207539237465458
ACH-000255,-0.17071137965406102
ACH-000256,-0.2998052005149143
ACH-000257,-0.2729701873314715
ACH-000258,0.03265588582983309
ACH-000259,-0.25614883484056505
ACH-000260,-0.26554997813899184
ACH-000261,-0.333810421564172
ACH-000262,-0.3136030057000773
ACH-000263,-0.3882812618594533
ACH-000264,-0.3003793471651132
ACH-000265,-0.30965522743519064
ACH-000266,-0.17741701136032045
ACH-000272,-0.2487104966964619
ACH-000274,-0.3211772948979575
ACH-000277,0.13819421389617098
ACH-000278,-0.21584056663133014
ACH-000279,-0.27530388630313263
ACH-000280,-0.25380443239366623
ACH-000281,-0.2843927033037367
ACH-000288,-0.33844501667742344
ACH-000291,-0.1232251700964589
ACH-000293,-0.1010485805273035
ACH-000294,-0.25084863237252125
ACH-000295,-0.183067836481739
ACH-000296,-0.2275038556622529
ACH-000302,-0.15596310297013022
ACH-000304,-0.2193999174441625
ACH-000307,-0.3378531223380845
ACH-000308,-0.3255869068974057
ACH-000310,-0.3079646166447481
ACH-000311,-0.1134385877686629
ACH-000312,-0.2450018242018675
ACH-000315,-0.1582244348532876
ACH-000316,-0.22258734929791785
ACH-000317,-0.4989998150943496
ACH-000318,-0.5575121700097565
ACH-000319,-0.276799535435585
ACH-000320,-0.04886932755961601
ACH-000322,-0.3713080482205327
ACH-000323,-0.2250201462228712
ACH-000324,-0.35993777706134183
ACH-000329,-0.1835037742631576
ACH-000330,-0.4121461978890949
ACH-000331,-0.33187579206016593
ACH-000332,-0.16562486400327675
ACH-000334,-0.6401679980706538
ACH-000335,-0.2140992109219579
ACH-000336,-0.3348442712652689
ACH-000337,-0.4489541305751708
ACH-000338,-0.2949835930279916
ACH-000339,-0.2357332129574276
ACH-000341,-0.3483637722540507
ACH-000348,-0.1184359995347612
ACH-000350,-0.3283131293538873
ACH-000352,-0.17117511475301814
ACH-000356,0.05982990980401101
ACH-000361,-0.4503559781740109
ACH-000362,-0.2599418900897098
ACH-000363,-0.2839818471800564
ACH-000364,-0.3695238720973161
