,F2RL2 (2151)
ACH-000004,0.09635651331466057
ACH-000005,0.4397411662788379
ACH-000007,0.1775310579840856
ACH-000009,0.2173660704465118
ACH-000011,0.2308017897009325
ACH-000012,0.11400159491207815
ACH-000013,0.14940228064954394
ACH-000014,0.00862827248667415
ACH-000015,0.02364785859396688
ACH-000017,0.12122978796741975
ACH-000018,0.002668261764031479
ACH-000019,0.2698292113819001
ACH-000021,0.06535331481361736
ACH-000022,0.0551644790700006
ACH-000025,0.34506730371897704
ACH-000028,0.054566818030371785
ACH-000030,0.07498654763843664
ACH-000035,0.09810672232453266
ACH-000036,0.10986201905955888
ACH-000037,0.2375961244357283
ACH-000039,0.11941455520432147
ACH-000040,0.06064088726024711
ACH-000041,0.11122662868948867
ACH-000042,0.08765151157574047
ACH-000045,0.03700956364242194
ACH-000047,0.10333783732050383
ACH-000052,0.10706320955751908
ACH-000053,0.08778425698281292
ACH-000054,0.022718858556753898
ACH-000055,0.2165925495680121
ACH-000060,0.12243123200809206
ACH-000067,0.12754391691215358
ACH-000070,-0.0506161873824541
ACH-000075,0.2087075585651131
ACH-000078,0.20737126539953515
ACH-000082,-0.02551432132497852
ACH-000085,0.07278698358866288
ACH-000086,0.12152423180536184
ACH-000087,-0.19233632488415406
ACH-000092,0.12612067357178328
ACH-000095,0.07536174853883995
ACH-000097,0.05704772186442756
ACH-000098,0.006701286580415154
ACH-000099,0.11447020649525727
ACH-000108,0.18111829507845054
ACH-000113,0.22102171107565532
ACH-000116,0.06615516284256139
ACH-000118,0.16171425776143114
ACH-000120,0.09389254210693727
ACH-000123,0.0006303574832726871
ACH-000127,0.08922961900700192
ACH-000128,0.10342442181744692
ACH-000132,0.10895124010113844
ACH-000133,0.10893295388005476
ACH-000137,0.22449862369695375
ACH-000138,0.055681692719581864
ACH-000142,0.056427515509058286
ACH-000143,0.03547442531289068
ACH-000146,0.17989691171485986
ACH-000148,0.20154692509167008
ACH-000150,-0.01789936031081671
ACH-000152,0.19037032709799287
ACH-000153,-0.0518189230026356
ACH-000159,0.11078088597906548
ACH-000160,0.16238222420389076
ACH-000163,0.19097433908697267
ACH-000167,0.10350771991594893
ACH-000168,0.1369798359002503
ACH-000169,0.0421448139493236
ACH-000178,0.0505070796747913
ACH-000183,0.027286387793438303
ACH-000188,0.04327468799607012
ACH-000189,0.12353353213533975
ACH-000190,-0.06883795914682814
ACH-000198,0.1834754162158096
ACH-000203,0.037916557763757484
ACH-000204,0.14571861470322234
ACH-000206,0.17575514512110862
ACH-000207,0.05504362491411916
ACH-000208,-0.2582144249234988
ACH-000210,-0.03513516828609666
ACH-000211,0.08480617713635116
ACH-000215,0.08702435753884535
ACH-000221,0.18387802688831797
ACH-000222,0.056648068902203426
ACH-000223,0.2442989646791888
ACH-000226,0.01736119842846955
ACH-000227,0.08626920581173342
ACH-000228,-0.043464005402492185
ACH-000231,0.20310651185892115
