,PRAMEF5 (343068)
ACH-000004,-0.4909850618615145
ACH-000005,-0.3316330863537313
ACH-000007,-0.3690471225046879
ACH-000009,-0.4052207099928877
ACH-000011,-0.25946091465206433
ACH-000012,-0.3189874043571929
ACH-000013,-0.2722105271877851
ACH-000014,-0.5017021523369697
ACH-000015,-0.41609593322853095
ACH-000017,-0.24394913736483154
ACH-000018,-0.5203981768124746
ACH-000019,-0.1968243964357298
ACH-000021,-0.36227158834858697
ACH-000022,-0.4112493239882496
ACH-000025,-0.3891443792157993
ACH-000028,-0.3217199275131579
ACH-000030,-0.4342212187820754
ACH-000035,-0.4532253721660174
ACH-000036,-0.4780296622420677
ACH-000037,-0.45190578321474
ACH-000039,-0.5109431312990201
ACH-000040,-0.5022460865544297
ACH-000041,-0.31915063705862634
ACH-000042,-0.4012946980957265
ACH-000045,-0.6147179449580699
ACH-000047,-0.3330401943525871
ACH-000052,-0.5473004373990038
ACH-000053,-0.4547693633143872
ACH-000054,-0.3857865606760598
ACH-000055,-0.4658129479059697
ACH-000060,-0.3633344017948201
ACH-000067,-0.4491753129182652
ACH-000070,-0.4506276475443993
ACH-000075,-0.28649964368408243
ACH-000078,-0.597791478521099
ACH-000082,-0.3797829191258933
ACH-000085,-0.6105731080469532
ACH-000086,-0.5125188626840426
ACH-000087,-0.4079983929455997
ACH-000092,-0.4875280697807328
ACH-000095,-0.5163933036243795
ACH-000097,-0.3801492619793457
ACH-000098,-0.48793089185189203
ACH-000099,-0.4563209797332104
ACH-000108,-0.26159322032430343
ACH-000113,-0.4449795183318596
ACH-000116,-0.4193454911605325
ACH-000118,-0.35211489177262645
ACH-000120,-0.5318969324590119
ACH-000123,-0.4362958095194824
ACH-000127,-0.4990893123557871
ACH-000128,-0.4004018789150592
ACH-000132,-0.5413972889652694
ACH-000133,-0.4957697891717012
ACH-000137,-0.4734248936145888
ACH-000138,-0.4801764023024661
ACH-000142,-0.39963686691227535
ACH-000143,-0.3229916300545567
ACH-000146,-0.4217989806287947
ACH-000148,-0.3950357936001953
ACH-000150,-0.3723581977743796
ACH-000152,-0.5495953691517815
