,MMEL1 (79258)
ACH-000004,-0.12439367317098682
ACH-000005,-0.2825327791722915
ACH-000007,-0.07327600192153114
ACH-000009,-0.15297219847400062
ACH-000011,0.004188117855097348
ACH-000012,-0.07471128087790521
ACH-000013,-0.10077194999713417
ACH-000014,-0.26252510286487457
ACH-000015,-0.083816244166634
ACH-000017,-0.13946736907239066
ACH-000018,-0.13208099658343053
ACH-000019,-0.18416076924055744
ACH-000021,-0.10928606441060376
ACH-000022,-0.09816260363018932
ACH-000025,0.07718882814708326
ACH-000028,0.021195295492356468
ACH-000030,-0.11815782345444692
ACH-000035,-0.1956314385873844
ACH-000036,-0.04666285010314645
ACH-000037,-0.2737973626570401
ACH-000039,-0.27640154797579325
ACH-000040,-0.02830843784552071
ACH-000041,-0.2362570004744855
ACH-000042,-0.08560160419843303
ACH-000045,0.003977136164031381
ACH-000047,-0.11078078866921057
ACH-000052,-0.11985616934089845
ACH-000053,-0.058762424370003376
ACH-000054,-0.012880551349893198
ACH-000055,-0.034712013839937064
ACH-000060,-0.10085964841513716
ACH-000067,-0.15246109626647075
ACH-000070,-0.17226814088132486
ACH-000075,-0.03167032238754679
ACH-000078,-0.10558629137690012
ACH-000082,-0.06412961585632103
ACH-000085,-0.24333426931953725
ACH-000086,-0.15949727435015276
ACH-000087,-0.1349518141424901
ACH-000092,-0.07597296095509454
ACH-000095,-0.13791569699959655
ACH-000097,-0.05492926001039704
ACH-000098,-0.0672386426201789
ACH-000099,-0.1463087650274446
ACH-000108,-0.062467478039347664
ACH-000113,-0.08828522274910093
ACH-000116,-0.05382448602784408
ACH-000118,0.021811871495920957
ACH-000120,-0.2710979705815028
ACH-000123,-0.040232953397799816
ACH-000127,-0.061252337700015674
ACH-000128,-0.30938064905744017
ACH-000132,-0.12779771895053724
ACH-000133,-0.09113846144116693
ACH-000137,0.027687326544991512
ACH-000138,-0.009857935195098423
ACH-000142,-0.08279651233401147
ACH-000143,-0.052705151507908055
ACH-000146,-0.16148901711290478
ACH-000148,-0.1608157201257915
ACH-000150,-0.5366254806744433
ACH-000152,-0.06333536951704907
ACH-000153,-0.032484423506745436
ACH-000159,-0.0612721509875733
ACH-000160,-0.12678471482522802
ACH-000163,-0.14018738714082998
ACH-000167,-0.2000380738738352
ACH-000168,0.1771012354179353
ACH-000169,-0.027620539700017387
ACH-000178,-0.12445135934828015
ACH-000183,-0.12623715639820154
ACH-000188,-0.12464442439345855
ACH-000189,-0.010235011178593168
ACH-000190,-0.2555785000017445
ACH-000198,-0.0308228615352161
ACH-000203,0.4307818740159344
ACH-000204,-0.07222926284325737
ACH-000206,-0.2327459164899413
ACH-000207,-0.023059609089289345
ACH-000208,-0.2023810442214548
ACH-000210,0.05359468646795178
ACH-000211,-0.04218929927770747
ACH-000215,-0.14611367188444502
ACH-000221,-0.09467688859398243
ACH-000222,-0.2679903322668532
ACH-000223,0.053851244019211486
ACH-000226,0.055414569784367984
ACH-000227,-0.27507563739185303
ACH-000228,-0.1420578238777489
ACH-000231,-0.1297028442359748
ACH-000232,-0.023263726652743347
ACH-000233,-0.15086736841469406
ACH-000234,-0.10782336941745756
ACH-000235,0.00382371580869514
ACH-000237,-0.1686700316505248
ACH-000238,-0.09358070917301456
ACH-000242,-0.36809935237592817
ACH-000243,-0.13117048568786455
