,TTK (7272)
ACH-000004,-0.5559012630477776
ACH-000005,-0.4996624565173265
ACH-000007,-0.4328709630778495
ACH-000009,-0.5833065994020108
ACH-000011,-0.441195196138443
ACH-000012,-0.9559940396166938
ACH-000013,-0.6255141647463781
ACH-000014,-0.5761010532302422
ACH-000015,-0.5254856821413012
ACH-000017,-0.6533687235163935
ACH-000018,-0.7182090948496581
ACH-000019,-0.7829552376805777
ACH-000021,-0.6255885212999954
ACH-000022,-0.5612743037282627
ACH-000025,-0.7128190410237644
ACH-000028,-0.5998509335557141
ACH-000030,-0.5620394270521755
ACH-000035,-0.8255366954963986
ACH-000036,-0.7008396736703746
ACH-000037,-0.6269206178967994
ACH-000039,-0.7411919612800096
ACH-000040,-0.6981768103361589
ACH-000041,-0.6116897325465471
ACH-000042,-0.7294645767240877
ACH-000045,-0.5431022810257398
ACH-000047,-0.7047186271947761
ACH-000052,-0.7553480822633596
ACH-000053,-0.7057202909138937
ACH-000054,-0.8628196451594187
ACH-000055,-0.8262740615570999
ACH-000060,-0.7677092910967049
ACH-000067,-0.6727915213373863
ACH-000070,-0.58354134734839
ACH-000075,-0.8843365838462562
ACH-000078,-0.6003076062735087
ACH-000082,-0.6568047355776764
ACH-000085,-0.6463448271743847
ACH-000086,-0.8404161145199541
ACH-000087,-0.8537989211571856
ACH-000092,-0.8907721634669882
ACH-000095,-0.6408952523759538
ACH-000097,-0.7842343575036281
ACH-000098,-0.7136733566000507
ACH-000099,-0.6317301909984417
ACH-000108,-0.6723456816701969
ACH-000113,-0.5741311110028425
ACH-000116,-0.6138979551652344
ACH-000118,-0.8359139216479178
ACH-000120,-0.7322713435274045
ACH-000123,-0.4585293913820546
ACH-000127,-0.4680925706510811
ACH-000128,-0.5760156513371939
ACH-000132,-0.954762245395478
ACH-000133,-0.6982315304354664
ACH-000137,-0.8476979594714737
ACH-000138,-0.8511229583638158
ACH-000142,-0.6890559080575513
ACH-000143,-0.8390677345681276
ACH-000146,-0.5308495019384597
ACH-000148,-0.7640685255116341
ACH-000150,-1.0713388908499508
ACH-000152,-0.8897140891207177
ACH-000153,-1.1482275321197082
ACH-000159,-0.9753762033493608
ACH-000160,-0.660584553386907
ACH-000163,-0.7654910219093859
ACH-000167,-0.9611154144862928
ACH-000168,-0.7361657882311714
ACH-000169,-0.8244893725603449
ACH-000178,-0.7240731957692086
ACH-000183,-0.6640601024502945
ACH-000188,-0.6162845520460866
ACH-000189,-0.9379560492524762
ACH-000190,-0.9715104258645492
ACH-000198,-0.491763928858685
ACH-000203,-0.3123142096986317
ACH-000204,-0.8070520897062329
ACH-000206,-0.7915775787361491
ACH-000207,-0.8041225553737997
ACH-000208,-0.6664228289844741
ACH-000210,-0.6938955394266315
ACH-000211,-0.6478454885318597
ACH-000215,-0.8221665290755281
ACH-000221,-0.5492132698333455
ACH-000222,-0.6744120267322651
ACH-000223,-0.6579901684848826
ACH-000226,-0.6925209091357162
ACH-000227,-0.920912641887634
ACH-000228,-0.5465541408606832
ACH-000231,-0.7146306019166928
ACH-000232,-0.6396122442173949
ACH-000233,-0.8793478409801077
ACH-000234,-0.6978234612737385
ACH-000235,-0.8039982041117186
ACH-000237,-0.5351890547675902
ACH-000238,-0.3483997164377811
ACH-000242,-0.9557023892381296
ACH-000243,-0.7378258730549649
ACH-000244,-0.5497989436112837
ACH-000246,-0.6998581758678167
ACH-000248,-0.6657865108485062
ACH-000250,-0.42916464338383137
ACH-000251,-0.903070777615114
ACH-000252,-0.8468918916799975
ACH-000253,-0.9615160827451064
ACH-000255,-0.7784358119731739
ACH-000256,-0.7689291198821252
ACH-000257,-0.8146434891532758
ACH-000258,-0.7339953944370368
ACH-000259,-0.6440156512515601
ACH-000260,-0.7252748907626694
ACH-000261,-0.787511001160587
ACH-000262,-0.6704920225122211
ACH-000263,-0.8140868386408916
ACH-000264,-0.5946337929474894
ACH-000265,-0.4972770283543723
ACH-000266,-0.9271499209787808
ACH-000272,-0.9585320424326362
ACH-000274,-0.9017767704318193
ACH-000277,-0.5513302632112461
ACH-000278,-0.6741694559754594
ACH-000279,-0.6503093035104169
ACH-000280,-0.6867320179870676
ACH-000281,-0.4298507532555242
ACH-000288,-0.6420298655242265
ACH-000291,-0.6724837711464509
ACH-000293,-0.6992799119829102
ACH-000294,-0.5509340444247198
ACH-000295,-0.4756321351085377
ACH-000296,-0.7936465163274916
ACH-000302,-0.583506733339189
ACH-000304,-0.9327356866658276
ACH-000307,-0.5913062794712521
ACH-000308,-0.7928144947357963
ACH-000310,-0.6274784904155032
ACH-000311,-0.5509577095723756
ACH-000312,-0.6343432776703247
ACH-000315,-0.6665353920745917
ACH-000316,-0.5136634188696576
ACH-000317,-0.6912941457882027
ACH-000318,-0.7446683882871126
ACH-000319,-0.6562307884292978
ACH-000320,-0.5861520063372281
ACH-000322,-0.6293125273264946
ACH-000323,-1.0172556206602597
ACH-000324,-0.7084724253698825
ACH-000329,-0.5292412936793429
ACH-000330,-0.5909120562725033
ACH-000331,-0.9060599114632
