,SBNO1 (55206)
ACH-000004,-1.2818152359683563
ACH-000005,-1.1679669021975927
ACH-000007,-1.080152216994182
ACH-000009,-0.9362796447520824
ACH-000011,-0.9667608813524314
ACH-000012,-0.9367216327290008
ACH-000013,-1.1797075542361886
ACH-000014,-0.9826925617145936
ACH-000015,-1.1389500335292972
ACH-000017,-0.7627540022929027
ACH-000018,-0.8393581200699899
ACH-000019,-0.9633085084693936
ACH-000021,-1.092836893925867
ACH-000022,-0.8658938242039673
ACH-000025,-1.0136584676954472
ACH-000028,-0.9476926173263996
ACH-000030,-0.9766441403659168
ACH-000035,-1.1103294724211283
ACH-000036,-1.123155639738634
ACH-000037,-0.8986615265744359
ACH-000039,-1.1987769637644723
ACH-000040,-1.2024267098089525
ACH-000041,-1.0958539515707757
ACH-000042,-1.0069090768861495
ACH-000045,-1.032373676659871
ACH-000047,-0.9503439473915548
ACH-000052,-1.1991839557256456
ACH-000053,-1.1793839928776797
ACH-000054,-0.7745157953777955
ACH-000055,-1.022816224086738
ACH-000060,-1.0060786715092929
ACH-000067,-0.9944190672611104
ACH-000070,-1.059579778782605
ACH-000075,-1.1151390440351092
ACH-000078,-1.0149884743787831
ACH-000082,-0.8967194735764487
ACH-000085,-1.0965921722502974
ACH-000086,-0.8337621592557866
ACH-000087,-1.018877488869426
ACH-000092,-1.1859271358723784
ACH-000095,-1.0540582436330497
ACH-000097,-0.9381971433193952
ACH-000098,-1.2068461178011836
ACH-000099,-0.928578184633674
ACH-000108,-1.051870936240228
ACH-000113,-1.1896036167294692
ACH-000116,-1.033135301797377
ACH-000118,-0.9776022017015682
ACH-000120,-0.9517808584016112
ACH-000123,-1.107048683407342
ACH-000127,-0.9956135128949308
ACH-000128,-0.9242131105619557
ACH-000132,-1.1665106251879225
ACH-000133,-1.0044844624098626
ACH-000137,-0.9359300267561512
ACH-000138,-0.9518057385903614
ACH-000142,-0.8648444076488673
ACH-000143,-1.296349428324577
ACH-000146,-0.8913466728346624
ACH-000148,-1.1752521309335209
ACH-000150,-1.0115613555822274
ACH-000152,-1.017847831390889
ACH-000153,-0.9466717083110646
ACH-000159,-0.8653983538367597
ACH-000160,-1.3230544348771107
ACH-000163,-0.8142468585465163
