,SARDH (1757)
ACH-000699,-0.10081092363872728
ACH-000701,-0.18925566758410028
ACH-000706,-0.010411015447868963
ACH-000711,-0.08566026425754712
ACH-000713,-0.10812527253002002
ACH-000714,0.08418841331137647
ACH-000718,-0.1456421861927039
ACH-000720,0.006358356689593761
ACH-000721,-0.1916048745230835
ACH-000724,-0.014822412733114715
ACH-000725,0.1727966720934943
ACH-000732,-0.012507905379992823
ACH-000734,-0.06923381583524284
ACH-000735,-0.14334434528796916
ACH-000736,0.05019995347080036
ACH-000738,-0.14139110042703898
ACH-000746,0.0661523727482765
ACH-000747,0.03393631717337172
ACH-000748,-0.10106524397925508
ACH-000753,-0.008963350699513052
ACH-000756,-0.08372430364062687
ACH-000757,-0.26096656632995985
ACH-000758,-0.1183802478824518
ACH-000760,-0.14419058080707214
ACH-000762,-0.2413848792374951
ACH-000763,0.23763922284830896
ACH-000764,0.0028705249204364664
ACH-000765,-0.1371338288016682
ACH-000766,0.006217593583390634
ACH-000767,-0.07775714928252221
ACH-000768,-0.026675667488605996
ACH-000769,-0.2342836755380438
ACH-000770,-0.005191097581106543
ACH-000771,-0.1255710757843802
ACH-000773,0.060220835976810085
ACH-000776,-0.1618586021193928
ACH-000777,-0.2035297330244427
ACH-000778,-0.1430581108934598
ACH-000781,-0.11151550778915173
ACH-000782,-0.17129390238572956
ACH-000783,-0.09019359290926883
ACH-000784,-0.22771410336881798
ACH-000785,0.05109920815818269
ACH-000787,-0.12897936406711213
ACH-000788,-0.10070570353300423
ACH-000791,0.0007748403841400592
ACH-000792,-0.10418131906408368
ACH-000794,-0.21235767262160735
ACH-000796,-0.06686136975324337
ACH-000798,-0.1166899701552026
ACH-000799,0.07573283953827603
ACH-000800,-0.15797096548216025
ACH-000802,-0.12386765762209058
ACH-000804,-0.0583284450227838
ACH-000805,-0.18544675026561547
ACH-000809,-0.08398590753264104
ACH-000810,-0.13786622166999415
ACH-000811,-0.11455230254106445
ACH-000817,-0.03857082709163807
ACH-000819,-0.11725978818467125
ACH-000820,0.06283067370832532
ACH-000821,-0.2511098845008087
ACH-000822,-0.0900148620872623
ACH-000823,-0.15152257663328164
ACH-000824,-0.210198563517288
ACH-000827,-0.07066034452956714
ACH-000829,0.009214861076990127
ACH-000831,-0.07030793407055715
ACH-000832,-0.03837243766869283
ACH-000833,0.10476120030038144
ACH-000834,-0.0905707018169546
ACH-000835,-0.21385723021153485
ACH-000836,-0.1737610818187499
ACH-000837,-0.10497306296620806
ACH-000838,0.021005201444680387
ACH-000839,-0.0036279928249227525
ACH-000840,-0.11548245313436267
ACH-000841,-0.1634605978386327
ACH-000843,-0.07984147443472978
ACH-000846,-0.06562942507505072
ACH-000847,-0.10814616178295718
ACH-000848,0.02133931025994513
ACH-000849,-0.01955622747052082
ACH-000851,-0.09640253374446513
ACH-000855,0.10072130259385703
ACH-000856,-0.2260358981111474
ACH-000858,-0.1136095183545611
ACH-000859,-0.0939273717784798
ACH-000861,-0.08102634439508677
ACH-000862,-0.1426347742127421
ACH-000865,-0.17805399792464344
ACH-000866,-0.020828443613298067
ACH-000867,-0.019539041734920583
ACH-000869,0.032750877891670374
ACH-000872,-0.1511410193780233
ACH-000873,-0.16097554893649835
ACH-000876,-0.07983640719345976
ACH-000878,0.08686560141049776
ACH-000880,0.06954535424375105
ACH-000881,-0.1572209498596308
ACH-000882,-0.23502795256839898
ACH-000884,-0.17693680679377669
ACH-000885,-0.09706067838813373
ACH-000887,-0.3428431183882297
ACH-000889,-0.20294483511067687
ACH-000896,-0.04836815943418332
ACH-000898,0.002235053518411223
ACH-000900,-0.07847785863896754
ACH-000901,-0.10709041323303796
ACH-000905,-0.03142850181409635
ACH-000906,-0.0864908143862147
ACH-000907,-0.36056601113381775
ACH-000910,0.007369592990094451
ACH-000911,-0.22016521349850907
ACH-000912,-0.12877581111717767
