,MYT1L (23040)
ACH-000004,-0.232253906608908
ACH-000005,-0.12388084395889415
ACH-000007,-0.4711838031291787
ACH-000009,-0.24816331885956244
ACH-000011,-0.13582558217049634
ACH-000012,-0.09524776699207987
ACH-000013,-0.2022262630994036
ACH-000014,-0.19799911431196465
ACH-000015,-0.1328875839873282
ACH-000017,-0.2972792427233181
ACH-000018,-0.2405744036023833
ACH-000019,-0.10603131903852182
ACH-000021,-0.11621401635103284
ACH-000022,-0.22675803588059595
ACH-000025,-0.13704871335889882
ACH-000028,-0.18991231627434887
ACH-000030,-0.2543716670829389
ACH-000035,-0.3627360856863252
ACH-000036,-0.2395842783006675
ACH-000037,-0.2011205498426552
ACH-000039,-0.25435103369670364
ACH-000040,-0.3137918088519512
ACH-000041,-0.4265241857267677
ACH-000042,-0.2299588584691988
ACH-000045,-0.03346627115762065
ACH-000047,-0.1293183209515326
ACH-000052,-0.5742948678705351
ACH-000053,-0.19649472754315525
ACH-000054,-0.1872510727883142
ACH-000055,-0.1806442344643574
ACH-000060,-0.21674597540006285
ACH-000067,-0.2508291467504037
ACH-000070,-0.2781177610274392
ACH-000075,-0.06069901699820046
ACH-000078,-0.2566576254866652
ACH-000082,-0.11201704195843112
ACH-000085,-0.1569126232271548
ACH-000086,-0.18355135780755705
ACH-000087,-0.6394210807045158
ACH-000092,-0.12917287125201174
ACH-000095,-0.3341404549921649
ACH-000097,-0.2125549367237704
ACH-000098,-0.1908931380182056
ACH-000099,-0.1128835598328822
ACH-000108,-0.19171892940266005
ACH-000113,-0.13998954126610094
ACH-000116,-0.1013821170288964
ACH-000118,-0.14206525292578995
ACH-000120,-0.2843800359172475
ACH-000123,-0.18485932236018315
ACH-000127,-0.2069837147373764
ACH-000128,-0.17779529971933666
ACH-000132,-0.2627895241778095
ACH-000133,-0.2327747900454323
ACH-000137,-0.0917023780117386
ACH-000138,-0.1333319845452857
ACH-000142,-0.15931930019000598
ACH-000143,-0.05667557239635241
ACH-000146,-0.23978063393141366
ACH-000148,-0.24778088103216825
ACH-000150,0.21679721528092333
