,STRA13 (201254)
ACH-000004,-0.07263958403393962
ACH-000005,0.21348748835359554
ACH-000007,-0.3896501219334023
ACH-000009,-0.4944946312883811
ACH-000011,-0.471854423714151
ACH-000012,-0.3787522278857592
ACH-000013,-0.4014745906036653
ACH-000014,-0.23743229849311745
ACH-000015,-0.27625196913209915
ACH-000017,-0.3379782671531209
ACH-000018,-0.2304387584979668
ACH-000019,-0.44442535921179227
ACH-000021,-0.28493465045645466
ACH-000022,-0.30174890762463435
ACH-000025,-0.403877175346456
ACH-000028,-0.5071003195937034
ACH-000030,-0.4225609009066129
ACH-000035,-0.21553044346611325
ACH-000036,-0.4673506160853182
ACH-000037,-0.4122696449888044
ACH-000039,-0.5440641964157854
ACH-000040,-0.24954284613391395
ACH-000041,-0.18956368730108306
ACH-000042,-0.33622555605010834
ACH-000045,-0.19868305242959455
ACH-000047,-0.7130932258099282
ACH-000052,-0.3897487395464289
ACH-000053,-0.19036061834227164
ACH-000054,-0.452059530409926
ACH-000055,-0.2005880840928433
ACH-000060,-0.44387096289153294
ACH-000067,-0.4915324315901047
ACH-000070,-0.17314669945732228
ACH-000075,-0.06824375611573827
ACH-000078,-0.7119482597665228
ACH-000082,-0.5068310337641552
ACH-000085,-0.14826160502140076
ACH-000086,-0.3336555295580099
ACH-000087,-0.43958675737954206
ACH-000092,-0.4033819358713497
ACH-000095,-0.33986397563360593
ACH-000097,-0.3965882795251997
ACH-000098,-0.19040234401371106
ACH-000099,-0.6386441580109254
ACH-000108,-0.3560315126230293
ACH-000113,-0.20218162454656605
ACH-000116,-0.4962145850523546
ACH-000118,-0.5655229286730556
ACH-000120,-0.4513357257640438
ACH-000123,-0.30279721917883834
ACH-000127,-0.17574409391411092
ACH-000128,-0.39486549765527656
ACH-000132,-0.248213878023268
ACH-000133,-0.7054178495522456
ACH-000137,-0.15269265154131725
ACH-000138,-0.3641734677330033
ACH-000142,-0.6542766461466357
ACH-000143,-0.4899407729998248
ACH-000146,-0.21775009477417476
ACH-000148,-0.4402832942059559
ACH-000150,-0.2269402377331668
ACH-000152,-0.470950925637616
ACH-000153,-0.2907428580385528
ACH-000159,-0.4360408844878054
ACH-000160,-0.3237249506894884
ACH-000163,-0.12630524625478592
ACH-000167,-0.03759270491575052
ACH-000168,-0.4030067121254524
ACH-000169,-0.2268312739352933
ACH-000178,-0.401720425229305
ACH-000183,-0.12534568576737914
ACH-000188,-0.5271335600692589
ACH-000189,-0.4656135982840468
ACH-000190,-0.4788419615025361
ACH-000198,-0.21598455983137715
ACH-000203,-0.8332635286725046
ACH-000204,-0.15471215367111546
ACH-000206,-0.45899350538541706
ACH-000207,-0.29661069725913464
ACH-000208,-0.3631163729115859
ACH-000210,-0.11746736893867543
ACH-000211,-0.3809229798685316
ACH-000215,-0.438012372033692
ACH-000221,-0.4147975478894234
ACH-000222,-0.2969580819873701
ACH-000223,-0.3017764055462088
ACH-000226,-0.2122167136955898
ACH-000227,-0.3425627102271948
ACH-000228,-0.28469099088466315
ACH-000231,-0.5056749476170898
ACH-000232,-0.2901653534623848
ACH-000233,-0.30029065640701075
ACH-000234,-0.5087902198390639
ACH-000235,-0.3374768601915325
ACH-000237,-0.4865187896220758
ACH-000238,-0.4700068961698976
ACH-000242,-0.25142410781946073
ACH-000243,-0.3268529509129747
ACH-000244,-0.21654261464952695
ACH-000246,-0.4469586230020454
ACH-000248,-0.3421917501791786
ACH-000250,-0.4302090675110327
ACH-000251,-0.6484122345328446
ACH-000252,-0.2922688919903806
ACH-000253,-0.4521578959037947
ACH-000255,-0.4711833856744703
ACH-000256,-0.3406949346553456
ACH-000257,-0.4434058317916548
ACH-000258,-0.3768945545467086
ACH-000259,-0.5657230326568997
ACH-000260,-0.5803970336879766
ACH-000261,-0.3684239057503073
ACH-000262,-0.5441421124520567
ACH-000263,-0.5631681535896165
ACH-000264,-0.3372865600417022
ACH-000265,-0.20170143493357606
ACH-000266,-0.4010144917547099
ACH-000272,-0.3592155654461831
ACH-000274,-0.3892678827288965
ACH-000277,-0.486256638319489
ACH-000278,-0.494822923776728
ACH-000279,-0.2786567761032728
ACH-000280,-0.31139581688376256
ACH-000281,-0.2891048383364919
ACH-000288,-0.4618084333071722
ACH-000291,-0.3941301213676291
ACH-000293,-0.2901711208984891
ACH-000294,-0.1968465759714727
ACH-000295,-0.3756488742392994
ACH-000296,-0.6817303529411678
ACH-000302,-0.2610050110723832
ACH-000304,-0.4887098246355315
ACH-000307,-0.17713564863882228
ACH-000308,-0.3439949357882973
ACH-000310,-0.5341002584460212
ACH-000311,-0.6013505073417582
ACH-000312,-0.35854179954811977
ACH-000315,-0.10790588125279156
ACH-000316,-0.30224807723038083
ACH-000317,-0.479311390069257
ACH-000318,-0.3992965731176784
ACH-000319,-0.3401563696962883
ACH-000320,-0.1484341916416035
ACH-000322,-0.2784400138245735
ACH-000323,-0.3641682033432129
ACH-000324,-0.4244282339858077
ACH-000329,-0.5251603949219439
ACH-000330,-0.14641659376101968
ACH-000331,-0.3665401739149862
ACH-000332,-0.3151138068057289
ACH-000334,-0.26018461520710856
ACH-000335,-0.4307651872356049
ACH-000336,-0.4600310473028717
ACH-000337,-0.6129211262429718
ACH-000338,-0.4494093957489049
ACH-000339,-0.4008430465274308
ACH-000341,-0.7870823470649805
ACH-000348,-0.31254145006861034
ACH-000350,-0.3775698344543794
ACH-000352,-0.3180023668429331
ACH-000356,-0.6822205436292089
ACH-000361,-0.5849691900806494
ACH-000362,-0.21339099813719373
ACH-000363,-0.3374574917806555
ACH-000364,-0.4491891147534373
ACH-000365,-0.3605636912317592
ACH-000366,-0.4807592472792294
ACH-000368,-0.31734876136369594
ACH-000374,-0.4824152013083785
ACH-000375,-0.4805814663442346
ACH-000376,-0.4045515987210328
ACH-000381,-0.14748904057640508
ACH-000383,-0.4540957976452556
ACH-000387,-0.3223597833642505
ACH-000389,-0.28264855734010097
ACH-000390,-0.3664269874305132
