,CHORDC1 (26973)
ACH-000004,-0.719899739526895
ACH-000005,-0.605463433118352
ACH-000007,-0.7791603398519824
ACH-000009,-0.6319499770168786
ACH-000011,-0.980537261420942
ACH-000012,-0.7199332605405221
ACH-000013,-0.9239863904155198
ACH-000014,-1.0212820549862422
ACH-000015,-1.0079425382458276
ACH-000017,-1.2785177250965591
ACH-000018,-0.9826230838010764
ACH-000019,-0.3421504080207122
ACH-000021,-0.673929216043741
ACH-000022,-1.0495247527356557
ACH-000025,-0.7636672093502814
ACH-000028,-0.7197877084762411
ACH-000030,-0.7979814523890028
ACH-000035,-1.0521700186823857
ACH-000036,-0.7573759246168077
ACH-000037,-0.6681224337242753
ACH-000039,-0.8086768316042077
ACH-000040,-0.8015369755814231
ACH-000041,-0.8509769407467993
ACH-000042,-0.9944116199531716
ACH-000045,-0.7943609771310979
ACH-000047,-0.9215177903076136
ACH-000052,-1.0252143442586297
ACH-000053,-0.8705000285738578
ACH-000054,-0.5467526381900535
ACH-000055,-0.8934710232241568
ACH-000060,-0.8278275575250233
ACH-000067,-0.9037971339452328
ACH-000070,-0.8682165848599287
ACH-000075,-0.8441303246008107
ACH-000078,-0.7230050129625079
ACH-000082,-0.5680857692551546
ACH-000085,-1.0903231592182483
ACH-000086,-0.6830244312581818
ACH-000087,-0.8409116482817568
ACH-000092,-0.8025381315451928
ACH-000095,-0.6912795497376795
ACH-000097,-0.8810174503944774
ACH-000098,-0.9241235641507476
ACH-000099,-0.7408948732765676
ACH-000108,-0.7687971933581681
ACH-000113,-0.9333850134840204
ACH-000116,-0.7312440490462496
ACH-000118,-1.117510440174705
ACH-000120,-0.8047382612190971
ACH-000123,-0.8913687432486973
ACH-000127,-0.7352402156787324
ACH-000128,-0.9968332911639556
ACH-000132,-0.7314540090971301
ACH-000133,-0.8258555390745537
ACH-000137,-0.6356301756969385
ACH-000138,-1.0806251310265889
ACH-000142,-0.83805862224767
ACH-000143,-0.9918280246773624
ACH-000146,-0.9594628547287654
ACH-000148,-0.7545344237076127
ACH-000150,-0.8094651409250809
ACH-000152,-0.4765074710287217
ACH-000153,-0.7950141476781873
ACH-000159,-0.4709590147172109
