,NPW (283869)
ACH-000004,0.006562864934924797
ACH-000005,-0.17440427247024068
ACH-000007,0.03866544945245794
ACH-000009,-0.0746929179962475
ACH-000011,-0.2917813321794404
ACH-000012,-0.12826310728255938
ACH-000013,-0.08851643003871952
ACH-000014,-0.052057767334102494
ACH-000015,-0.17812179211440088
ACH-000017,-0.02913409982681475
ACH-000018,-0.10737549327014996
ACH-000019,0.0219950728956394
ACH-000021,-0.1269464744825877
ACH-000022,-0.18615958898647492
ACH-000025,-0.051480147322767865
ACH-000028,-0.013356945886285918
ACH-000030,0.03428872399527607
ACH-000035,-0.0724188770593709
ACH-000036,-0.2084445728769332
ACH-000037,-0.004732619607955406
ACH-000039,-0.20578314156143526
ACH-000040,-0.14104739522465495
ACH-000041,0.10472850341813064
ACH-000042,-0.012433093808195182
ACH-000045,0.023468107320380825
ACH-000047,-0.18782794883139192
ACH-000052,-0.059442954965992036
ACH-000053,-0.0917620329811074
ACH-000054,-0.1719851636330347
ACH-000055,0.005745718054417146
ACH-000060,-0.043720413704725014
ACH-000067,-0.1718461206065339
ACH-000070,-0.0061797868419056394
ACH-000075,-0.01472042856498321
ACH-000078,-0.07125368970553918
ACH-000082,-0.19057850668974655
ACH-000085,-0.015093841665673844
ACH-000086,-0.029781561587948237
ACH-000087,-0.23213611031543255
ACH-000092,-0.10775009483388953
ACH-000095,-0.09180431680975867
ACH-000097,-0.1666404707388019
ACH-000098,-0.17939220770294284
ACH-000099,-0.06814722636348285
ACH-000108,0.07883139097054881
ACH-000113,0.019876517828485245
ACH-000116,-0.1983151180521089
ACH-000118,-0.04256209822586317
ACH-000120,-0.15763658643219422
ACH-000123,-0.01522500564943856
ACH-000127,-0.1835206434527744
ACH-000128,-0.20413439723600035
ACH-000132,-0.1885012523416401
ACH-000133,-0.2663847344295774
ACH-000137,-0.028846318268651007
ACH-000138,0.007205805870346396
ACH-000142,-0.10689460779085128
ACH-000143,-0.10398694593272016
ACH-000146,-0.0943629979181147
ACH-000148,-0.0243413900822819
ACH-000150,-0.1903259889507336
ACH-000152,-0.22968718521425835
ACH-000153,-0.0008938865773425443
ACH-000159,-0.071073251874998
ACH-000160,0.07609293338833333
ACH-000163,0.03961411078497334
ACH-000167,-0.06071391425527808
ACH-000168,-0.06557249738497216
ACH-000169,-0.22945602762124406
ACH-000178,-0.06750534417039245
ACH-000183,-0.04685247472295938
ACH-000188,-0.007303911961057293
ACH-000189,0.16058473570713475
ACH-000190,-0.05297825163582615
ACH-000198,0.10181889497528944
ACH-000203,0.32930056435772176
ACH-000204,-0.3506054192184641
ACH-000206,0.04878999252334865
ACH-000207,0.061208429688457223
ACH-000208,0.01913195949846544
ACH-000210,-0.04126771833801375
ACH-000211,-0.040156010500534065
ACH-000215,-0.033839685145378
ACH-000221,0.06050706520438976
ACH-000222,0.15803041856572586
ACH-000223,0.08588999687068034
ACH-000226,-0.2233640811653026
ACH-000227,-0.05883033519982446
ACH-000228,-0.1875020842132813
ACH-000231,-0.1490353440502344
ACH-000232,-0.1277123665238752
