,MPV17L2 (84769)
ACH-000004,-0.08842928188507354
ACH-000005,-0.04167956394729575
ACH-000007,0.018063140235451608
ACH-000009,-0.09795750437929517
ACH-000011,-0.0914683399986491
ACH-000012,-0.22489058672770174
ACH-000013,-0.2077691474324589
ACH-000014,-0.21659424068170624
ACH-000015,-0.35627582397291835
ACH-000017,-0.32277813705516906
ACH-000018,-0.07111489738627506
ACH-000019,-0.7220698668128748
ACH-000021,-0.2050984793205512
ACH-000022,-0.20303915756277585
ACH-000025,-0.17875170923666536
ACH-000028,-0.7669095708014001
ACH-000030,-0.1988716341974074
ACH-000035,-0.29338154893919
ACH-000036,-0.1333800145880645
ACH-000037,-0.1504598219219196
ACH-000039,-0.3467512797500712
ACH-000040,-0.2657611782744753
ACH-000041,-0.0891604108086692
ACH-000042,-0.1828763770509784
ACH-000045,-0.17861354190260992
ACH-000047,-0.5253638352531339
ACH-000052,-0.3002558453699501
ACH-000053,-0.20121278585719726
ACH-000054,-0.24762755858164
ACH-000055,0.027052616063794624
ACH-000060,-0.03898963838366825
ACH-000067,-0.11183179447794246
ACH-000070,-0.06531359755461126
ACH-000075,-0.3785080404681558
ACH-000078,-0.24626238768240505
ACH-000082,-0.15628121035835082
ACH-000085,-0.2262599977709111
ACH-000086,-0.3451724642879712
ACH-000087,-0.5431350885687761
ACH-000092,-0.08496093056674034
ACH-000095,-0.14952938349627945
ACH-000097,-0.11955932554063176
ACH-000098,-0.2681296870244927
ACH-000099,-0.3463385864974771
ACH-000108,-0.17982738746739474
ACH-000113,-0.3057438743583277
ACH-000116,-0.17892871536129334
ACH-000118,-0.2831926326124579
ACH-000120,0.007880491803505422
ACH-000123,-0.2424829991064158
ACH-000127,-0.21707923794114128
ACH-000128,-0.3191621358233541
ACH-000132,-0.1762170123727658
ACH-000133,-0.06627738651277018
ACH-000137,-0.2090338803723764
ACH-000138,-0.11132382391042113
ACH-000142,-0.11129854250400854
ACH-000143,-0.08488416874221091
ACH-000146,-0.21705317013286116
ACH-000148,-0.17521820942734007
ACH-000150,-0.35500987776301346
ACH-000152,-0.15632749676855626
ACH-000153,0.055259622555618185
ACH-000159,-0.2878506590106176
ACH-000160,-0.1730400666904055
