,APOA1BP (128240)
ACH-000004,-0.09762879170642963
ACH-000005,-0.02016958161312863
ACH-000007,-0.03566968138715537
ACH-000009,-0.3100180393896389
ACH-000011,-0.2648139464042639
ACH-000012,-0.2407387805999179
ACH-000013,-0.21664004821715047
ACH-000014,-0.06611758264771002
ACH-000015,-0.12170083610087908
ACH-000017,-0.0854389178052488
ACH-000018,-0.0458016538369299
ACH-000019,-0.3338067148554971
ACH-000021,-0.1399879448865896
ACH-000022,-0.17285012420705714
ACH-000025,-0.22611642775705404
ACH-000028,-0.27009988518438605
ACH-000030,-0.11934239557955673
ACH-000035,-0.20394509611671355
ACH-000036,-0.4823205395940993
ACH-000037,-0.18973306600654502
ACH-000039,-0.11805957053662855
ACH-000040,-0.19733064496958852
ACH-000041,-0.08991944986196664
ACH-000042,-0.11668828426611688
ACH-000045,-0.14665570257804214
ACH-000047,-0.1238176618827454
ACH-000052,-0.2046157816204472
ACH-000053,-0.1056524018730884
ACH-000054,-0.16866812221586938
ACH-000055,-0.2854442404984957
ACH-000060,-0.29632819922850195
ACH-000067,-0.1880906548961974
ACH-000070,-0.21738194336043526
ACH-000075,-0.20864146530227184
ACH-000078,-0.04146830614134908
ACH-000082,-0.20841579680023972
ACH-000085,-0.2463689503220057
ACH-000086,-0.425492966619856
ACH-000087,-0.059255114983140414
ACH-000092,-0.08854884566977914
ACH-000095,-0.08741510748867415
ACH-000097,-0.22481386141564885
ACH-000098,-0.2510619015882385
ACH-000099,-0.16131574261149104
ACH-000108,-0.1025055775908017
ACH-000113,-0.10173525893146332
ACH-000116,-0.07591690842713357
ACH-000118,-0.14831060497519816
ACH-000120,-0.2943849772497137
ACH-000123,-0.14104549430127036
ACH-000127,-0.16417926896999874
ACH-000128,-0.14600269166507526
ACH-000132,-0.1312450317735558
ACH-000133,-0.1967214600012999
ACH-000137,-0.15944394040141047
ACH-000138,-0.08527229693913994
ACH-000142,-0.111906869877058
ACH-000143,0.1989077581860696
ACH-000146,-0.2645889617214752
ACH-000148,-0.22103222018061952
ACH-000150,-0.08123459082969832
ACH-000152,-0.12453024146120452
ACH-000153,-0.27977921936993816
ACH-000159,-0.22323647008245254
ACH-000160,0.04111425947385227
ACH-000163,-0.29128144440379866
ACH-000167,-0.20957378471591345
ACH-000168,-0.1587522903005162
ACH-000169,-0.06457449888739772
ACH-000178,-0.15846641371766412
ACH-000183,-0.0759286363166968
ACH-000188,-0.20034381505601728
ACH-000189,-0.2378882934929457
ACH-000190,-0.08987142398963616
ACH-000198,-0.05806067316725653
ACH-000203,-0.4653898753854228
ACH-000204,-0.2304417435267226
ACH-000206,-0.0954940938837847
ACH-000207,-0.08313717383041189
ACH-000208,-0.39861816107635456
ACH-000210,-0.0946829898757364
ACH-000211,-0.15156212544780948
ACH-000215,-0.22934433437386764
ACH-000221,-0.33246483135738536
ACH-000222,-0.1548192572569648
ACH-000223,-0.3109280312413615
ACH-000226,-0.14813275571822734
ACH-000227,-0.19041254131037091
ACH-000228,-0.16884114291412072
ACH-000231,-0.13401470959411674
ACH-000232,-0.2258885263659093
ACH-000233,-0.159522301476981
ACH-000234,-0.13478323278527887
ACH-000235,-0.14883346467977784
ACH-000237,-0.1484235348494599
ACH-000238,-0.11383121908841927
ACH-000242,-0.33711463531351143
ACH-000243,-0.17742483322307182
ACH-000244,-0.2651778061270709
ACH-000246,-0.20529111378358014
ACH-000248,-0.13189922604775242
ACH-000250,-0.14019472405117578
ACH-000251,-0.03606753236717779
ACH-000252,-0.19368293512504567
ACH-000253,-0.19299130942245032
ACH-000255,-0.26834930316794103
ACH-000256,-0.2354939308478549
ACH-000257,-0.07862978893560123
ACH-000258,-0.0751219446452001
ACH-000259,-0.2528205501806284
ACH-000260,-0.11162486373825832
ACH-000261,-0.1755307199218322
ACH-000262,-0.11104828467582774
ACH-000263,-0.024466433450195585
ACH-000264,-0.2378717884131878
ACH-000265,-0.2109539855423345
ACH-000266,-0.15312703052362708
ACH-000272,-0.2276339042930437
ACH-000274,0.002724083592954377
ACH-000277,-0.13612287856081104
ACH-000278,-0.3564992607993067
ACH-000279,-0.007859384654354555
ACH-000280,-0.16484582023511138
ACH-000281,-0.23292301786765965
ACH-000288,-0.2377004290189215
ACH-000291,-0.1638580311464763
ACH-000293,-0.09316009022661817
ACH-000294,-0.09962670026048114
ACH-000295,-0.24824488243643714
ACH-000296,-0.2422099759581373
ACH-000302,-0.22466415237085133
ACH-000304,-0.2667758983493473
ACH-000307,-0.18247348237374547
ACH-000308,-0.2459918336779666
ACH-000310,-0.011742728328020379
ACH-000311,-0.26175278492561777
ACH-000312,-0.16959020859470522
ACH-000315,-0.03937738113762243
ACH-000316,-0.06795192560986177
ACH-000317,-0.014972364897907325
ACH-000318,-0.061770601396660525
ACH-000319,-0.17244438317462826
ACH-000320,-0.17058694663961227
ACH-000322,-0.2597975189737793
ACH-000323,-0.18861280555544366
ACH-000324,-0.17679682449693138
ACH-000329,-0.24267785581621326
ACH-000330,-0.043502570438384985
ACH-000331,-0.20255678248740608
ACH-000332,-0.17857854171888174
ACH-000334,-0.31166799814266544
ACH-000335,-0.1713072243780403
ACH-000336,-0.4693792605975395
ACH-000337,-0.08144437894959061
ACH-000338,-0.3233313519321189
ACH-000339,-0.07463505754675279
ACH-000341,-0.26265894713049603
ACH-000348,-0.09917040970147806
ACH-000350,0.00500317877946986
ACH-000352,-0.21276450420341064
ACH-000356,-0.12480009973034707
ACH-000361,-0.13989862157060054
ACH-000362,-0.05639851062448958
ACH-000363,-0.07054292015837751
ACH-000364,-0.16551221599618998
ACH-000365,-0.03804678636602043
ACH-000366,-0.22267105259381872
ACH-000368,-0.3613438439776512
ACH-000374,-0.20359820236341397
ACH-000375,-0.12821307154145806
ACH-000376,-0.26945989322943353
ACH-000381,-0.2514746269924048
ACH-000383,-0.1710610626997919
ACH-000387,-0.09813574863455578
ACH-000389,-0.138785410557606
ACH-000390,-0.25242254137001124
ACH-000393,-0.15978745124310467
ACH-000395,-0.0964808364356608
ACH-000396,-0.1450917455493935
ACH-000397,-0.19804116088704174
ACH-000401,-0.1910666056955519
ACH-000402,-0.3601885510937754
ACH-000403,-0.2919872169417915
ACH-000404,-0.08199564671827785
ACH-000406,-0.10360800122864182
ACH-000407,-0.16720869903978247
ACH-000408,-0.1581723965521754
ACH-000410,-0.19519163130656747
ACH-000411,-0.08053224198542237
ACH-000414,-0.04657078852698197
ACH-000415,-0.17364103472852072
ACH-000416,-0.21101090037216966
ACH-000420,-0.3457813328615104
ACH-000421,-0.1820470594886328
ACH-000424,-0.02320226279239644
ACH-000425,-0.2375393179694894
ACH-000426,-0.2904466433931385
ACH-000427,-0.15951697694822156
ACH-000433,-0.4172267730909247
ACH-000435,0.05630116759310374
ACH-000436,-0.3002369715228001
ACH-000444,-0.0694723834631226
ACH-000445,-0.13242168971885268
