,CS (1431)
ACH-000004,-0.07542543763104154
ACH-000005,0.027497785719279817
ACH-000007,-0.3849600016475289
ACH-000009,-0.3961267946821369
ACH-000011,-0.2607777951537037
ACH-000012,-0.3030800551287003
ACH-000013,-0.6388090560800302
ACH-000014,-0.10987891438686218
ACH-000015,-0.6124129256354598
ACH-000017,-0.32259062802407024
ACH-000018,-0.3635477010253908
ACH-000019,-0.5081312808808397
ACH-000021,-0.395238464316434
ACH-000022,-0.4068707771273215
ACH-000025,-0.3379193221372692
ACH-000028,-0.7609887714453861
ACH-000030,-0.3222937840486371
ACH-000035,-0.3229862685194101
ACH-000036,-0.1246676481069598
ACH-000037,-0.4267905272287479
ACH-000039,-0.2962767315873727
ACH-000040,-0.42828053386433423
ACH-000041,-0.26218828252215737
ACH-000042,-0.2868133968707897
ACH-000045,-0.4059188473979426
ACH-000047,-0.4307766639722788
ACH-000052,-0.4793767113474114
ACH-000053,-0.3269393226149023
ACH-000054,-0.32797540329685826
ACH-000055,-0.16080958802722445
ACH-000060,-0.32025041862752784
ACH-000067,-0.5938501773627027
ACH-000070,-0.3940023039987981
ACH-000075,-0.5183476651032073
ACH-000078,-0.328424730537855
ACH-000082,-0.415282317875065
ACH-000085,-0.3803427689278359
ACH-000086,-0.3866087238101574
ACH-000087,-0.6672404684331011
ACH-000092,-0.31128351756308864
ACH-000095,-0.4000885750895764
ACH-000097,-0.5911711021285702
ACH-000098,-0.4961830639788949
ACH-000099,-0.14608948913829714
ACH-000108,-0.4467408341003968
ACH-000113,-0.7385752308673464
ACH-000116,-0.4034440417308081
ACH-000118,-0.5872438794708972
ACH-000120,-0.3265833096997053
ACH-000123,-0.4821756171107858
ACH-000127,-0.5805772396757548
ACH-000128,-0.5928999285984669
ACH-000132,-0.12754505182014006
ACH-000133,-0.3865122136490226
ACH-000137,-0.17586426933714466
ACH-000138,-0.5304632522541007
ACH-000142,-0.4732501660835794
ACH-000143,-0.5284718330288557
ACH-000146,-0.4968084775673166
ACH-000148,-0.3787149488196169
ACH-000150,-0.5138588991347174
ACH-000152,-0.4387503216115467
ACH-000153,-0.4409968454823705
ACH-000159,-0.36549774306994337
ACH-000160,-0.4593547275553783
ACH-000163,-0.4984635922574158
ACH-000167,-0.5048712532129608
ACH-000168,-0.4587694804825086
ACH-000169,-0.3638918279235532
ACH-000178,-0.4109262919983704
ACH-000183,-0.36637519431567983
ACH-000188,-0.36713396722693575
ACH-000189,-0.6409666938716192
ACH-000190,-0.4441973941969243
ACH-000198,-0.6261944327453738
ACH-000203,-0.20253080434606893
ACH-000204,-0.4213658315766661
ACH-000206,-0.20643992060323071
ACH-000207,-0.13757245343132332
ACH-000208,-0.4273021960196154
ACH-000210,-0.2324097503855498
ACH-000211,-0.2579540038381093
ACH-000215,-0.4510353978247313
ACH-000221,-0.936420916316722
ACH-000222,-0.4141072736845276
ACH-000223,-0.3570103017916177
ACH-000226,-0.5286607278014414
ACH-000227,-0.4249609502665809
ACH-000228,-0.6046510393629564
ACH-000231,-0.2690156361285407
ACH-000232,-0.22122479413317084
ACH-000233,-0.4853464253809162
ACH-000234,-0.5898571589763039
ACH-000235,-0.3834058955681718
ACH-000237,-0.2314127391256199
ACH-000238,-0.12005662845254735
ACH-000242,-0.013223534386557772
ACH-000243,-0.43610078550239467
ACH-000244,-0.4948785839025397
ACH-000246,-0.352863022540002
ACH-000248,-0.6882066867580134
ACH-000250,-0.28530237035833045
ACH-000251,-0.35975559648913463
ACH-000252,-0.5471641897145739
ACH-000253,-0.43832337365096413
ACH-000255,-0.42217760823229145
ACH-000256,-0.4232091391757352
ACH-000257,-0.21843567194201866
ACH-000258,-0.37389015694692695
ACH-000259,-0.3069608053240825
ACH-000260,-0.382700924872828
ACH-000261,-0.11799003268021355
ACH-000262,-0.2569287035300229
ACH-000263,-0.7533969984835186
ACH-000264,-0.5424711293918013
ACH-000265,-0.31482678734038
ACH-000266,-0.3047768196253748
ACH-000272,-0.340731042634037
ACH-000274,-0.3617413715253245
ACH-000277,-0.43852136874460895
ACH-000278,-0.403644148922591
ACH-000279,-0.5139520651328796
ACH-000280,-0.2414852462630784
ACH-000281,-0.37031155636364943
ACH-000288,-0.5180291388821634
ACH-000291,-0.3514650654714643
ACH-000293,-0.3956491519590885
ACH-000294,-0.11773847101002195
ACH-000295,-0.567341153164531
ACH-000296,-0.2611932235354133
ACH-000302,-0.10841784404725552
ACH-000304,-0.4941705506643106
ACH-000307,-0.494617777680055
ACH-000308,-0.3421529894734925
ACH-000310,-0.4712583598905606
ACH-000311,-0.5275037692820875
ACH-000312,-0.612275289092314
ACH-000315,-0.4194313951510069
ACH-000316,-0.28892177696066323
ACH-000317,-0.5080458291363308
ACH-000318,-0.47238966413653
ACH-000319,-0.3724017726404153
ACH-000320,-0.2902070313522387
ACH-000322,-0.5029115180649224
ACH-000323,-0.2513491875686262
ACH-000324,-0.2975554142353779
ACH-000329,-0.4706739906172932
ACH-000330,-0.4083638197420338
ACH-000331,-0.4361241316507321
ACH-000332,-0.4619972656016006
ACH-000334,-0.6540869594956774
ACH-000335,-0.1930139617852311
ACH-000336,-0.5099453689039299
ACH-000337,-0.4472151610687748
ACH-000338,0.20892132002098507
ACH-000339,-0.34522087040455585
ACH-000341,-0.3865976995137475
ACH-000348,-0.36976473174290797
ACH-000350,-0.4190035224958268
ACH-000352,-0.7136061351217942
ACH-000356,-0.5263824646222877
ACH-000361,-0.6980646146116676
ACH-000362,-0.41562700270991576
ACH-000363,-0.4581049381701871
ACH-000364,-0.4102765972270146
ACH-000365,-0.3582686342984104
ACH-000366,-0.4891477156942231
ACH-000368,-0.4287951060401733
ACH-000374,-0.6342502545151769
ACH-000375,-0.5740257718869584
ACH-000376,-0.2678808128618608
ACH-000381,-0.1776966304433639
ACH-000383,-0.4288844139987846
ACH-000387,-0.3560320762086499
ACH-000389,-0.04034519609163345
ACH-000390,-0.4450724974749248
ACH-000393,-0.19369409563184714
ACH-000395,-0.5286072598753931
ACH-000396,-0.4564535809951201
ACH-000397,-0.3176887060109466
ACH-000401,-0.3043080207873638
ACH-000402,-0.01836904713407257
ACH-000403,-0.5212444078922224
ACH-000404,-0.3698786918868327
ACH-000406,-0.4166791105046928
ACH-000407,-0.40845413526731256
ACH-000408,-0.6397868395685977
ACH-000410,-0.33192597010028563
ACH-000411,-0.4580589000221003
ACH-000414,-0.3769482115230535
ACH-000415,-0.4115290324019839
ACH-000416,-0.4431514630056629
ACH-000420,-0.40683415917752064
ACH-000421,-0.5079018609854955
ACH-000424,-0.4266037060902739
ACH-000425,-0.3349717271545676
ACH-000426,-0.4698875884472449
ACH-000427,-0.6712701982639764
ACH-000433,-0.44600103440503097
ACH-000435,-0.5492220269621839
ACH-000436,-0.5303238761764744
ACH-000444,-0.2213956415087012
ACH-000445,-0.33312266705156257
ACH-000448,-0.5564328442165545
ACH-000450,-0.865706129257371
ACH-000452,-0.4966729193422053
ACH-000454,-0.5722536578150839
ACH-000458,-0.4474348282563357
ACH-000459,-0.6520566702968078
ACH-000460,-0.3626061682620643
ACH-000461,-0.6228704500256674
ACH-000463,-0.4197430909027932
ACH-000464,-0.3023766193827789
ACH-000466,-0.3004220440875562
ACH-000467,-0.4779091145313293
ACH-000468,-0.5464819263468744
ACH-000469,-0.30055307407595044
ACH-000470,-0.4442371434262272
ACH-000471,-0.33630363855089024
ACH-000472,-0.4280775319745709
ACH-000473,-0.4673580541558545
ACH-000475,-0.41146499198192665
ACH-000476,-0.4468564325654657
ACH-000477,-0.5646719766674989
ACH-000479,-0.33741417147411623
ACH-000480,-0.3665375278373089
ACH-000481,-0.546441503263568
ACH-000483,-0.5106574085580003
ACH-000484,-0.425215367374781
ACH-000485,-0.4054205561633801
ACH-000486,-0.4303039258249079
ACH-000487,-0.261934656903672
ACH-000488,-0.4005918960357624
ACH-000490,-0.3340877281858893
ACH-000491,-0.37893100317937606
ACH-000495,-0.5154807525545455
ACH-000496,-0.20685400797384654
ACH-000499,-0.3304879292072004
ACH-000500,-1.09651706895029
ACH-000502,-0.4337326303828887
ACH-000503,-0.2842540429739154
ACH-000505,-0.3578035481348687
ACH-000507,-0.4524601530553981
ACH-000510,-0.4417866287606148
ACH-000511,-0.2264874940527924
ACH-000512,-0.4195472121527407
ACH-000516,-0.4746181535542181
ACH-000517,-0.3748038783474267
ACH-000518,-0.3749030913660704
ACH-000520,-0.6001550070599074
ACH-000521,-0.35851573049374896
ACH-000522,-0.30516130419835946
ACH-000524,-0.4491562051728761
ACH-000527,-0.4172145409695923
ACH-000528,-0.4845519173755302
ACH-000537,-0.5845644407034906
ACH-000541,-0.7799231386009373
ACH-000542,-0.2889967779371284
ACH-000544,-0.3410555213087646
ACH-000545,-0.5126121768345898
ACH-000547,-0.35396109781744456
ACH-000548,-0.4053731262115129
ACH-000549,-0.27640109389349243
ACH-000550,-0.22289141211852007
ACH-000552,-0.4907779614895333
ACH-000556,-0.5328054703303879
ACH-000557,-0.4306224657389214
ACH-000569,-0.5651362667300751
ACH-000570,-0.2846473171855298
ACH-000571,-0.17777249431492342
ACH-000573,-0.3261373975816897
ACH-000576,-0.4539792015619519
ACH-000579,-0.5255922793853326
ACH-000580,-0.37921308668240616
ACH-000584,-0.4173244926160604
ACH-000585,-0.4388001660571007
ACH-000588,-0.5424861294761747
ACH-000589,-0.4087927414717243
ACH-000591,-0.19850357982363556
ACH-000593,-0.3538742145303295
ACH-000600,-0.37239744381856493
ACH-000601,-0.462014933229205
ACH-000605,-0.5086635972692102
ACH-000606,-0.4914632885448774
ACH-000608,-0.41294986244303744
ACH-000614,-0.542474952854887
ACH-000616,-0.4948244702071883
ACH-000618,-0.6484400580758811
ACH-000619,-0.27602792973560536
ACH-000620,-0.38898530454316893
ACH-000621,-0.3295315162894975
ACH-000622,-0.3293729099281445
ACH-000623,-0.3430735106912263
ACH-000624,-0.4443417730462629
ACH-000627,-0.17566320279533054
ACH-000630,-0.4221023907311571
ACH-000631,-0.4465875451248506
ACH-000632,-0.5547444715366058
ACH-000633,-0.7514827945592191
ACH-000637,-0.5958354882459124
ACH-000638,-0.24234290226819524
ACH-000646,-0.21801964447442365
ACH-000647,-0.3366871075046168
ACH-000648,-0.22122835637927374
ACH-000649,-0.3818988676160984
ACH-000651,-0.5013865481868852
ACH-000652,-0.3118834299409827
ACH-000653,-0.3398547749120611
ACH-000657,-0.2507374433263741
ACH-000658,-0.4360887625077554
ACH-000661,-0.5577930099476803
ACH-000662,-0.4954047734642383
ACH-000663,-0.4711726533887068
ACH-000665,-0.6548548412180155
ACH-000671,-0.40822111721784793
ACH-000672,-0.39882679336914345
ACH-000673,-0.4320706302169959
ACH-000676,-0.638627287596965
ACH-000677,-0.7153172004274966
ACH-000681,-0.301306741162758
ACH-000683,-0.4380496768428659
ACH-000684,-0.4316069289074473
ACH-000688,-0.426169837118212
ACH-000693,-0.5674783171692824
ACH-000694,-0.4538066769591209
ACH-000695,-0.4710424931403937
ACH-000696,-0.3813742061599402
ACH-000697,-0.492652891361275
ACH-000699,-0.3752156601793582
ACH-000701,-0.4481982951084279
ACH-000706,-0.5037702404388341
ACH-000711,-0.36699408846380827
ACH-000713,-0.35657728340993056
ACH-000714,-0.4694058797201385
ACH-000718,-0.2378018229412465
ACH-000720,-0.4020140141887112
ACH-000721,-0.3137885079369501
ACH-000724,-0.5243251132828993
ACH-000725,-0.474478123683948
ACH-000732,-0.3719160729273853
ACH-000734,-0.488804503852159
ACH-000735,-0.312423009989354
ACH-000736,-0.32241011279942405
ACH-000738,-0.4247208548086071
ACH-000746,-0.7475434413351387
ACH-000747,-0.7708294815911888
ACH-000748,-0.254217300712401
ACH-000753,-0.6357921308451379
ACH-000756,-0.4890667612574226
ACH-000757,-0.39850185170320185
ACH-000758,-0.5141779040310164
ACH-000760,-0.2423997885621836
ACH-000762,-0.3495041976957809
ACH-000763,-0.4005620905562078
ACH-000764,-0.3579346926958793
ACH-000765,-0.4202752654672224
ACH-000766,-0.3401004578402612
ACH-000767,-0.5164314216921708
ACH-000768,-0.4576998902066435
ACH-000769,-0.4374462508981381
ACH-000770,-0.47167683454793
ACH-000771,-0.3769615738859785
ACH-000773,-0.7903636318309711
ACH-000776,-0.5426825679613059
ACH-000777,-0.2775062127132688
ACH-000778,-0.2434516839660788
ACH-000781,-0.13070150039750675
ACH-000782,-0.19096815913728
ACH-000783,-0.4647442448442593
ACH-000784,-0.3994963972897995
ACH-000785,-0.4002600965495233
ACH-000787,-0.3355854389674889
ACH-000788,-0.3466551777665337
ACH-000791,-0.4224739076379285
ACH-000792,-0.3656262906239545
ACH-000794,-0.20026364613551925
ACH-000796,0.032390763973056694
ACH-000798,-0.5802284775269589
ACH-000799,-0.7507697607497783
ACH-000800,-0.4606289360486439
ACH-000802,-0.5467687463754608
ACH-000804,-0.23990803882433984
ACH-000805,-0.7064593035709561
ACH-000809,-0.41357345734761947
ACH-000810,-0.4455098473918403
ACH-000811,-0.33979663419688033
ACH-000817,-0.5764383492131472
ACH-000819,-0.3977653993711805
ACH-000820,-0.14580079134121848
ACH-000821,-0.3838780999133825
ACH-000822,-0.5396529449417448
ACH-000823,-0.4875534496383827
ACH-000824,-0.30468249439455
ACH-000827,-0.3188550644150032
ACH-000829,-0.4346473189676801
ACH-000831,-0.3422415757271726
ACH-000832,-0.4457025674461604
ACH-000833,-0.4638598901693533
ACH-000834,-0.32116699418149297
ACH-000835,-0.33470963811702664
ACH-000836,-0.3505457902148781
ACH-000837,-0.26650288439160263
ACH-000838,-0.26096456599276896
ACH-000839,-0.2957084706479932
ACH-000840,-0.4937095791082951
ACH-000841,-0.15761017082638504
