,UCKL1 (54963)
ACH-000004,-0.07129880359741915
ACH-000005,0.1290761050675401
ACH-000007,-0.01393530394549017
ACH-000009,-0.08384570541355943
ACH-000011,-0.027147268641999747
ACH-000012,0.05760241956670761
ACH-000013,-0.00015761743114000258
ACH-000014,-0.11627203996822705
ACH-000015,0.0028682390356427824
ACH-000017,-0.1609710614466831
ACH-000018,-0.06464842297302972
ACH-000019,-0.3224218324821365
ACH-000021,0.011761975184110618
ACH-000022,-0.1352399768187358
ACH-000025,0.038536652907639884
ACH-000028,-0.07247793429006369
ACH-000030,-0.025222451366212328
ACH-000035,-0.1037059224073808
ACH-000036,-0.0988050978757095
ACH-000037,0.04020906072069127
ACH-000039,0.025892310141306742
ACH-000040,-0.08210382304621798
ACH-000041,-0.1206436894332658
ACH-000042,-0.2406678445742641
ACH-000045,-0.036975559543118236
ACH-000047,-0.13333932624200154
ACH-000052,0.07612705044045041
ACH-000053,0.023948246035508658
ACH-000054,-0.018477781354182925
ACH-000055,-0.2531454336770115
ACH-000060,-0.099469128325329
ACH-000067,-0.008933834327911073
ACH-000070,-0.014366479582340254
ACH-000075,-0.0037021446384920102
ACH-000078,-0.29070835183796123
ACH-000082,-0.003027285497258313
ACH-000085,-0.10993917188982064
ACH-000086,-0.039043254439855235
ACH-000087,-0.11638517312033922
ACH-000092,0.04001942578616802
ACH-000095,-0.14473695202521009
ACH-000097,-0.03920676149280356
ACH-000098,-0.05803511211439441
ACH-000099,-0.06037840534010794
ACH-000108,-0.10832254401025276
ACH-000113,-0.18634429780765774
ACH-000116,-0.14286701103169924
ACH-000118,-0.0629604049697431
ACH-000120,-0.008611721833776757
ACH-000123,-0.07474334107546582
ACH-000127,0.0410552220145052
ACH-000128,-0.06918696583755897
ACH-000132,-0.020876560407088216
ACH-000133,0.03174244720682747
ACH-000137,0.015855115528330247
ACH-000138,-0.028099079574253463
ACH-000142,0.04252518514778346
ACH-000143,-0.13214040299605534
ACH-000146,-0.02673951183794035
ACH-000148,-0.052150851762050594
ACH-000150,-0.08192578532824703
ACH-000152,-0.12870125192658669
ACH-000153,0.10957260353808512
ACH-000159,-0.03491104950878269
ACH-000160,0.08027733119819458
ACH-000163,0.04063087059266497
ACH-000167,0.08026259839607541
ACH-000168,-0.02125158239588325
ACH-000169,-0.18379169454354927
ACH-000178,-0.07347305239845439
ACH-000183,-0.13643251119604158
ACH-000188,0.07338490879429717
ACH-000189,-0.13140838636901064
ACH-000190,0.0819391340760754
ACH-000198,0.02404051284246551
ACH-000203,0.5577071185986805
ACH-000204,-0.07287155958775945
ACH-000206,-0.015366725783972218
ACH-000207,0.06346856583800893
ACH-000208,0.11405948863770884
ACH-000210,0.11225946369060427
ACH-000211,-0.038482725858040016
ACH-000215,-0.025688773545957163
