,H1FNT (341567)
ACH-000004,-0.06985149089654524
ACH-000005,0.0161351616983759
ACH-000007,-0.2425630727916864
ACH-000009,-0.008364256974093029
ACH-000011,-0.27652772111159185
ACH-000012,-0.07136573202827977
ACH-000013,-0.2362547147863518
ACH-000014,-0.21141737623382206
ACH-000015,-0.2420239457291465
ACH-000017,-0.13209198117928744
ACH-000018,-0.17694207858462574
ACH-000019,-0.20195509843447704
ACH-000021,-0.08996794055981704
ACH-000022,-0.11503919315511127
ACH-000025,-0.2741618668084864
ACH-000028,-0.14940592059169006
ACH-000030,-0.11028912126977193
ACH-000035,-0.20297330392889973
ACH-000036,-0.07588493798355676
ACH-000037,-0.2947191096021419
ACH-000039,-0.3563024989115787
ACH-000040,-0.24119001692933206
ACH-000041,-0.2423002700311277
ACH-000042,-0.09716539937994864
ACH-000045,-0.1923172722781609
ACH-000047,-0.06621856024405103
ACH-000052,0.005538877410762113
ACH-000053,-0.054894706297387616
ACH-000054,-0.19799477639886084
ACH-000055,-0.040853240393360565
ACH-000060,0.013896732379238243
ACH-000067,-0.16811194129429485
ACH-000070,-0.2661302524702239
ACH-000075,-0.18473395604012624
ACH-000078,-0.039865959585202004
ACH-000082,-0.08772809084090273
ACH-000085,-0.21756621101181986
ACH-000086,-0.1892543534765698
ACH-000087,-0.15931693353934556
ACH-000092,-0.09425290142627846
ACH-000095,-0.1004770030494689
ACH-000097,-0.1880252033044748
ACH-000098,-0.07348573756197
ACH-000099,-0.10548887240922472
ACH-000108,-0.13646619898427645
ACH-000113,-0.20011024341587
ACH-000116,-0.15781037769896686
ACH-000118,-0.18908751511871155
ACH-000120,-0.2552491244210617
ACH-000123,-0.04621953277194346
ACH-000127,-0.2483030614369101
ACH-000128,-0.1813907075941072
ACH-000132,-0.1067526153633352
ACH-000133,-0.3009628358832236
ACH-000137,-0.14493184924390096
ACH-000138,-0.04370375815736357
ACH-000142,-0.11275730270286075
ACH-000143,0.023101587593757703
ACH-000146,-0.16179528980612934
ACH-000148,-0.1021649908826867
ACH-000150,-0.196133132314458
ACH-000152,-0.3563455081570156
ACH-000153,-0.3119022765801045
ACH-000159,-0.10009155431346617
ACH-000160,-0.10408594462145443
ACH-000163,-0.15428043690135793
ACH-000167,-0.15524495895264093
ACH-000168,-0.19425175218749965
ACH-000169,-0.0191035234101418
ACH-000178,-0.25514211696478506
ACH-000183,-0.2370710167909414
ACH-000188,-0.1868657565645136
ACH-000189,-0.01923145666734313
ACH-000190,-0.08183471292626207
ACH-000198,-0.22402124936337256
ACH-000203,-0.1849361526623536
ACH-000204,-0.2027367567408036
ACH-000206,0.008486851033333924
ACH-000207,-0.09875370388018156
ACH-000208,-0.2357270723344713
ACH-000210,-0.5565189097000022
ACH-000211,-0.12636329230034704
ACH-000215,-0.15907406223528187
ACH-000221,-0.0679799904839571
ACH-000222,-0.025768963747117502
ACH-000223,-0.12870618529259265
ACH-000226,-0.3610487740601393
ACH-000227,-0.2039962222903347
ACH-000228,-0.31677831667133444
ACH-000231,-0.2015498165544264
ACH-000232,-0.1510754330266028
ACH-000233,-0.14905286124448905
ACH-000234,-0.11330427532610512
ACH-000235,-0.17783182234043718
ACH-000237,-0.1084356057179576
ACH-000238,-0.11673380261834344
ACH-000242,-0.04739737951951824
ACH-000243,-0.10835647024903666
ACH-000244,-0.10463776300009188
ACH-000246,-0.1250598533485061
ACH-000248,-0.35993885628465805
ACH-000250,0.010503068653224298
ACH-000251,-0.26103050104667863
ACH-000252,-0.30528256070358223
ACH-000253,-0.05042658981112008
ACH-000255,-0.08983530366063745
ACH-000256,0.015067517040830794
ACH-000257,-0.12345924712262962
ACH-000258,-0.03398147045735225
ACH-000259,-0.17306906921273807
ACH-000260,-0.08418794708028955
ACH-000261,-0.1942210928429712
ACH-000262,0.01277667319544074
ACH-000263,-0.21408113865622544
ACH-000264,-0.14480133650453972
ACH-000265,-0.13211122202792047
ACH-000266,-0.1668208253841637
ACH-000272,0.007044371871332686
ACH-000274,-0.08915072877598783
ACH-000277,-0.20161504814212605
ACH-000278,-0.2754826762678514
ACH-000279,-0.3022102163799476
ACH-000280,-0.16106083465403292
ACH-000281,-0.3331392583345342
ACH-000288,-0.11982215500878085
ACH-000291,-0.2682249164010383
ACH-000293,-0.2525725225304443
ACH-000294,-0.12776775586778946
ACH-000295,-0.3102370612492931
ACH-000296,-0.3928433861264163
ACH-000302,-0.2172891611618681
ACH-000304,-0.3689515805404159
ACH-000307,-0.08625937669025645
ACH-000308,-0.1776142086876645
ACH-000310,-0.17582985740969387
ACH-000311,-0.045374820578276735
ACH-000312,-0.2660771710350586
ACH-000315,-0.10629741506470608
ACH-000316,-0.04649661647339975
ACH-000317,-0.07456869973384389
ACH-000318,-0.14994828430360152
ACH-000319,-0.15525003620571307
ACH-000320,-0.08079754861524588
ACH-000322,-0.1052442280213402
ACH-000323,-0.14312947279293012
ACH-000324,-0.14495265435112162
ACH-000329,-0.09989912839259177
ACH-000330,-0.2571212601102064
ACH-000331,-0.13155609416044034
ACH-000332,-0.10004719822889464
ACH-000334,-0.06109122158978327
ACH-000335,-0.10631013479737124
ACH-000336,-0.1892465220563892
ACH-000337,-0.29928350073021776
ACH-000338,0.4799105161998274
ACH-000339,-0.13963679400735987
ACH-000341,-0.26711401223541315
ACH-000348,-0.2558628215504916
ACH-000350,-0.2680466670504786
ACH-000352,-0.12021681800624832
ACH-000356,-0.12701229326536942
ACH-000361,-0.05149451700318524
ACH-000362,-0.19767813276507476
ACH-000363,-0.05381699505993828
ACH-000364,-0.2189053134036489
ACH-000365,-0.20540068481608093
ACH-000366,-0.13899537068136467
ACH-000368,-0.07616667099797363
ACH-000374,-0.22405043743610104
ACH-000375,-0.10143093442008233
ACH-000376,-0.06264486920410686
ACH-000381,-0.17634741387567626
ACH-000383,-0.038303437701972164
ACH-000387,-0.2416625047383469
ACH-000389,-0.163995822715862
ACH-000390,-0.1886883875548481
ACH-000393,-0.125098436544169
ACH-000395,-0.016251670398397755
ACH-000396,-0.13759645766439865
ACH-000397,-0.044232391432761566
ACH-000401,-0.16897136104556068
ACH-000402,0.052945319237274184
ACH-000403,-0.0471598687206614
ACH-000404,0.15476799542962488
ACH-000406,-0.1825287279959973
ACH-000407,-0.2774197133534679
ACH-000408,-0.2114913727885395
ACH-000410,-0.14979411422310587
ACH-000411,-0.07957893749463943
ACH-000414,-0.05660706512392252
ACH-000415,-0.16912953971268968
ACH-000416,-0.102547873376719
ACH-000420,-0.08702164244076079
ACH-000421,-0.20559507351110964
ACH-000424,-0.2704712353223899
ACH-000425,-0.1549728877000453
ACH-000426,0.0803155260795335
ACH-000427,-0.14436829152084762
ACH-000433,-0.0759005269515123
ACH-000435,-0.02277217220811216
ACH-000436,-0.21155613697998252
ACH-000444,-0.2408106619093765
ACH-000445,-0.2072816011529638
ACH-000448,-0.23696856201277486
ACH-000450,-0.2803872575457169
ACH-000452,-0.21669724430898016
ACH-000454,-0.4208004704219189
ACH-000458,-0.16787099308817394
ACH-000459,0.0673203503061882
ACH-000460,-0.2700214304664273
ACH-000461,-0.11179370886117257
ACH-000463,-0.07212677991015387
ACH-000464,-0.0618221831524108
ACH-000466,-0.04675015243158168
ACH-000467,-0.01332189094885094
ACH-000468,-0.2715529908358922
ACH-000469,-0.08126281724271486
ACH-000470,-0.06639228174770323
ACH-000471,-0.18162990367089366
ACH-000472,-0.1616197029443927
ACH-000473,-0.16034887434202874
ACH-000475,-0.14315202701038146
ACH-000476,-0.1273818678153543
ACH-000477,-0.20856621156736715
ACH-000479,-0.14574711816734426
ACH-000480,-0.26220694994767824
ACH-000481,-0.1838679332111228
ACH-000483,-0.28992369983462235
ACH-000484,-0.13277578280611071
ACH-000485,-0.2774969580890456
ACH-000486,-0.26011495050199235
ACH-000487,-0.11008756297156648
ACH-000488,-0.1166566927238584
ACH-000490,-0.06338056843047883
ACH-000491,0.012560271108346548
