,TESK1 (7016)
ACH-000004,-0.3133157129464495
ACH-000005,-0.927202110902144
ACH-000007,-0.3224696978510139
ACH-000009,-0.4148958877439939
ACH-000011,-0.3794227576822025
ACH-000012,-0.02740712952550662
ACH-000013,-0.14534286909598376
ACH-000014,-0.2290581769777196
ACH-000015,-0.33257127570256434
ACH-000017,-0.24209309118290254
ACH-000018,-0.4664713527493457
ACH-000019,-0.3069798637872456
ACH-000021,-0.2947134647468041
ACH-000022,-0.273694072169954
ACH-000025,-0.17366715037442648
ACH-000028,-0.1763566498103859
ACH-000030,-0.3234249373753176
ACH-000035,-0.2330058256145353
ACH-000036,-0.28655201113215784
ACH-000037,-0.3654996866502319
ACH-000039,-0.37549198686555385
ACH-000040,-0.19840224310599747
ACH-000041,-0.5116950074849621
ACH-000042,-0.2341580320311596
ACH-000045,-0.1882129835570034
ACH-000047,-0.20359871704016866
ACH-000052,-0.4008036550025368
ACH-000053,-0.3049454279379027
ACH-000054,-0.346210963409032
ACH-000055,-0.0627034569015807
ACH-000060,-0.16006021747102664
ACH-000067,-0.15139961581841632
ACH-000070,-0.2310177100297749
ACH-000075,-0.16353673631805382
ACH-000078,-0.2568722152082151
ACH-000082,-0.4111875511999093
ACH-000085,-0.3807263724545881
ACH-000086,-0.2252011718842571
ACH-000087,-0.2877661563671557
ACH-000092,-0.38638516050182736
ACH-000095,-0.2833721832822534
ACH-000097,-0.41717159519415903
ACH-000098,-0.4846342121304897
ACH-000099,-0.2519213909541151
ACH-000108,-0.2588689183306326
ACH-000113,-0.29974513258613555
ACH-000116,-0.2111900857163203
ACH-000118,-0.2604060366656418
ACH-000120,-0.1250424430781303
ACH-000123,-0.3175175351310223
ACH-000127,-0.3578419840727477
ACH-000128,-0.1014008307829278
ACH-000132,-0.24850192788451786
ACH-000133,-0.31517397454192003
ACH-000137,-0.3141610690034705
ACH-000138,-0.2356359307521863
ACH-000142,-0.20982221105171628
ACH-000143,-0.26007120656306554
ACH-000146,-0.26483163278418986
ACH-000148,-0.30429382609851563
ACH-000150,-0.20605954695259696
ACH-000152,-0.2413901470543659
ACH-000153,-0.14726422929548674
ACH-000159,-0.35050212472454884
ACH-000160,-0.3707855243282753
ACH-000163,-0.2295640130689403
ACH-000167,-0.05881897491388467
ACH-000168,-0.2729523814555911
ACH-000169,-0.32548072487855856
ACH-000178,-0.2472350432451233
ACH-000183,-0.2792292248103264
ACH-000188,-0.2732712740737304
ACH-000189,-0.3730428006809214
ACH-000190,-0.36392701504531977
ACH-000198,-0.21143096896611185
ACH-000203,-0.3938855364738287
ACH-000204,-0.1544889566688103
ACH-000206,-0.3051496789454585
ACH-000207,-0.10412988156759627
ACH-000208,-0.19395156790842646
ACH-000210,0.0639640964132441
ACH-000211,-0.2536703273818285
ACH-000215,-0.3359057774388969
ACH-000221,-0.3113441322308495
ACH-000222,-0.5010513100499872
ACH-000223,-0.14152224031351401
ACH-000226,-0.37435781834548
ACH-000227,-0.3251953252520415
ACH-000228,-0.2542634553973919
ACH-000231,-0.28105271364121603
ACH-000232,-0.19799183514303006
ACH-000233,-0.26232315356705305
ACH-000234,-0.29461789067410793
ACH-000235,-0.2783253615792552
ACH-000237,-0.26185530841002186
ACH-000238,-0.2635978102160336
ACH-000242,-0.4511336086455684
ACH-000243,-0.2695675908749659
ACH-000244,-0.2421364675576259
ACH-000246,-0.23168002143527375
ACH-000248,-0.3565234195657576
ACH-000250,-0.24062250133509275
ACH-000251,-0.056847524368626126
ACH-000252,-0.4198797473035934
ACH-000253,-0.2314152169473644
ACH-000255,-0.3639597336825692
ACH-000256,-0.2083145832771611
ACH-000257,-0.2137861867419411
ACH-000258,-0.275389092741998
ACH-000259,-0.15873174677755422
ACH-000260,-0.3739864647367081
ACH-000261,-0.28708384326452363
ACH-000262,-0.4912662804071716
ACH-000263,-0.4728176109908979
ACH-000264,-0.3268794770589585
ACH-000265,-0.39138532279554855
ACH-000266,-0.26248039000904266
ACH-000272,-0.31466735330106194
ACH-000274,-0.3894585467726199
ACH-000277,-0.2696213275537704
ACH-000278,-0.44339446501726015
ACH-000279,-0.19454297599785064
ACH-000280,-0.22135197734766932
ACH-000281,-0.13146366699485765
ACH-000288,-0.2507706654192633
ACH-000291,-0.24806708919936746
ACH-000293,-0.2192761383070773
ACH-000294,-0.3078451120156605
ACH-000295,-0.04113169282000702
ACH-000296,-0.2721443192631553
ACH-000302,-0.2218396484097255
ACH-000304,-0.3174515211056701
ACH-000307,-0.2294714690721289
ACH-000308,-0.38938973538148997
ACH-000310,-0.20379624322738546
ACH-000311,-0.2815283505212601
ACH-000312,-0.14234026027998978
ACH-000315,-0.3853978508333371
ACH-000316,-0.35302197002571434
ACH-000317,-0.4657110542719677
ACH-000318,-0.36306101912400174
ACH-000319,-0.1934102145654858
ACH-000320,-0.2399991838408279
ACH-000322,-0.36019337378396976
ACH-000323,-0.3314574928267076
ACH-000324,-0.20183496806640105
ACH-000329,-0.14498339584787287
ACH-000330,-0.3895397606367483
ACH-000331,-0.3230664631441532
ACH-000332,-0.2691251513048519
ACH-000334,-0.119591331716529
ACH-000335,-0.21368957036297154
ACH-000336,-0.2180586729196631
ACH-000337,-0.5304935312646373
ACH-000338,-0.6654751975164828
ACH-000339,-0.3573641867328134
ACH-000341,-0.14016071212420264
ACH-000348,-0.3406474348520459
