,SMR3B (10879)
ACH-000004,-0.3272052195331682
ACH-000005,-0.07755613386794485
ACH-000007,-0.4091888477669314
ACH-000009,-0.1198775527292948
ACH-000011,-0.21213914824502955
ACH-000012,-0.17700074772314525
ACH-000013,-0.053086879749746935
ACH-000014,-0.06692298875663004
ACH-000015,-0.1377106085968573
ACH-000017,-0.1672452338963183
ACH-000018,-0.14859174678961531
ACH-000019,-0.230164702356034
ACH-000021,-0.20234911378184697
ACH-000022,-0.10953559421919183
ACH-000025,-0.264787395312688
ACH-000028,-0.2776968258137104
ACH-000030,-0.1542933541328878
ACH-000035,-0.1176985415422372
ACH-000036,-0.18099558973441893
ACH-000037,-0.25467532104707424
ACH-000039,-0.3806377980650939
ACH-000040,-0.15488476322553027
ACH-000041,-0.1846947053518993
ACH-000042,-0.2840317944741382
ACH-000045,-0.00595734173226893
ACH-000047,-0.2838755296748461
ACH-000052,-0.14804669071182547
ACH-000053,-0.12940444542671126
ACH-000054,-0.291114454267804
ACH-000055,-0.1827299489761841
ACH-000060,-0.17101064028644106
ACH-000067,-0.29738930573684513
ACH-000070,-0.18469674932409194
ACH-000075,-0.207332226687189
ACH-000078,-0.2729484182802039
ACH-000082,-0.22934031603648125
ACH-000085,-0.11899896555033965
ACH-000086,-0.1056620834710121
ACH-000087,-0.09111946619092996
ACH-000092,-0.1888648523551033
ACH-000095,-0.2933064514595828
ACH-000097,-0.3064188042741515
ACH-000098,-0.22079400119382867
ACH-000099,-0.1777567045716724
ACH-000108,-0.1716841790726077
ACH-000113,-0.015392500918369474
ACH-000116,-0.25346801935316354
ACH-000118,-0.15972562092241716
ACH-000120,-0.2589254558574613
ACH-000123,-0.20918069568173114
ACH-000127,-0.22865684511376155
ACH-000128,-0.24232634820355475
ACH-000132,-0.14510088795792978
ACH-000133,-0.16480036611451612
ACH-000137,-0.06333399425474688
ACH-000138,-0.16439501437284668
ACH-000142,-0.1229276538339752
ACH-000143,-0.2772551162307301
ACH-000146,-0.13002092725710415
ACH-000148,-0.2256517848027615
ACH-000150,-0.2872315822031001
ACH-000152,-0.2565510462452518
ACH-000153,-0.3777974276672855
ACH-000159,-0.2214773875543108
ACH-000160,-0.3190530514764897
ACH-000163,-0.136606916611826
ACH-000167,0.10576303390836207
ACH-000168,-0.12161180302159742
ACH-000169,-0.309214697294905
ACH-000178,-0.1638771396099194
ACH-000183,-0.12468509814468265
ACH-000188,-0.2017671942846391
ACH-000189,-0.30577319260566266
ACH-000190,-0.14472538196953674
ACH-000198,-0.2099186003889201
ACH-000203,-0.0918304194884002
ACH-000204,-0.227989636646315
ACH-000206,-0.1833741930062884
ACH-000207,-0.1568942727726297
ACH-000208,-0.3443693872602066
ACH-000210,-0.28846871707941824
ACH-000211,-0.21938330164546666
ACH-000215,-0.1910882954540106
ACH-000221,-0.2257673428127377
ACH-000222,-0.08589691017751652
ACH-000223,-0.28439292694595597
ACH-000226,-0.15780642027519046
ACH-000227,-0.2633535900001931
ACH-000228,-0.2979289781015028
ACH-000231,-0.2778260656160823
ACH-000232,-0.2362894184649344
ACH-000233,-0.026486311188951887
ACH-000234,-0.29825073387312195
ACH-000235,-0.1651629999565052
ACH-000237,-0.19358286723526105
ACH-000238,-0.1009200200778824
ACH-000242,-0.3945744586153292
ACH-000243,-0.1965484379857552
ACH-000244,-0.0434615356632504
ACH-000246,-0.11672342302716635
ACH-000248,-0.18680478843483592
ACH-000250,-0.1926070039593452
ACH-000251,-0.2477846658663119
ACH-000252,-0.18853907438726733
ACH-000253,-0.1002683794204482
ACH-000255,-0.12692575126723113
ACH-000256,-0.20579516054141733
ACH-000257,-0.2195721540807688
ACH-000258,-0.15906248051219976
ACH-000259,-0.23361928862442055
ACH-000260,-0.17815559546557047
ACH-000261,-0.2069233171225041
ACH-000262,-0.10742523766847067
ACH-000263,-0.15053064845166295
ACH-000264,-0.26263277606015545
