,FAR2 (55711)
ACH-000004,0.10912643239087096
ACH-000005,0.2064079314356802
ACH-000007,-0.019760055677554258
ACH-000009,0.025884808734008013
ACH-000011,-0.09103594018436348
ACH-000012,0.03841331507945581
ACH-000013,-0.05855687103025602
ACH-000014,-0.20706607727082865
ACH-000015,-0.04701523913623857
ACH-000017,-0.02193596668359814
ACH-000018,0.19329878924542265
ACH-000019,-0.1400124323631625
ACH-000021,-0.13800066832224406
ACH-000022,-0.14861173684738516
ACH-000025,-0.026484190317324685
ACH-000028,-0.04095239730662655
ACH-000030,-0.0432772722615327
ACH-000035,-0.04396944963411377
ACH-000036,-0.030441678855609063
ACH-000037,-0.0792265983280967
ACH-000039,0.2875206676528287
ACH-000040,-0.16919925371818673
ACH-000041,-0.07504764543679883
ACH-000042,-0.06797822555122833
ACH-000045,-0.09405174251011324
ACH-000047,-0.020086934448695363
ACH-000052,-0.32516640091020915
ACH-000053,0.04597850160713842
ACH-000054,-0.1810367438837527
ACH-000055,-0.14539884826769472
ACH-000060,-0.18283666521062467
ACH-000067,-0.018191415650429598
ACH-000070,-0.011826287916690931
ACH-000075,-0.34063102737122103
ACH-000078,-0.05167011046502781
ACH-000082,0.011278061085010907
ACH-000085,0.042673904531315816
ACH-000086,-0.07739790264780264
ACH-000087,0.061095719327880674
ACH-000092,-0.029919375239336236
ACH-000095,-0.040709461350880015
ACH-000097,-0.08932543192262163
ACH-000098,-0.059038401087763134
ACH-000099,-0.14734733722423365
ACH-000108,0.016353442000302084
ACH-000113,-0.127229715862926
ACH-000116,-0.38118143030794577
ACH-000118,-0.036350037254947024
ACH-000120,0.06488355687207542
ACH-000123,-0.06512474721694579
ACH-000127,-0.05549275456264438
ACH-000128,-0.012266550061745644
ACH-000132,-0.04398054841635191
ACH-000133,-0.21698933031089607
ACH-000137,-0.07313287013566466
ACH-000138,-0.08803551978457161
ACH-000142,-0.03228252505984059
ACH-000143,-0.18920200362526116
ACH-000146,-0.27071730229187063
ACH-000148,-0.06305031450323251
ACH-000150,-0.00480697451421325
ACH-000152,-0.1582218191143246
ACH-000153,-0.2781908848925399
ACH-000159,-0.06743508686114025
ACH-000160,-0.024501092308845774
ACH-000163,0.02921179505782473
ACH-000167,-0.22577680064845226
ACH-000168,-0.17350905428169408
ACH-000169,-0.16006218706896905
ACH-000178,-0.03666477673400241
ACH-000183,-0.24614757085607794
ACH-000188,-0.08772923678418222
ACH-000189,-0.2353671727727795
ACH-000190,-0.2230861489789796
ACH-000198,-0.12934694159149995
ACH-000203,-0.31174890228817353
ACH-000204,-0.08579795347657304
ACH-000206,-0.0343017286229333
ACH-000207,-0.08057168221955817
ACH-000208,-0.034678619809179134
ACH-000210,-0.13243259852334133
ACH-000211,-0.010817653010288829
ACH-000215,-0.12146404273462595
ACH-000221,-0.1371350680766047
ACH-000222,-0.15553264463901653
ACH-000223,-0.07611784250964526
ACH-000226,-0.05433003024819983
ACH-000227,-0.04444756248016007
ACH-000228,-0.07074275853200385
ACH-000231,-0.1000417870303931
ACH-000232,-0.2085876655344042
ACH-000233,-0.11789265596435998
ACH-000234,-0.012192642860042196
ACH-000235,-0.08677610185302076
ACH-000237,-0.0250943480938374
ACH-000238,-0.2844746591590474
ACH-000242,0.1518321483578869
ACH-000243,-0.15531296380503307
ACH-000244,-0.05617591218714114
ACH-000246,-0.056772639973677125
ACH-000248,-0.015424513144666313
ACH-000250,-0.06956795681914099
ACH-000251,-0.3200027882146748
ACH-000252,0.05538465733903721
ACH-000253,-0.0411907942969413
ACH-000255,-0.1453015803259886
ACH-000256,0.008784732950460587
ACH-000257,-0.106257952102498
ACH-000258,-0.15325257022522354
ACH-000259,-0.037810958443243725
ACH-000260,0.0655382118660488
ACH-000261,-0.10552481475424948
ACH-000262,-0.2156142333637952
ACH-000263,-0.0397294812091994
ACH-000264,-0.245880431812396
ACH-000265,-0.08231906543507624
ACH-000266,-0.09807473867587146
ACH-000272,-0.15866446919182114
ACH-000274,-0.038667136437899714
ACH-000277,-0.11414670935981915
ACH-000278,0.024625764839489656
ACH-000279,-0.11414138451073524
ACH-000280,-0.21251340947630498
ACH-000281,-0.07974765920675489
ACH-000288,-0.07425494097497501
ACH-000291,-0.0921962806044108
ACH-000293,-0.04541016181267473
ACH-000294,-0.4043897719388899
ACH-000295,-0.05564330068232641
ACH-000296,-0.01450260948502756
