,FAM175A (84142)
ACH-000004,0.0008407992740928207
ACH-000005,-0.0410964412227498
ACH-000007,-0.3073088436803116
ACH-000009,-0.08206175841623395
ACH-000011,-0.01648034015796664
ACH-000012,-0.19952318301396885
ACH-000013,-0.11462611691841088
ACH-000014,-0.19477280689402973
ACH-000015,-0.05712353379154182
ACH-000017,-0.14142131627706375
ACH-000018,0.048383262101834065
ACH-000019,-0.20413470267021505
ACH-000021,-0.13712135399080766
ACH-000022,-0.1651442924950942
ACH-000025,-0.2065295609282803
ACH-000028,-0.2692171221239007
ACH-000030,-0.17710573243075428
ACH-000035,-0.16857035290177172
ACH-000036,-0.2315397678112899
ACH-000037,-0.06547740501907012
ACH-000039,-0.11011714922115133
ACH-000040,-0.1029758041351732
ACH-000041,-0.374401666408582
ACH-000042,-0.09778368091353463
ACH-000045,-0.06753523702358552
ACH-000047,-0.23783652220712315
ACH-000052,-0.1875722319960043
ACH-000053,-0.01236919666274222
ACH-000054,-0.008013754260317522
ACH-000055,-0.14177265238518186
ACH-000060,-0.4412516568496482
ACH-000067,-0.1899273644247308
ACH-000070,-0.09387096819436873
ACH-000075,-0.28654505284938325
ACH-000078,-0.15677954622400336
ACH-000082,-0.09483594271521656
ACH-000085,0.03758229048153818
ACH-000086,-0.22796030039418494
ACH-000087,-0.02174020290540513
ACH-000092,-0.07649444000400663
ACH-000095,-0.18464809012202624
ACH-000097,-0.14161998798189704
ACH-000098,-0.1256827291564137
ACH-000099,-0.02726522429112871
ACH-000108,-0.3041651582152302
ACH-000113,-0.2246777962144532
ACH-000116,-0.2764152998029313
ACH-000118,-0.1462653466249052
ACH-000120,-0.1025829258599176
ACH-000123,-0.14090082870967868
ACH-000127,-0.11645315203479265
ACH-000128,-0.2669658349409625
ACH-000132,-0.2902666314056167
ACH-000133,-0.16887468490129334
ACH-000137,-0.1948148460925667
ACH-000138,-0.11228381065534636
ACH-000142,-0.19088756547356098
ACH-000143,-0.11093670299369353
ACH-000146,-0.0797042514370574
ACH-000148,-0.1801379690707841
ACH-000150,-0.08733106660621433
ACH-000152,-0.083767193348833
ACH-000153,-0.3476927680296842
