,HKR1 (284459)
ACH-000004,0.05467423204438528
ACH-000005,-0.056336917957339964
ACH-000007,0.08379677138114977
ACH-000009,-0.05221120814597551
ACH-000011,0.011244786639949982
ACH-000012,-0.11151660687264632
ACH-000013,-0.4984494322628349
ACH-000014,0.028168687421599926
ACH-000015,-0.17177840925193982
ACH-000017,0.13545574426735274
ACH-000018,-0.10110418362206998
ACH-000019,-0.1082530026135467
ACH-000021,-0.1289805892925932
ACH-000022,-0.1241557043620092
ACH-000025,0.15637163939253193
ACH-000028,-0.020339048183912148
ACH-000030,-0.14090377740874532
ACH-000035,-0.22894344382173426
ACH-000036,-0.04238286140342728
ACH-000037,-0.11758538713260736
ACH-000039,-0.11997924428514185
ACH-000040,-0.009422840231102304
ACH-000041,0.17143338174362735
ACH-000042,0.1108945884207853
ACH-000045,0.026636644829864727
ACH-000047,-0.00381146337349209
ACH-000052,-0.05034284512845125
ACH-000053,-0.1299992560534913
ACH-000054,-0.00955000582992522
ACH-000055,-0.12061154288030405
ACH-000060,0.1494018099354967
ACH-000067,-0.17651457295967252
ACH-000070,-0.08772054740289678
ACH-000075,-0.08008138120888128
ACH-000078,0.10622739333558777
ACH-000082,-0.03680871534175962
ACH-000085,0.03466924171896007
ACH-000086,-0.1174867261089597
ACH-000087,-0.07090105098682374
ACH-000092,-0.16437294760626833
ACH-000095,-0.036003292355511536
ACH-000097,-0.18352425353340687
ACH-000098,-0.08693154566633997
ACH-000099,-0.11135472540649566
ACH-000108,-0.032509169802852005
ACH-000113,-0.045761736537400434
ACH-000116,-0.05470065048168113
ACH-000118,-0.13195246978309172
ACH-000120,0.04365975285453335
ACH-000123,-0.07815946316685164
ACH-000127,-0.035107843879097184
ACH-000128,0.020549032618716576
ACH-000132,0.12917240550943035
ACH-000133,-0.2391500951381621
ACH-000137,-0.2644688196203561
ACH-000138,-0.03232193215903186
ACH-000142,-0.07477203401175148
ACH-000143,0.017015190410540587
ACH-000146,-0.0515437293405276
ACH-000148,-0.003243135068353014
ACH-000150,0.0241986067527312
ACH-000152,-0.08377642915970455
ACH-000153,-0.07466020903063858
ACH-000159,-0.13782750301532246
ACH-000160,-0.043922489624212864
ACH-000163,-0.1263450643261967
ACH-000167,-0.11940748617957525
ACH-000168,-0.059491845787179524
ACH-000169,0.08807187192581195
ACH-000178,-0.0729043567188147
ACH-000183,0.006240644810328256
ACH-000188,0.02427687094791712
ACH-000189,-0.07234898367032347
ACH-000190,-0.2145774131949452
ACH-000198,-0.02596954903780532
ACH-000203,0.07036458052926217
ACH-000204,-0.3498985652051619
ACH-000206,-0.07077187445775633
ACH-000207,-0.09880362616965126
ACH-000208,0.01791338001985135
ACH-000210,-0.046873968835494106
ACH-000211,-0.1383076786029472
ACH-000215,-0.027424453634830127
ACH-000221,-0.039360075097350976
ACH-000222,0.0073635284951374435
ACH-000223,-0.12796969029680774
ACH-000226,-0.11561336346642802
ACH-000227,-0.15481320880863306
ACH-000228,-0.1981238331492356
ACH-000231,-0.0010763061519809564
ACH-000232,-0.1822337973298242
ACH-000233,-0.08517667064374583
ACH-000234,-0.14889418449573835
ACH-000235,-0.054361197978644436
ACH-000237,-0.16071014237894024
ACH-000238,0.0338625192498851
ACH-000242,-0.1870791702861575
ACH-000243,-0.12117124499542425
ACH-000244,-0.05842726449375923
ACH-000246,-0.04266495322669234
ACH-000248,-0.07936719046679419
ACH-000250,-0.07774795220087719
ACH-000251,-0.4748238242126054
ACH-000252,-0.07203415950250823
ACH-000253,0.0006114758738243328
ACH-000255,-0.03164846907591015
ACH-000256,-0.08258322590326746
ACH-000257,0.15530520831000807
ACH-000258,0.04911681578591714
ACH-000259,-0.015648141058192087
ACH-000260,0.03056513137563161
ACH-000261,-0.0998327526330028
ACH-000262,-0.22158804991925948
ACH-000263,-0.1648949932809266
ACH-000264,-0.026763175281352903
ACH-000265,0.052012916338010966
ACH-000266,-0.13625911770969
ACH-000272,-0.03165137793719898
