,PTPRF (5792)
ACH-000004,-0.08515718880071473
ACH-000005,-0.10143130208587793
ACH-000007,0.2763033454712718
ACH-000009,-0.2493856585805229
ACH-000011,0.11829792237188284
ACH-000012,-0.24667663141801802
ACH-000013,-0.11172701602630493
ACH-000014,-0.17139590765432025
ACH-000015,0.042511679561619414
ACH-000017,-0.011268422524567244
ACH-000018,-0.08902315703513955
ACH-000019,-0.10706165731769003
ACH-000021,0.029949284618213657
ACH-000022,-0.11463188431506127
ACH-000025,-0.1128411805463591
ACH-000028,-0.0464760624818589
ACH-000030,-0.1752736935980089
ACH-000035,-0.2424255782412746
ACH-000036,-0.050199913757359715
ACH-000037,-0.0758680789202517
ACH-000039,-0.10960259309527036
ACH-000040,-0.10878332568792533
ACH-000041,0.014802249538227471
ACH-000042,0.035816486641982705
ACH-000045,0.0006748184798979571
ACH-000047,0.014979092926513657
ACH-000052,-0.16289198641408248
ACH-000053,-0.1519640925351295
ACH-000054,-0.21216209764626934
ACH-000055,-0.2662683636024217
ACH-000060,-0.2896711137916121
ACH-000067,-0.18318103976777889
ACH-000070,0.118978148268387
ACH-000075,-0.2711411234970543
ACH-000078,-0.1114279117849655
ACH-000082,-0.2018246755143974
ACH-000085,-0.09861507249007748
ACH-000086,-0.10703361736128736
ACH-000087,-0.2262416341283301
ACH-000092,-0.2460602861257296
ACH-000095,0.04487851489528357
ACH-000097,-0.19718636649253946
ACH-000098,-0.31137860802838524
ACH-000099,0.03727498980251083
ACH-000108,-0.17318987713292555
ACH-000113,-0.07600860894832458
ACH-000116,-0.052897063133795684
ACH-000118,-0.12237254948883715
ACH-000120,-0.039807736661232725
ACH-000123,-0.2017305758929545
ACH-000127,-0.09323713815648672
ACH-000128,0.018353985447624784
ACH-000132,-0.2595232858114446
ACH-000133,-0.0976231238284122
ACH-000137,-0.2554556637654338
ACH-000138,-0.10497543551126293
ACH-000142,-0.3022003519945044
ACH-000143,-0.029677709653958294
ACH-000146,-0.29509390869950924
ACH-000148,-0.18843405662182136
ACH-000150,-0.13378980540444946
ACH-000152,-0.2397071063033563
ACH-000153,-0.22493113321541625
ACH-000159,-0.17367074922321776
ACH-000160,-0.1407040389890966
ACH-000163,-0.11340513610249035
ACH-000167,-0.14218586585599674
ACH-000168,-0.16473998217468558
ACH-000169,-0.2149288855553486
ACH-000178,-0.06509287586427946
ACH-000183,-0.22077116814226194
ACH-000188,-0.35326350020347724
ACH-000189,0.015817232918705484
ACH-000190,0.10932090666130534
ACH-000198,-0.1371179278820772
ACH-000203,-0.20068446687383468
ACH-000204,-0.23643885105207876
ACH-000206,-0.1983542099378357
ACH-000207,-0.1526900548831423
ACH-000208,0.004045846741542268
ACH-000210,-0.20169129840909708
ACH-000211,-0.03564821312487215
ACH-000215,-0.09253452815103656
ACH-000221,0.032578998043058506
ACH-000222,-0.10282118139778801
ACH-000223,-0.07501851687136027
ACH-000226,-0.09053569133312964
ACH-000227,-0.10261863385221187
ACH-000228,-0.0576949468271846
ACH-000231,-0.13256497128240796
ACH-000232,-0.00620789989426979
ACH-000233,0.029147837832494725
ACH-000234,-0.08535000843650384
ACH-000235,-0.14138574235853427
ACH-000237,-0.2681098100058009
