,TLCD1 (116238)
ACH-000004,-0.2932160804333175
ACH-000005,-0.4941021878172166
ACH-000007,-0.3932574105346372
ACH-000009,-0.30230951833714115
ACH-000011,-0.4466598483473129
ACH-000012,-0.4528977508569698
ACH-000013,-0.2796584132373475
ACH-000014,-0.2519568657137029
ACH-000015,-0.22272964917882013
ACH-000017,-0.5685894491995362
ACH-000018,-0.12735250125632533
ACH-000019,-0.5204555820719546
ACH-000021,-0.3374896175901769
ACH-000022,-0.35280427505038986
ACH-000025,-0.2865081319326429
ACH-000028,-0.44462978641642986
ACH-000030,-0.3730058839005321
ACH-000035,-0.4050714838154385
ACH-000036,-0.4708623982344419
ACH-000037,-0.3207144227158332
ACH-000039,-0.456114990326111
ACH-000040,-0.35837051229403977
ACH-000041,-0.3718816869889728
ACH-000042,-0.1821383010111455
ACH-000045,-0.42504802564512495
ACH-000047,-0.1925442531731433
ACH-000052,-0.1314508244958737
ACH-000053,-0.3868113073049584
ACH-000054,-0.4396266289486489
ACH-000055,-0.4474086161206663
ACH-000060,-0.28646222918149394
ACH-000067,-0.2925995577039925
ACH-000070,-0.29979532272692216
ACH-000075,-0.539418847887028
ACH-000078,-0.35097475554161056
ACH-000082,-0.3704997098149984
ACH-000085,-0.2318062159496376
ACH-000086,-0.3256432236204877
ACH-000087,-0.20958505833084015
ACH-000092,-0.2013596138775901
ACH-000095,-0.3469585650255304
ACH-000097,-0.27739373042967724
ACH-000098,-0.298123934743952
ACH-000099,-0.24444541576770215
ACH-000108,-0.4255726128429721
ACH-000113,-0.2693153807713451
ACH-000116,-0.2956156126670553
ACH-000118,-0.25724006968294194
ACH-000120,-0.0764013001770409
ACH-000123,-0.3595413757731959
ACH-000127,-0.2361862092000937
ACH-000128,-0.3167797359736628
ACH-000132,-0.38018821601169467
ACH-000133,-0.1540509491636167
ACH-000137,-0.3505139651782537
ACH-000138,-0.16284838032405088
ACH-000142,-0.3831308004166754
ACH-000143,-0.1558142024843295
ACH-000146,-0.3025830888812864
ACH-000148,-0.40103678327592207
ACH-000150,-0.32189263488080794
ACH-000152,-0.4830546358415604
ACH-000153,-0.1847804787260142
ACH-000159,-0.3461334397763057
ACH-000160,-0.3425627663279036
ACH-000163,-0.27982438157899875
ACH-000167,-0.6666127621979776
ACH-000168,-0.2139767996399556
ACH-000169,-0.4180446414647255
ACH-000178,-0.2886992979411102
ACH-000183,-0.1870791386922568
ACH-000188,-0.3153188307410962
ACH-000189,-0.29746503123989115
ACH-000190,-0.38654859870773417
ACH-000198,-0.29677043029307176
ACH-000203,-0.6093302971180911
ACH-000204,-0.2724240286744229
ACH-000206,-0.3297916643422349
ACH-000207,-0.2464235255423932
ACH-000208,-0.4370586714726267
ACH-000210,-0.3593866988705009
ACH-000211,-0.29464182839644004
ACH-000215,-0.4040132217067408
ACH-000221,-0.24172690032260166
ACH-000222,-0.2496595962349111
ACH-000223,-0.4285161581129889
ACH-000226,-0.28774794612445603
ACH-000227,-0.3658108076275949
ACH-000228,-0.2575286291718841
ACH-000231,-0.3368518690600077
ACH-000232,-0.3409255384036114
ACH-000233,-0.2326879346599356
ACH-000234,-0.3562010308694937
ACH-000235,-0.3070047383752137
ACH-000237,-0.29184488919383905
ACH-000238,-0.5234100976410511
ACH-000242,-0.4699431356293601
ACH-000243,-0.4528970361135168
ACH-000244,-0.3971324011124649
ACH-000246,-0.258655207007185
ACH-000248,-0.40292683448814587
ACH-000250,-0.239800114022239
ACH-000251,-0.4646448320700738
ACH-000252,-0.28164345029003063
ACH-000253,-0.2610478805856373
ACH-000255,-0.39574721182681977
ACH-000256,-0.4593900760210728
ACH-000257,-0.09931158499961516
ACH-000258,-0.044321036539886366
ACH-000259,-0.3340938645473191
ACH-000260,-0.2056713279146091
ACH-000261,-0.3969202207665667
ACH-000262,-0.3522448011491703
ACH-000263,-0.14015346316313146
ACH-000264,-0.4264554352538568
ACH-000265,-0.2983224694989411
ACH-000266,-0.2899661207031076
ACH-000272,-0.3936113343071369
ACH-000274,-0.3881962915142324
ACH-000277,-0.5727863146629255
ACH-000278,-0.30550418611128816
ACH-000279,-0.2554420860581221
ACH-000280,-0.3323700369581235
ACH-000281,-0.13599942921133246
