,KIAA1211 (57482)
ACH-000004,-0.02182994305664368
ACH-000005,-0.1758995991445431
ACH-000007,-0.04756793312314315
ACH-000009,-0.06814640184994537
ACH-000011,-0.12034706615525224
ACH-000012,-0.1848652680426239
ACH-000013,-0.07106927046370523
ACH-000014,-0.1883136282993835
ACH-000015,-0.11231013547858236
ACH-000017,-0.03192736772730946
ACH-000018,-0.11069644258869037
ACH-000019,-0.08122097893605834
ACH-000021,-0.21776575461282224
ACH-000022,-0.15806868747798433
ACH-000025,-0.16110322263928015
ACH-000028,-0.16677537053209482
ACH-000030,-0.1455535228979965
ACH-000035,-0.18291005053302314
ACH-000036,-0.15716516174675255
ACH-000037,0.12848487714069134
ACH-000039,0.06073891673454344
ACH-000040,-0.2956981404778881
ACH-000041,-0.11716682567996275
ACH-000042,-0.05466583744375733
ACH-000045,0.15547336260229955
ACH-000047,-0.15231341292135034
ACH-000052,-0.05899610206696115
ACH-000053,-0.15598894483379108
ACH-000054,-0.034533777849804284
ACH-000055,-0.0020059557186790328
ACH-000060,-0.21817286878501665
ACH-000067,0.00048219219204288886
ACH-000070,0.034596041078528234
ACH-000075,-0.2222772208370033
ACH-000078,-0.15514279129471426
ACH-000082,0.04361277005753654
ACH-000085,-0.18110026775214974
ACH-000086,-0.08509172475203555
ACH-000087,0.2265145831517501
ACH-000092,-0.0379893879226063
ACH-000095,-0.2228374596710512
ACH-000097,-0.13923734562815868
ACH-000098,-0.15925632654193547
ACH-000099,-0.10695268084082916
ACH-000108,-0.0014029007180113519
ACH-000113,-0.12311525905820506
ACH-000116,-0.14499687171718292
ACH-000118,-0.2404558634551856
ACH-000120,-0.2738238156809302
ACH-000123,-0.2368245890674193
ACH-000127,-0.1878592838205355
ACH-000128,-0.09462147999532423
ACH-000132,-0.05797160724702341
ACH-000133,-0.1120122583063236
ACH-000137,-0.4181671934786143
ACH-000138,-0.16512526463024538
ACH-000142,-0.05436512626596714
ACH-000143,-0.03801762618625524
ACH-000146,-0.13326693800301562
ACH-000148,-0.08484884991973993
ACH-000150,-0.10867832615596082
ACH-000152,-0.07703503807991527
ACH-000153,-0.34900897554947896
ACH-000159,-0.12332876815835354
ACH-000160,-0.08461269456659885
ACH-000163,-0.10412437508490106
ACH-000167,0.11385521377631296
ACH-000168,-0.10504235933039588
ACH-000169,-0.1058287728244081
ACH-000178,-0.26082238854184503
ACH-000183,0.04993936020843455
ACH-000188,-0.10123285689389287
ACH-000189,-0.1662112613350955
ACH-000190,-0.2003511179062562
ACH-000198,-0.04242384403724839
ACH-000203,-0.5746681581862462
ACH-000204,-0.2887345522281635
ACH-000206,-0.15743521238763164
ACH-000207,-0.13340870893223594
ACH-000208,-0.332037476545104
ACH-000210,0.18840287646490275
ACH-000211,-0.11269984421213705
ACH-000215,-0.0611902849668936
ACH-000221,-0.20913651246902987
ACH-000222,0.1853722456794559
ACH-000223,-0.08192115558691042
ACH-000226,-0.2018772015987946
ACH-000227,0.013488509067139116
ACH-000228,-0.1828074958623958
ACH-000231,-0.3378373189801805
ACH-000232,-0.0035029441974706705
ACH-000233,-0.025927232510074262
ACH-000234,-0.33494796810244154
ACH-000235,-0.05970819532459876
ACH-000237,-0.15219434216667413
ACH-000238,-0.1906752890921104
ACH-000242,-0.10595756772789876
ACH-000243,-0.12521681771727305
ACH-000244,0.030512490081986626
ACH-000246,0.020727065605732016
ACH-000248,0.016878243629333756
ACH-000250,-0.03879084562692461
ACH-000251,-0.23020317368463397
ACH-000252,-0.02759677488706874
ACH-000253,-0.14476042291395205
ACH-000255,-0.145600965965608
ACH-000256,-0.10236460854549607
ACH-000257,-0.3305640254375857
ACH-000258,-0.13221955750322556
ACH-000259,-0.23730277685219986
ACH-000260,-0.14937787702969815
ACH-000261,-0.05414164385857991
ACH-000262,-0.03088917854141726
ACH-000263,-0.20186186658496974
ACH-000264,-0.1193649701661543
ACH-000265,-0.11041282048253273
ACH-000266,-0.06763037025005453
ACH-000272,-0.08152821343671003
ACH-000274,-0.10518471118728992
ACH-000277,0.13287480480330308
ACH-000278,-0.07288429818928578
ACH-000279,0.028837055309022763
ACH-000280,0.038417130810491563
ACH-000281,-0.12098880434060147
ACH-000288,-0.16773949218593634
ACH-000291,-0.08726556036304159
ACH-000293,-0.07725323290644891
ACH-000294,-0.1468256876225773
ACH-000295,-0.1179247727678582
ACH-000296,-0.18904279509958727
ACH-000302,-0.15686368386765692
ACH-000304,-0.2983274106359074
ACH-000307,-0.0945293293924799
ACH-000308,-0.060821305929870284
ACH-000310,0.00967088432374706
ACH-000311,0.03708915266797527
ACH-000312,-0.17489199975476466
ACH-000315,-0.2363572773232901
ACH-000316,-0.16519323563295765
ACH-000317,-0.037572189298932884
ACH-000318,-0.04610720529857292
ACH-000319,-0.18542515329960094
ACH-000320,0.031096448769883364
ACH-000322,-0.08254105963808106
ACH-000323,-0.2715458490385307
ACH-000324,-0.09961045928961224
ACH-000329,-0.08361858545818081
ACH-000330,-0.09006026107737017
ACH-000331,0.021893809762049656
ACH-000332,-0.1261022209005155
ACH-000334,0.1430839676716237
ACH-000335,0.02072288468031315
ACH-000336,-0.055865767109386316
ACH-000337,-0.1259628009330863
ACH-000338,0.1945398828745388
ACH-000339,-0.17715837809563115
ACH-000341,-0.04195984092260671
ACH-000348,-0.17287622235665745
ACH-000350,-0.15209359508456716
ACH-000352,-0.13202525475610086
ACH-000356,-0.16573394348083365
ACH-000361,-0.05885711146669965
ACH-000362,-0.20731173009908452
ACH-000363,-0.1777717898880466
ACH-000364,-0.24643855043374316
ACH-000365,-0.15657224278398116
ACH-000366,0.01682685289400126
ACH-000368,-0.2048339000995202
ACH-000374,-0.3951941478498841
ACH-000375,-0.15147289715741954
ACH-000376,-0.12012171791180627
ACH-000381,-0.2828953907663652
ACH-000383,-0.13732713499340646
ACH-000387,-0.1273813004139458
ACH-000389,-0.11075103235127748
ACH-000390,-0.127671767024594
ACH-000393,-0.06164358104087987
ACH-000395,-0.2463491511639025
ACH-000396,-0.018480086389567097
ACH-000397,-0.08499737848862375
ACH-000401,-0.2252489846934983
ACH-000402,-0.334812904432878
ACH-000403,-0.13088251815985533
ACH-000404,-0.4097105834359964
ACH-000406,-0.10666897570259384
ACH-000407,-0.0861995336917858
ACH-000408,-0.028283156494318833
ACH-000410,-0.1400614906569644
ACH-000411,-0.2601960247952995
ACH-000414,-0.07047182964217015
ACH-000415,-0.3334629309059965
ACH-000416,-0.1338526557575209
ACH-000420,-0.1463460735833372
ACH-000421,-0.1549308367781715
ACH-000424,-0.32730156851076225
ACH-000425,-0.2213493238520131
ACH-000426,-0.13469592562462102
ACH-000427,-0.2619902076628584
ACH-000433,-0.08730097227919789
ACH-000435,0.181417590017232
ACH-000436,-0.10298049462410787
ACH-000444,-0.13384466211421542
ACH-000445,0.035118343107437694
ACH-000448,-0.1865205294083742
ACH-000450,0.013593455482936766
ACH-000452,-0.10465169056063717
ACH-000454,-0.24549226347799374
ACH-000458,-0.18028699950115026
ACH-000459,0.1267142153813642
ACH-000460,-0.15377815836839365
ACH-000461,-0.04863481913921983
ACH-000463,-0.1775556278470894
ACH-000464,-0.10791704852676756
ACH-000466,-0.029230012081436968
ACH-000467,-0.2574036430953248
ACH-000468,-0.2286545924650192
ACH-000469,-0.0970948308338408
ACH-000470,-0.17440854187764954
ACH-000471,-0.1687194699109058
ACH-000472,-0.014322224483761388
ACH-000473,0.03400616222094403
ACH-000475,-0.045823158514964636
ACH-000476,-0.0699785875729557
ACH-000477,-0.07260699614856589
ACH-000479,0.17376487020873022
ACH-000480,-0.2680927165857624
