,UBL4B (164153)
ACH-000004,-0.027097181494169287
ACH-000005,-0.3957325211501908
ACH-000007,-0.19775196779737486
ACH-000009,-0.1849583273062617
ACH-000011,-0.1293629206860681
ACH-000012,-0.24578490860947025
ACH-000013,-0.23940433012991585
ACH-000014,-0.3190631072868416
ACH-000015,-0.2096182096923825
ACH-000017,-0.169852229547498
ACH-000018,0.013344092321589913
ACH-000019,-0.22212911061276705
ACH-000021,-0.07922693277435104
ACH-000022,-0.11783045931015874
ACH-000025,-0.3986793017179657
ACH-000028,-0.3268084881332441
ACH-000030,-0.1786577933657011
ACH-000035,-0.3006529594821626
ACH-000036,-0.1029363075212472
ACH-000037,-0.2981254739136211
ACH-000039,-0.1395546666649001
ACH-000040,-0.222624237609314
ACH-000041,-0.3148575290464644
ACH-000042,-0.09012294291215156
ACH-000045,-0.20010678581043653
ACH-000047,-0.21260871910338405
ACH-000052,-0.11339138134227245
ACH-000053,-0.12441212268135901
ACH-000054,-0.13149368639604733
ACH-000055,-0.07320691679464242
ACH-000060,-0.2982898161009789
ACH-000067,-0.30905502899980103
ACH-000070,-0.006760126396882993
ACH-000075,-0.00620569676410475
ACH-000078,-0.33497495200233124
ACH-000082,-0.02657715691595154
ACH-000085,-0.06564200603255384
ACH-000086,-0.2015920971930203
ACH-000087,-0.050272219227419895
ACH-000092,-0.3895410021725258
ACH-000095,-0.08268868724147586
ACH-000097,-0.03874852164941299
ACH-000098,-0.1837452049518696
ACH-000099,-0.16386352036950932
ACH-000108,-0.18394377241939128
ACH-000113,-0.20230076540570827
ACH-000116,-0.10545562840031697
ACH-000118,-0.2043010071505455
ACH-000120,-0.046672177137608
ACH-000123,-0.13666706837542006
ACH-000127,-0.14612647351554225
ACH-000128,-0.2406101457134523
ACH-000132,-0.2651892822036476
ACH-000133,-0.17581341208639886
ACH-000137,-0.29403266489279034
ACH-000138,-0.06241751716071951
ACH-000142,-0.2690282459242816
ACH-000143,-0.10108183383069952
ACH-000146,-0.11825514090740068
ACH-000148,-0.22261817910771312
ACH-000150,-0.2129156441859569
ACH-000152,-0.2923391587904381
ACH-000153,0.07278530317575399
ACH-000159,-0.20386627286565667
ACH-000160,0.018492845846368903
ACH-000163,-0.05694671194415616
ACH-000167,-0.049024309174147185
ACH-000168,-0.2975622797381033
ACH-000169,-0.2813162690117177
ACH-000178,-0.1368134194881812
ACH-000183,-0.2588411317240684
ACH-000188,-0.2791318445962595
ACH-000189,-0.2569869936982841
ACH-000190,-0.10741576698051243
ACH-000198,-0.08726724915303613
ACH-000203,0.14022727499637305
ACH-000204,0.06965089047537941
