,ARID2 (196528)
ACH-000004,-0.6717567999130963
ACH-000005,-0.3095444187633111
ACH-000007,-0.8071458502094121
ACH-000009,-0.019722382311400964
ACH-000011,-0.0002457210150500162
ACH-000012,-0.44978208246144896
ACH-000013,-0.5663601891430204
ACH-000014,-0.0009184430551419401
ACH-000015,-0.15585888231873107
ACH-000017,-0.3236290025946528
ACH-000018,-0.3628633639878049
ACH-000019,-0.6041924216773569
ACH-000021,-0.3789219436512893
ACH-000022,-0.21379220928900208
ACH-000025,-0.01493328239205609
ACH-000028,-0.2448981981197329
ACH-000030,-0.7389889704967728
ACH-000035,-0.15700626714680288
ACH-000036,-0.3921128417618295
ACH-000037,-0.4774064065953774
ACH-000039,-0.3302104842971165
ACH-000040,-0.2936940022834552
ACH-000041,-0.3070325730940611
ACH-000042,-0.12742983642749173
ACH-000045,-0.7362690923398107
ACH-000047,-0.6336571074653351
ACH-000052,-0.3164861076985691
ACH-000053,-0.2787954069558388
ACH-000054,-0.14034289222615642
ACH-000055,-0.6152583393219346
ACH-000060,-0.012907963519810871
ACH-000067,-0.794857471335593
ACH-000070,-0.7538841704495843
ACH-000075,-0.05011144492995314
ACH-000078,-0.3111100462279775
ACH-000082,-0.35345616413937764
ACH-000085,-0.3725459342292892
ACH-000086,-0.4203279755986509
ACH-000087,-0.6386236635957864
ACH-000092,-0.3992939665488325
ACH-000095,-0.21425845938024912
ACH-000097,-0.3910796190767827
ACH-000098,-0.049075994266622534
ACH-000099,0.12007861036581165
ACH-000108,-0.3184561177009437
ACH-000113,-0.3695580947874839
ACH-000116,-0.24983479264863645
ACH-000118,-0.4007508567952284
ACH-000120,-0.18582064188786104
ACH-000123,-0.19510960020352666
ACH-000127,-0.3243561886292905
ACH-000128,-0.3328904177723151
ACH-000132,-0.6442272998779999
ACH-000133,-0.2742149128824185
ACH-000137,-0.13723550683527733
ACH-000138,-0.4669988341267559
ACH-000142,-0.1836953031084113
ACH-000143,-0.5874229034089545
ACH-000146,-0.3824928052518827
ACH-000148,-0.21808418558110135
ACH-000150,-0.10588820586161306
ACH-000152,-0.5187694868207442
ACH-000153,-0.08066666154264203
ACH-000159,-0.19245156345095896
ACH-000160,0.04899026826012511
ACH-000163,-0.31138653852696835
ACH-000167,0.5360226612583776
ACH-000168,-0.7173408306013364
ACH-000169,-0.10787241396859854
ACH-000178,-0.6595552695367217
ACH-000183,-0.6791484940969719
ACH-000188,-0.061669810194943
ACH-000189,-0.19030539582775668
ACH-000190,-0.03667978982056306
ACH-000198,-0.4388857541446856
ACH-000203,-0.6469765340825137
ACH-000204,-0.4471627241468535
ACH-000206,-0.2313075534477494
ACH-000207,-0.5246922784187878
ACH-000208,0.019429587731455214
ACH-000210,-0.029789221642355593
ACH-000211,-0.19095346165539914
ACH-000215,-0.3152091297388592
ACH-000221,-0.041144912255548206
ACH-000222,-0.22263920507347384
ACH-000223,-0.4522279551444403
