,SKOR1 (390598)
ACH-000004,-0.11528932393348022
ACH-000005,-0.2468297253055622
ACH-000007,-0.15720429373926284
ACH-000009,-0.18558473688290705
ACH-000011,0.14734886743123432
ACH-000012,-0.09997611832096756
ACH-000013,-0.14387864430061684
ACH-000014,-0.03695364574841197
ACH-000015,0.02895325442364925
ACH-000017,-0.186481925547252
ACH-000018,-0.30909991348034643
ACH-000019,-0.09764253767571536
ACH-000021,-0.031101079301553883
ACH-000022,-0.2768271274525707
ACH-000025,0.03166678022003139
ACH-000028,-0.01970958827198286
ACH-000030,-0.128155673164909
ACH-000035,-0.13126569893727058
ACH-000036,0.005206712175368333
ACH-000037,-0.13874112371345398
ACH-000039,-0.01237973052459633
ACH-000040,-0.10382039364456527
ACH-000041,-0.11788820843831173
ACH-000042,-0.0863692187507871
ACH-000045,0.011671190323985422
ACH-000047,-0.13224337517158494
ACH-000052,-0.059011989551384675
ACH-000053,-0.00872641422183303
ACH-000054,-0.05606849146142411
ACH-000055,0.03404250271554545
ACH-000060,-0.13067305391220616
ACH-000067,0.07709342797479632
ACH-000070,-0.1323877314636317
ACH-000075,0.01747711993701119
ACH-000078,-0.11937445401093293
ACH-000082,0.0035578112192461726
ACH-000085,0.04820597167690775
ACH-000086,-0.18183090028036286
ACH-000087,-0.13076826754659696
ACH-000092,-0.15840140550930898
ACH-000095,0.0069896601166833895
ACH-000097,0.031407645997421824
ACH-000098,0.042535862479546216
ACH-000099,-0.05406097705885868
ACH-000108,-0.05181057100521235
ACH-000113,-0.04422342539469002
ACH-000116,-0.04252762196488292
ACH-000118,0.021409911905019417
ACH-000120,-0.1702593911566816
ACH-000123,-0.07240279032968394
ACH-000127,-0.017834733159720333
ACH-000128,0.058006707819244885
ACH-000132,-0.1033404050097374
ACH-000133,-0.06888258791145943
ACH-000137,0.026582814993370927
ACH-000138,-0.09726040904652652
ACH-000142,-0.032513776543270576
ACH-000143,-0.046502175549908265
ACH-000146,-0.06406445794341584
