,RASIP1 (54922)
ACH-000004,0.008043649011031915
ACH-000005,-0.20717839521871126
ACH-000007,0.06699090388764296
ACH-000009,-0.16408990826247458
ACH-000011,-0.06259983190878661
ACH-000012,-0.2479002718305125
ACH-000013,-0.07740994742280427
ACH-000014,0.009332905100664984
ACH-000015,-0.20983590874351526
ACH-000017,-0.041717043199715295
ACH-000018,-0.1696120285039253
ACH-000019,-0.19262792112495786
ACH-000021,-0.05927460045980173
ACH-000022,-0.047330456129072385
ACH-000025,0.05208512499852355
ACH-000028,-0.09292488338438597
ACH-000030,-0.23134913498667845
ACH-000035,-0.10990968793065348
ACH-000036,-0.1621372033499842
ACH-000037,-0.149101459927766
ACH-000039,-0.2933908454090311
ACH-000040,0.044670457710091635
ACH-000041,-0.009794034201409587
ACH-000042,-0.17267865611009958
ACH-000045,0.045709248140094784
ACH-000047,-0.31972229651404016
ACH-000052,-0.33835146356886964
ACH-000053,-0.05027939600282263
ACH-000054,-0.09341293419026764
ACH-000055,-0.16501289211517484
ACH-000060,0.05445687689450117
ACH-000067,-0.08001548688227668
ACH-000070,-0.13137878216449686
ACH-000075,-0.012470937633614999
ACH-000078,-0.034869302841663216
ACH-000082,-0.005492325921777554
ACH-000085,0.039973891640032906
ACH-000086,-0.1282259299587467
ACH-000087,-0.04981341941363586
ACH-000092,-0.02149028189222407
ACH-000095,-0.08610836435102551
ACH-000097,-0.041363929747312685
ACH-000098,-0.06781554549097606
ACH-000099,-0.15465152727328293
ACH-000108,-0.11988365271096085
ACH-000113,-0.05013626406613405
ACH-000116,0.02569112999439051
ACH-000118,-0.08990661317560435
ACH-000120,-0.10702748334841188
ACH-000123,0.0647470370253228
ACH-000127,-0.028584614650335623
ACH-000128,-0.12057561033121895
ACH-000132,0.008351993727414877
ACH-000133,-0.16543923125171991
ACH-000137,-0.14214794658953425
ACH-000138,-0.15577936933663467
ACH-000142,-0.2066116017983425
ACH-000143,-0.2854465647069309
ACH-000146,-0.09838251177791027
ACH-000148,-0.11430934813600413
ACH-000150,-0.054190209706952486
ACH-000152,-0.04921945123423987
ACH-000153,-0.13600022109018822
ACH-000159,-0.103226122038282
ACH-000160,-0.11128460939195847
ACH-000163,-0.024092823191120872
ACH-000167,0.0064167285444959275
ACH-000168,-0.1770681557946198
ACH-000169,-0.1406428870011772
ACH-000178,0.007774070928027437
ACH-000183,0.012639477032148207
ACH-000188,-0.1150058547074962
ACH-000189,0.23473487899585355
ACH-000190,-0.028819644370064082
ACH-000198,-0.215711572076926
ACH-000203,0.1577896589380166
ACH-000204,-0.14138383345371994
ACH-000206,-0.13481332717299374
ACH-000207,-0.024962856388428448
ACH-000208,-0.21128331621883767
ACH-000210,-0.14645876548495906
ACH-000211,-0.14150644407843654
ACH-000215,-0.09142349541763642
ACH-000221,-0.1488768011355243
ACH-000222,-0.055592936519670406
ACH-000223,-0.06045637618231394
ACH-000226,-0.07060926454200503
ACH-000227,-0.11578190713237645
ACH-000228,-0.132310615456122
ACH-000231,-0.1391512706106896
ACH-000232,-0.1874467429799456
ACH-000233,-0.01676492350335718
ACH-000234,-0.06547364125166764
ACH-000235,-0.16825737607227229
ACH-000237,-0.0951344890064728
ACH-000238,-0.08917727119251208
ACH-000242,0.1071932891107743
ACH-000243,-0.10287528867941736
ACH-000244,0.16155044011044908
ACH-000246,-0.0373277403718731
ACH-000248,-0.050756224239572566
ACH-000250,-0.1519179758969298
ACH-000251,-0.3730612479069334
ACH-000252,0.05776624013590875
ACH-000253,-0.1406209124594109
ACH-000255,0.012025168135361804
ACH-000256,-0.09786905684958394
ACH-000257,-0.10748649008101342
ACH-000258,0.029995877113448987
ACH-000259,-0.07768339206846596
ACH-000260,-0.12697025592010314
ACH-000261,-0.1198635116096346
ACH-000262,-0.06495260061773481
ACH-000263,-0.08464398718456187
ACH-000264,-0.008544820477518285
ACH-000265,-0.2426630146185672
ACH-000266,-0.12306545971837313
ACH-000272,-0.03574102615240705
ACH-000274,-0.06629207503807433
ACH-000277,0.03297007959497897
ACH-000278,-0.06604845691773678
ACH-000279,-0.14503079488235476
ACH-000280,-0.14135613724382126
ACH-000281,-0.15109974435261314
ACH-000288,0.06324310042435385
ACH-000291,-0.23092909040174084
ACH-000293,-0.08777117180173087
ACH-000294,-0.468821917940961
ACH-000295,0.12602346891185484
ACH-000296,-0.15682511654930847
ACH-000302,-0.20465836274718174
ACH-000304,-0.20695705931411454
ACH-000307,-0.043584506800129284
ACH-000308,-0.18204872277250864
