,OSTN (344901)
ACH-000004,0.17608309466707045
ACH-000005,0.08068367929515392
ACH-000007,0.12379329380218773
ACH-000009,0.10965912259019388
ACH-000011,0.03107029090233718
ACH-000012,0.14753545270960874
ACH-000013,0.16907406636283484
ACH-000014,0.17667299195156685
ACH-000015,0.04845532548130767
ACH-000017,0.035189455855901774
ACH-000018,0.04056853058987575
ACH-000019,0.18347181505230487
ACH-000021,0.0763067214324068
ACH-000022,0.06774936809377091
ACH-000025,-0.03711959313593605
ACH-000028,0.12791373880544418
ACH-000030,0.010435250114127284
ACH-000035,0.0690594341310959
ACH-000036,0.11042327303330303
ACH-000037,0.20095381493804687
ACH-000039,0.038460954227901516
ACH-000040,0.10371795904281253
ACH-000041,0.05326728501257411
ACH-000042,0.13958576975555173
ACH-000045,0.29760284984583296
ACH-000047,-0.0658718757298442
ACH-000052,0.2985989120093669
ACH-000053,-0.012799398505964616
ACH-000054,0.004424189532787795
ACH-000055,0.1358922781840724
ACH-000060,0.09816244463356913
ACH-000067,0.0827842441278638
ACH-000070,-0.029447732633799205
ACH-000075,-0.11985507370893304
ACH-000078,0.14252737824786801
ACH-000082,0.16509667518224347
ACH-000085,0.09857541920481187
ACH-000086,0.026896560821282764
ACH-000087,0.12424594342073166
ACH-000092,0.04173767532794729
ACH-000095,-0.057620987406378915
ACH-000097,0.04550547459624072
ACH-000098,-0.029411368726313888
ACH-000099,0.1326446603156135
ACH-000108,0.08139309330758085
ACH-000113,-0.018711000478186104
ACH-000116,0.06950178361479974
ACH-000118,0.1254849559200388
ACH-000120,0.02479834980529692
ACH-000123,0.05846088938652294
ACH-000127,0.05831581239518808
ACH-000128,0.09044652851537248
ACH-000132,0.07979069403767099
ACH-000133,-0.045652997363501216
ACH-000137,0.08841913926052905
ACH-000138,0.1100159376317558
ACH-000142,0.09459429640232116
ACH-000143,0.1496884754398061
ACH-000146,0.13180650684553133
ACH-000148,0.10210405500843438
ACH-000150,0.033526988749468016
ACH-000152,0.03242133135053741
ACH-000153,0.12492145058069905
ACH-000159,0.040158387505375134
ACH-000160,0.03217799188565991
ACH-000163,0.13224267177173846
ACH-000167,0.23084510457990404
ACH-000168,0.0642777355894837
ACH-000169,0.1309710196832681
ACH-000178,0.0831263924552283
ACH-000183,0.1545187696974184
ACH-000188,0.06719719930884048
ACH-000189,0.07323142260439476
ACH-000190,0.08216962178870152
ACH-000198,0.08353032587568199
ACH-000203,0.1693186045504426
ACH-000204,-0.10254817611077392
ACH-000206,-0.05837734514838262
ACH-000207,-0.0006082904501500046
ACH-000208,0.07555302782456848
ACH-000210,0.12436897920138018
ACH-000211,0.1359354140463851
ACH-000215,0.13165278771756714
ACH-000221,0.1122721998498554
ACH-000222,0.18803976140379586
ACH-000223,-0.007519930056417383
ACH-000226,0.2144454256879818
ACH-000227,0.0838417601945557
ACH-000228,0.18921891250786835
ACH-000231,0.03298981829870473
ACH-000232,-0.017408518750535208
ACH-000233,-0.03493159521136839
ACH-000234,-0.14964610430740202
ACH-000235,0.07337842931648307
ACH-000237,0.13063458179854678
ACH-000238,0.033048175349434765
ACH-000242,0.2922045047556947
ACH-000243,0.1418655940264998
ACH-000244,-0.16147925649065362
ACH-000246,0.10699790630978674
ACH-000248,0.16509108720423507
ACH-000250,-0.0016076162803906088
ACH-000251,0.032093500713488696
ACH-000252,0.18261235193137876
ACH-000253,0.11136112558592423
ACH-000255,0.17147398286151866
ACH-000256,-0.035110875267172416
ACH-000257,0.07445917909975486
ACH-000258,-0.22217599573177008
ACH-000259,0.05381862091497215
ACH-000260,0.1621843332297338
ACH-000261,-0.0029081541982807725
ACH-000262,0.05420416776802888
ACH-000263,-0.001020596634840369
ACH-000264,0.12649235382935084
ACH-000265,0.2036220351883178
ACH-000266,0.09105017913744567
ACH-000272,0.1337271005891797
ACH-000274,0.05461921514185621
ACH-000277,0.014607148275411054
ACH-000278,0.03768921809751035
ACH-000279,-0.09243940698232583
ACH-000280,0.06713242748558529
ACH-000281,0.09855038040029998
ACH-000288,0.022547588022919042
ACH-000291,0.0819950502055852
ACH-000293,0.07845236748997675
ACH-000294,0.01247857482088206
ACH-000295,0.1567160161829207
ACH-000296,0.07830444587589099
ACH-000302,0.11378877668292432
ACH-000304,0.045838420501000385
ACH-000307,0.043507944103992786
ACH-000308,0.04971119698487555
ACH-000310,-0.04447376124168122
ACH-000311,0.1301232378824946
ACH-000312,0.12023978539626735
ACH-000315,0.17609958536772002
ACH-000316,0.26968921365319537
ACH-000317,0.2671897150637818
ACH-000318,0.1404529101506482
ACH-000319,0.11169325126745612
ACH-000320,0.14341532153100298
ACH-000322,0.062036506663199674
ACH-000323,0.13893857805735738
ACH-000324,0.0030746291184351906
ACH-000329,0.11025355495466316
ACH-000330,0.14855055796529248
ACH-000331,0.08590955304829992
ACH-000332,0.11810520442917015
ACH-000334,-0.12902534421569795
ACH-000335,0.03905366026311948
ACH-000336,-0.0529670263787025
ACH-000337,0.2747586174530296
ACH-000338,-0.1318641176605418
ACH-000339,0.08461213659237138
ACH-000341,0.023405212538890642
ACH-000348,-0.03568328660341278
ACH-000350,0.03114763006697405
ACH-000352,-0.024198727656429244
