,TUBA3E (112714)
ACH-000004,-0.20957533625765087
ACH-000005,-0.2302687144455935
ACH-000007,0.16235606056568108
ACH-000009,-0.2392003789600789
ACH-000011,-0.04448576465395607
ACH-000012,0.041218503169487865
ACH-000013,0.08955527850729843
ACH-000014,-0.12008457568123587
ACH-000015,-0.15207633878477456
ACH-000017,0.14638310999534748
ACH-000018,0.011580891041481665
ACH-000019,0.08839718538537646
ACH-000021,-0.05288315025097786
ACH-000022,0.0220282183145888
ACH-000025,0.038076552319702334
ACH-000028,-0.011396303958066891
ACH-000030,0.04451443228154908
ACH-000035,0.08516451838064375
ACH-000036,0.13333579985839292
ACH-000037,0.040605451994325886
ACH-000039,-0.050819101766057535
ACH-000040,0.10560019239876116
ACH-000041,-0.09211810308442887
ACH-000042,-0.013014213856736456
ACH-000045,0.2044501151409163
ACH-000047,-0.004599816783528736
ACH-000052,0.017699760479646342
ACH-000053,-0.012464043593746069
ACH-000054,-0.04817086090962597
ACH-000055,-0.14844948990872872
ACH-000060,0.12614428322012922
ACH-000067,-0.10232907285808683
ACH-000070,0.07904457598797468
ACH-000075,-0.20104031975351785
ACH-000078,-0.09930749923417699
ACH-000082,0.06708417196416923
ACH-000085,-0.00909482020486029
ACH-000086,0.01885541223068895
ACH-000087,-0.09619232944232822
ACH-000092,-0.19649293485057495
ACH-000095,0.006489309237148833
ACH-000097,-0.011253724781568214
ACH-000098,-0.08822081878510926
ACH-000099,0.03542660744968091
ACH-000108,-0.1596721504031485
ACH-000113,-0.10664045711633018
ACH-000116,0.06953326955004759
ACH-000118,0.03838022251712565
ACH-000120,0.10665655900056828
ACH-000123,-0.07825583220239814
ACH-000127,-0.0003634477846517555
ACH-000128,-0.10314949173925844
ACH-000132,0.012492980445295877
ACH-000133,0.024824402577287484
ACH-000137,-0.15711972641962565
ACH-000138,-0.08314529146228039
ACH-000142,0.08005434540555514
ACH-000143,0.1524903240560341
ACH-000146,0.0808929935185872
ACH-000148,0.12623743417897415
ACH-000150,0.09904040761479167
ACH-000152,0.06186044704622413
ACH-000153,-0.06308346817600206
ACH-000159,-0.11245210255662516
ACH-000160,0.047336261939157666
ACH-000163,0.11222316716502496
ACH-000167,-0.06739063096853358
ACH-000168,-0.10786860771860872
ACH-000169,-0.09733736172131724
ACH-000178,0.12052579377580275
ACH-000183,-0.008283891420851714
ACH-000188,0.10764914019576123
ACH-000189,-0.009759738634685822
ACH-000190,0.09851984156098427
