,AP1S3 (130340)
ACH-000004,-0.1897675357711954
ACH-000005,0.0415248069970949
ACH-000007,-0.15289966272072136
ACH-000009,-0.2750693502480335
ACH-000011,-0.22830702265211275
ACH-000012,-0.19012970274951774
ACH-000013,-0.14764242922156726
ACH-000014,-0.1665904096387098
ACH-000015,-0.16924480680908555
ACH-000017,-0.11665088534041068
ACH-000018,-0.2875196311087024
ACH-000019,-0.24061899869848724
ACH-000021,-0.08862910488398963
ACH-000022,-0.15685557558344435
ACH-000025,-0.12801121845918328
ACH-000028,-0.04588340656609373
ACH-000030,-0.2911675144742024
ACH-000035,0.02405012967247631
ACH-000036,-0.14261262464065394
ACH-000037,-0.26201756326682
ACH-000039,-0.2712717368312195
ACH-000040,-0.1631856228253855
ACH-000041,-0.1869359974104243
ACH-000042,-0.32228638912586954
ACH-000045,-0.03245969154664074
ACH-000047,-0.10090015737366044
ACH-000052,-0.190149759527742
ACH-000053,-0.2452645827887227
ACH-000054,-0.2172583701875238
ACH-000055,-0.2323455725718313
ACH-000060,-0.028070470648502245
ACH-000067,-0.232503799596528
ACH-000070,-0.2376382228846313
ACH-000075,-0.28140826418559506
ACH-000078,-0.06423357688367842
ACH-000082,-0.18218959893611286
ACH-000085,-0.16601325544362858
ACH-000086,-0.14433321148254594
ACH-000087,0.02307180604672438
ACH-000092,-0.19552015740419973
ACH-000095,-0.21253283890493554
ACH-000097,-0.1492085093998794
ACH-000098,-0.1803252774001392
ACH-000099,-0.24973670423727065
ACH-000108,-0.08218972410887869
ACH-000113,-0.11872963993084765
ACH-000116,-0.11293859544468215
ACH-000118,-0.028172401573699227
ACH-000120,-0.2408895638592657
ACH-000123,-0.15617606356744104
ACH-000127,-0.15695137884355234
ACH-000128,-0.2745451005564474
ACH-000132,-0.06770516967159636
ACH-000133,-0.403881129818225
ACH-000137,-0.32510693000730895
ACH-000138,-0.10420075976843414
ACH-000142,-0.1772121059569312
ACH-000143,0.10877319262507346
ACH-000146,-0.12148509398898315
ACH-000148,-0.25265446198114205
ACH-000150,0.00884430665024061
ACH-000152,-0.14603832681880466
ACH-000153,-0.3068765539069949
ACH-000159,-0.1905326013513255
ACH-000160,-0.18730199342539225
ACH-000163,-0.11558281897908056
ACH-000167,-0.4527981455258968
ACH-000168,-0.22904900198462735
ACH-000169,-0.13025498898594326
ACH-000178,-0.12087513413109124
ACH-000183,-0.12117744130570016
ACH-000188,-0.2051117444368271
ACH-000189,-0.18199785061184956
ACH-000190,-0.005868655795550968
ACH-000198,-0.11153209253249638
ACH-000203,-0.3952783455862655
ACH-000204,0.09638581153243764
ACH-000206,-0.10999141072040032
ACH-000207,0.0047715728474573135
ACH-000208,-0.12886230934315268
ACH-000210,-0.08552842441312017
ACH-000211,-0.25608349611910586
ACH-000215,-0.24157875969216944
ACH-000221,-0.060036525736375364
ACH-000222,-0.10973417943051213
ACH-000223,-0.13268735884669294
ACH-000226,-0.14685259354591593
ACH-000227,-0.2553985567544947
ACH-000228,-0.14769510313468578
ACH-000231,-0.21265665081471105
ACH-000232,-0.2477116640735776
ACH-000233,-0.10249169058012857
ACH-000234,-0.2878272413008777
ACH-000235,-0.10500137822821592
ACH-000237,-0.24821780191177306
ACH-000238,-0.035784131432673776
ACH-000242,-0.5200529636044419
ACH-000243,-0.18130964818599588
ACH-000244,-0.06251010070094913
ACH-000246,-0.14583188735901714
ACH-000248,-0.06217672813342485
ACH-000250,-0.1845540338957026
ACH-000251,-0.2961582915024065
ACH-000252,-0.15187479842343046
ACH-000253,-0.1400537388718895
ACH-000255,-0.3334766300880677
ACH-000256,-0.09830709083970636
ACH-000257,0.11677202520889453
ACH-000258,-0.3441920031342097
ACH-000259,-0.20850340909310336
ACH-000260,-0.1242962562475515
ACH-000261,-0.1739572856620139
ACH-000262,-0.2623843885842366
ACH-000263,-0.03904932465914452
ACH-000264,-0.19677170051411416
ACH-000265,-0.21117896278838136
ACH-000266,-0.172680390316535
ACH-000272,-0.17066070433278144
ACH-000274,-0.19641014426375325
ACH-000277,-0.2338755533216755
ACH-000278,-0.13626893053094508
ACH-000279,-0.2571126944663234
ACH-000280,-0.02784237599205245
ACH-000281,-0.028619466535000214
ACH-000288,-0.2970884390159701
ACH-000291,-0.1653553167255923
ACH-000293,-0.2331385450313021
ACH-000294,-0.1801059131157827
ACH-000295,0.042894319811790885
ACH-000296,-0.011802411592939831
ACH-000302,-0.13005009920355207
ACH-000304,-0.13499035501690498
ACH-000307,-0.15963762327820455
ACH-000308,-0.16920899116985288
ACH-000310,-0.2613079373187908
ACH-000311,-0.20352348970673395
ACH-000312,-0.2074198796665667
ACH-000315,-0.3056167150704473
ACH-000316,-0.2770049372057457
ACH-000317,-0.30981115183981256
ACH-000318,-0.13237430903122313
ACH-000319,-0.2148081159280928
ACH-000320,-0.15457903462884146
ACH-000322,-0.1753716668440798
ACH-000323,-0.23043562056334765
ACH-000324,-0.2503031056780429
ACH-000329,-0.30453708866594864
ACH-000330,-0.11457597902019655
ACH-000331,-0.3707239147090253
ACH-000332,-0.20599463123097306
ACH-000334,0.009897596597013605
ACH-000335,-0.44485273897977373
ACH-000336,-0.09338962406499217
