,DYNAP (284254)
ACH-000004,-0.023055924331355043
ACH-000005,0.0963354766518699
ACH-000007,0.04513066169139422
ACH-000009,0.2060484499883868
ACH-000011,0.15293142357340944
ACH-000012,0.19880436902534174
ACH-000013,0.16828972242801932
ACH-000014,0.2317830328916225
ACH-000015,0.2035933214139787
ACH-000017,0.08544749758408338
ACH-000018,0.2468475479077239
ACH-000019,0.04356076550496822
ACH-000021,0.2747687724894529
ACH-000022,0.21162086694346266
ACH-000025,0.12324743649150985
ACH-000028,0.0743155452021277
ACH-000030,0.10964896930194128
ACH-000035,0.09429140795241472
ACH-000036,0.12610833471114438
ACH-000037,0.16783646480124992
ACH-000039,0.1872698882738841
ACH-000040,0.22570916777072825
ACH-000041,0.07336178020951342
ACH-000042,0.11519693200507256
ACH-000045,0.15665537301182286
ACH-000047,0.27360743247279223
ACH-000052,0.24142615855673666
ACH-000053,0.09978645193857494
ACH-000054,0.2375003887851869
ACH-000055,0.2729739208210191
ACH-000060,0.11043869204875292
ACH-000067,0.1313452470396396
ACH-000070,0.13513524809590538
ACH-000075,0.0571382834683701
ACH-000078,0.07535384805459093
ACH-000082,0.10409916652176808
ACH-000085,0.19700650880257906
ACH-000086,0.18504199854689365
ACH-000087,0.23190476958281445
ACH-000092,0.2139701985058988
ACH-000095,0.16663295307233092
ACH-000097,0.1935464675111671
ACH-000098,0.0980401768441252
ACH-000099,0.17508295616955072
ACH-000108,0.16932971456536106
ACH-000113,0.12591712605510674
ACH-000116,0.15020933654283752
ACH-000118,0.2351692878624301
ACH-000120,0.1511651262985218
ACH-000123,0.21727462572902104
ACH-000127,0.13837690156959648
ACH-000128,0.2467046995324353
ACH-000132,0.1900807050011354
ACH-000133,0.1891481713813192
ACH-000137,0.2261230415947961
ACH-000138,0.16181742089540216
ACH-000142,0.15676863646458095
ACH-000143,0.15781790677663052
ACH-000146,0.15523273981193544
ACH-000148,0.1687805075638335
ACH-000150,0.13453179657078304
ACH-000152,0.19149889823471936
ACH-000153,0.2217279402085693
ACH-000159,0.2029221825103873
ACH-000160,0.2076458646626255
ACH-000163,0.1954884394318398
ACH-000167,0.37313694424805854
ACH-000168,0.007270369964645345
ACH-000169,0.15741401641712427
ACH-000178,0.17849411783773367
ACH-000183,0.22041699530889547
ACH-000188,0.1435842808439199
ACH-000189,0.08257507004666897
ACH-000190,-0.0879156187623683
