,ESPN (83715)
ACH-000004,-0.3084375273696235
ACH-000005,-0.43333653196031824
ACH-000007,-0.4278089155575702
ACH-000009,-0.3844947601936059
ACH-000011,-0.2581760941544209
ACH-000012,-0.46112157674200294
ACH-000013,-0.176565549188398
ACH-000014,-0.4421720944200056
ACH-000015,-0.27755571371070986
ACH-000017,-0.4606033318684377
ACH-000018,-0.40935417841301697
ACH-000019,-0.2741268483852634
ACH-000021,-0.2861071866425305
ACH-000022,-0.3666358435325845
ACH-000025,-0.3778262688401539
ACH-000028,-0.2895610551312924
ACH-000030,-0.3578006888533572
ACH-000035,-0.4494095518504665
ACH-000036,-0.40918185710966176
ACH-000037,-0.5280396716036725
ACH-000039,-0.2907133775230457
ACH-000040,-0.5323417518866872
ACH-000041,-0.3889755100523009
ACH-000042,-0.3256228630244969
ACH-000045,-0.29378928847627384
ACH-000047,-0.4036442874002459
ACH-000052,-0.32106491261779585
ACH-000053,-0.3692754158496119
ACH-000054,-0.43176994752552256
ACH-000055,-0.5770615315034927
ACH-000060,-0.3883270847205554
ACH-000067,-0.6775492450429553
ACH-000070,-0.28348402152177465
ACH-000075,-0.3437521197298102
ACH-000078,-0.3703034892138296
ACH-000082,-0.2055981229208109
ACH-000085,-0.44675700503275
ACH-000086,-0.454553629483451
ACH-000087,-0.4971657931410524
ACH-000092,-0.4552573789173378
ACH-000095,-0.4131671505620363
ACH-000097,-0.3913136551707797
ACH-000098,-0.29196184051480417
ACH-000099,-0.3465390707493425
ACH-000108,-0.5211131032642768
ACH-000113,-0.2391294525058884
ACH-000116,-0.24758356129114065
ACH-000118,-0.2746596610113777
ACH-000120,-0.3561429381488925
ACH-000123,-0.20594033780764234
ACH-000127,-0.29459304969855016
ACH-000128,-0.4628934427574276
ACH-000132,-0.2274635475342329
ACH-000133,-0.3583601299486997
ACH-000137,-0.5496508352246388
ACH-000138,-0.4010292516344494
ACH-000142,-0.3695226437811428
ACH-000143,-0.3275611486556431
ACH-000146,-0.4273324945850629
ACH-000148,-0.3853680415642913
ACH-000150,-0.8020610767628106
ACH-000152,-0.4317135453196514
ACH-000153,-0.324506632630275
ACH-000159,-0.5025493130632889
ACH-000160,-0.4400756569214336
ACH-000163,-0.2650438917073452
ACH-000167,-0.5905654472482021
ACH-000168,-0.4284067317720235
