,TRIM49C (642612)
ACH-000004,-0.4055370140468644
ACH-000005,-0.3432728305213548
ACH-000007,-0.4042288953045183
ACH-000009,-0.4745079377743017
ACH-000011,-0.4423486573930947
ACH-000012,-0.3659343827817826
ACH-000013,-0.34333499498297737
ACH-000014,-0.3923640452554547
ACH-000015,-0.359266706006768
ACH-000017,-0.4068946222121037
ACH-000018,-0.4506644962191038
ACH-000019,-0.4833137781189228
ACH-000021,-0.4156301919409127
ACH-000022,-0.3552050257372028
ACH-000025,-0.2360096402415175
ACH-000028,-0.41234464412497934
ACH-000030,-0.3959197658212647
ACH-000035,-0.3886774036527276
ACH-000036,-0.4603924821549803
ACH-000037,-0.4539811252624597
ACH-000039,-0.3628253655635846
ACH-000040,-0.4574381649154012
ACH-000041,-0.2513417887185013
ACH-000042,-0.3424318078179088
ACH-000045,-0.41992108640944
ACH-000047,-0.33779000987635344
ACH-000052,-0.4601582722552347
ACH-000053,-0.4062213015616813
ACH-000054,-0.4468466104726553
ACH-000055,-0.48423901012591897
ACH-000060,-0.3755423540913119
ACH-000067,-0.4029766495484191
ACH-000070,-0.4658519273119738
ACH-000075,-0.3934216572374431
ACH-000078,-0.3530820667573649
ACH-000082,-0.3567685481695384
ACH-000085,-0.3801229741403805
ACH-000086,-0.4349759934315491
ACH-000087,-0.4867642127221231
ACH-000092,-0.3835920075701745
ACH-000095,-0.43783846824314426
ACH-000097,-0.4709011024865181
ACH-000098,-0.3729769305142423
ACH-000099,-0.35286889926147297
ACH-000108,-0.3977985824088519
ACH-000113,-0.3989992842407565
ACH-000116,-0.40257220107911545
ACH-000118,-0.3802377597439285
ACH-000120,-0.5242907147333422
ACH-000123,-0.3229743453850342
ACH-000127,-0.4258458300416077
ACH-000128,-0.4850606254763413
ACH-000132,-0.21343034241241848
ACH-000133,-0.4759601871626006
ACH-000137,-0.509998100739111
ACH-000138,-0.3890184353657562
ACH-000142,-0.4454035183243665
ACH-000143,-0.3599935435749921
ACH-000146,-0.33980828419889697
ACH-000148,-0.5070428718063072
ACH-000150,-0.3702725324376915
ACH-000152,-0.388352928589604
ACH-000153,-0.558237983676725
ACH-000159,-0.43133823393195614
ACH-000160,-0.3713962685125669
ACH-000163,-0.4081095709170967
ACH-000167,-0.39852850206430296
ACH-000168,-0.4536383638147434
ACH-000169,-0.46203797465129703
ACH-000178,-0.457317470756689
ACH-000183,-0.5226748774852654
ACH-000188,-0.39649372887839696
ACH-000189,-0.3884412296827312
ACH-000190,-0.5418421605451283
ACH-000198,-0.4184980039713839
ACH-000203,-0.08299011982397582
ACH-000204,-0.2339215404962791
ACH-000206,-0.3849441207810652
ACH-000207,-0.6051191585109975
ACH-000208,-0.31023665605619033
ACH-000210,-0.5968352658572297
ACH-000211,-0.3584342551634511
ACH-000215,-0.33954075220613616
ACH-000221,-0.5119703616519173
ACH-000222,-0.5832012536741599
ACH-000223,-0.4046544849165562
ACH-000226,-0.476131825276625
ACH-000227,-0.3407080164088437
ACH-000228,-0.5366557669992095
ACH-000231,-0.41806468402957664
ACH-000232,-0.4142971904593796
ACH-000233,-0.4745088910889351
ACH-000234,-0.3853990588973025
ACH-000235,-0.40084367282120187
ACH-000237,-0.5581811756657216
ACH-000238,-0.3242526681274561
ACH-000242,-0.5320913520607206
ACH-000243,-0.3881270498473037
ACH-000244,-0.4380070603675326
ACH-000246,-0.4865036521815334
ACH-000248,-0.2962635041865685
ACH-000250,-0.4073788291534036
ACH-000251,-0.3414349709858811
ACH-000252,-0.32284729574532145
ACH-000253,-0.3981735440368289
ACH-000255,-0.3500602181302395
ACH-000256,-0.5113875861688032
ACH-000257,-0.4123722690309767
ACH-000258,-0.3001239976284018
ACH-000259,-0.3576290650133003
ACH-000260,-0.3657285238967445
ACH-000261,-0.3044546267761269
ACH-000262,-0.5582106843543306
ACH-000263,-0.3902177197035912
ACH-000264,-0.3423981467412696
ACH-000265,-0.4559511542640841
ACH-000266,-0.3685215960261989
ACH-000272,-0.5004526515804262
ACH-000274,-0.4044329030485693
ACH-000277,-0.3969941168018499
ACH-000278,-0.4729699059932305
ACH-000279,-0.43828432457184335
ACH-000280,-0.3424355078170072
ACH-000281,-0.4418654719626253
ACH-000288,-0.4265463293803486
ACH-000291,-0.4029390575635971
ACH-000293,-0.4845511790769166
ACH-000294,-0.4383310471852082
ACH-000295,-0.5076111662709654
ACH-000296,-0.2923868526028035
ACH-000302,-0.27537040131908874
ACH-000304,-0.2282519737779186
ACH-000307,-0.4019251285125829
ACH-000308,-0.3530664293461238
ACH-000310,-0.3320025866009428
ACH-000311,-0.5287098157555529
ACH-000312,-0.4282025536666879
ACH-000315,-0.6010198620219873
ACH-000316,-0.4399014735623925
ACH-000317,-0.5171868241576795
ACH-000318,-0.3599563997722828
ACH-000319,-0.5527770976720944
ACH-000320,-0.4856782370881281
ACH-000322,-0.40481634291842206
ACH-000323,-0.3317448288930343
ACH-000324,-0.4834005983953475
ACH-000329,-0.3577040060038651
ACH-000330,-0.4182577458017119
ACH-000331,-0.3866922943743649
ACH-000332,-0.4034221189821724
ACH-000334,-0.4853418850966695
ACH-000335,-0.40126458560529504
ACH-000336,-0.5958105205352714
ACH-000337,-0.4547184186766037
ACH-000338,-0.4285168793378932
ACH-000339,-0.2711475494708745
ACH-000341,-0.4542862632916634
ACH-000348,-0.3494269405234525
ACH-000350,-0.4657761069591512
ACH-000352,-0.3517494196024899
ACH-000356,-0.3803792946906339
ACH-000361,-0.22552036168793765
ACH-000362,-0.28568176356757496
ACH-000363,-0.439316225422972
ACH-000364,-0.4493782972370368
ACH-000365,-0.4399941881277202
ACH-000366,-0.3876056986263303
ACH-000368,-0.4234672856838362
ACH-000374,-0.5647154514193972
ACH-000375,-0.3443090646169564
ACH-000376,-0.4627331798522221
ACH-000381,-0.5295341773863247
ACH-000383,-0.4011779512504287
ACH-000387,-0.4066164613302621
ACH-000389,-0.5631106949461369
ACH-000390,-0.30600576635105475
ACH-000393,-0.5344632050343907
ACH-000395,-0.4019939896847252
ACH-000396,-0.5315412007553271
ACH-000397,-0.3906861044900238
ACH-000401,-0.3835064699444673
ACH-000402,-0.43319141495591895
ACH-000403,-0.5055959938639882
ACH-000404,-0.5871528687274062
ACH-000406,-0.4241987722745331
ACH-000407,-0.3180848936264875
ACH-000408,-0.38868931706278376
ACH-000410,-0.3698385915038686
ACH-000411,-0.4837282185960826
ACH-000414,-0.398566023809113
ACH-000415,-0.4128497586437058
ACH-000416,-0.3208967095135065
ACH-000420,-0.42736062135256025
ACH-000421,-0.3235593659114757
ACH-000424,-0.34509738209501883
ACH-000425,-0.3985141477772092
ACH-000426,-0.5506899586900583
ACH-000427,-0.4190719357945248
ACH-000433,-0.4241362071858348
ACH-000435,-0.3803514206928231
ACH-000436,-0.25323649807174226
ACH-000444,-0.562204578104202
ACH-000445,-0.4702533084396093
ACH-000448,-0.3736078375724328
ACH-000450,-0.41707575220127263
ACH-000452,-0.3586350825826784
ACH-000454,-0.4549012544428474
ACH-000458,-0.4147732462170875
ACH-000459,-0.3881724791980575
ACH-000460,-0.3286030938465957
ACH-000461,-0.4545567086227948
ACH-000463,-0.4864102385678234
ACH-000464,-0.5038226481909173
ACH-000466,-0.439470100569558
ACH-000467,-0.3239057192850189
ACH-000468,-0.46512126157477796
ACH-000469,-0.4992373255736314
ACH-000470,-0.4793771593951754
ACH-000471,-0.43812250877095
ACH-000472,-0.3911900744240851
