,DLX5 (1749)
ACH-000004,0.020440905146715187
ACH-000005,0.0744616419090917
ACH-000007,0.030984696270845317
ACH-000009,-0.06278065720197923
ACH-000011,-0.2493400153143452
ACH-000012,-0.08041811820282731
ACH-000013,0.022347302101628125
ACH-000014,-0.2459118718178921
ACH-000015,-0.14272667018339028
ACH-000017,0.010021529014698324
ACH-000018,0.0893663032014612
ACH-000019,-0.21183934735180174
ACH-000021,-0.2367361674274564
ACH-000022,-0.117184975194081
ACH-000025,-0.06384678270988133
ACH-000028,-0.0943180764070941
ACH-000030,-0.11285964334084506
ACH-000035,-0.1303709932981427
ACH-000036,-0.13175059894005572
ACH-000037,-0.16730319974412428
ACH-000039,-0.011866561699405052
ACH-000040,-0.01700785740618126
ACH-000041,-0.0635162490507488
ACH-000042,-0.2512322633578763
ACH-000045,-0.14373827883904894
ACH-000047,-0.061038903615664636
ACH-000052,-0.5311433889554454
ACH-000053,-0.1083564651214524
ACH-000054,-0.00013409807132439371
ACH-000055,-0.08593361004983281
ACH-000060,-0.26154195646756
ACH-000067,-0.03465994109961538
ACH-000070,0.09655167286374204
ACH-000075,0.055308021031911785
ACH-000078,-0.034234976218178635
ACH-000082,-0.06712017637664634
ACH-000085,-0.1108185921323788
ACH-000086,-0.04087844345958476
ACH-000087,-0.004179271650297896
ACH-000092,-0.07527812900512604
ACH-000095,-0.18410297127618852
ACH-000097,-0.12596519750699595
ACH-000098,-0.003163781423504327
ACH-000099,-0.10332235632735297
ACH-000108,-0.10063773615181297
ACH-000113,-0.0650991066954461
ACH-000116,0.06271958504705989
ACH-000118,-0.1113764425205811
ACH-000120,-0.06639091306074417
ACH-000123,-0.02759335788275209
ACH-000127,-0.11871208515860933
ACH-000128,-0.1871649559613236
ACH-000132,-0.17755889962418728
ACH-000133,-0.17031138237349436
ACH-000137,0.009306812622075477
ACH-000138,-0.05067002743106792
ACH-000142,-0.14736423237970386
ACH-000143,-0.19955221417992636
ACH-000146,-0.12496070389264873
ACH-000148,-0.06762979128235384
ACH-000150,-0.08652606436466828
ACH-000152,-0.03554707873033363
ACH-000153,0.022816073117870785
ACH-000159,-0.16894508120779744
ACH-000160,-0.08997495127539927
ACH-000163,-0.12584642147701794
ACH-000167,0.3856264784935539
ACH-000168,-0.520507067365668
ACH-000169,-0.0870891249636875
ACH-000178,-0.12166595045322505
ACH-000183,0.014612862796009525
ACH-000188,-0.04521827625441595
ACH-000189,0.07965800992231471
ACH-000190,0.16586567630865742
ACH-000198,-0.17435509507462335
ACH-000203,-0.9164107148837374
ACH-000204,-0.22167002100947808
ACH-000206,-0.08598031601664108
ACH-000207,-0.053833155261691384
ACH-000208,0.1588359468588409
ACH-000210,-0.34568185340517443
ACH-000211,-0.07743755766225624
ACH-000215,0.02387481282049007
ACH-000221,-0.51265524812331
ACH-000222,-0.33281119141966103
ACH-000223,-0.07564893648111129
ACH-000226,-0.24152913422854105
ACH-000227,-0.06733370541071962
ACH-000228,-0.040669087116194345
ACH-000231,-0.2163602738298136
ACH-000232,-0.2076115334777028
ACH-000233,-0.11612538266235968
ACH-000234,-0.10626604649821894
ACH-000235,-0.1378850605232015
ACH-000237,0.002949368422853213
ACH-000238,-0.1918620417627487
ACH-000242,-0.24690489971622184
ACH-000243,-0.09626524690407236
ACH-000244,-0.06657731791507676
ACH-000246,-0.0437045306085143
ACH-000248,0.06052921289918434
ACH-000250,-0.13341038592189855
ACH-000251,0.041855415794538935
ACH-000252,-0.06436577070903916
ACH-000253,-0.06005358201068633
ACH-000255,-0.13856483148249074
ACH-000256,-0.21447550074008834
ACH-000257,-0.1315081561563557
ACH-000258,-0.110889840034355
ACH-000259,-0.16981106269275054
ACH-000260,-0.05561400667102555
ACH-000261,-0.22389388090565726
ACH-000262,-0.035773010682523115
ACH-000263,-0.219689193712664
ACH-000264,-0.11194696860000404
ACH-000265,-0.1585328547891814
ACH-000266,-0.2047525444120584
ACH-000272,-0.08750385477226932
ACH-000274,-0.10512770227582642
ACH-000277,-0.06320777732317169
ACH-000278,-0.0828886608072343
ACH-000279,-0.07089875862686508
ACH-000280,-0.004953446549060347
ACH-000281,-0.2763553214338693
ACH-000288,-0.11948687261429962
ACH-000291,-0.18184805168806226
ACH-000293,-0.2298690390298997
ACH-000294,-0.04993065768497122
ACH-000295,-0.1725489259159905
ACH-000296,0.051447108005462976
ACH-000302,-0.11101756215444177
ACH-000304,-0.3695734880567799
ACH-000307,-0.07947784638568701
ACH-000308,-0.08755541750262286
ACH-000310,-0.1760440597731616
ACH-000311,-0.14722485732954385
ACH-000312,-0.11787908115310668
ACH-000315,-0.2159876777996779
ACH-000316,-0.012403973600084457
ACH-000317,-0.14039045782554735
ACH-000318,-0.1451583977508166
ACH-000319,-0.07680548320881267
ACH-000320,-0.025238558845272683
ACH-000322,-0.22745014444700504
ACH-000323,-0.09324619776370208
ACH-000324,-0.044002977691981256
ACH-000329,-0.033755872347007464
ACH-000330,-0.05751616294891559
ACH-000331,-0.12088359263514355
